Ticker	Company	Local Price	Shares Outstanding	Market Cap
AON	Aon plc	93.31	"280,043,000.00"	"26,130,812,330.00"
APA	Apache Corp	47.13	"377,987,000.00"	"17,814,527,310.00"
AIV	Apartment Investment & Mgmt	39.19	"156,282,000.00"	"6,124,691,580.00"
AAPL	Apple Inc.	119.5	"5,702,722,000.00"	"681,475,279,000.00"
AMAT	Applied Materials Inc	16.77	"1,200,619,000.00"	"20,134,380,630.00"
ADM	Archer-Daniels-Midland Co	45.66	"608,940,000.00"	"27,804,200,400.00"
AIZ	Assurant Inc	81.53	"66,818,000.00"	"5,447,671,540.00"
AN	AutoNation Inc	63.19	"113,441,000.00"	"7,168,336,790.00"
AZO	AutoZone Inc	784.41	"30,872,000.00"	"24,216,305,520.00"
ADSK	Autodesk Inc	55.19	"226,199,000.00"	"12,483,922,810.00"
ADP	Automatic Data Processing	86.99	"465,810,000.00"	"40,520,811,900.00"
AVGO	Avago Technologies Ltd	123.13	"273,490,000.00"	"33,674,823,700.00"
AVB	AvalonBay Communities Inc	174.83	"132,902,000.00"	"23,235,256,660.00"
AVY	Avery Dennison Corp	64.97	"91,438,000.00"	"5,940,726,860.00"
BBT	BB&T Corp	37.15	"779,607,000.00"	"28,962,400,050.00"
BHI	Baker Hughes Inc	52.68	"435,882,000.00"	"22,962,263,760.00"
BLL	Ball Corp	68.5	"138,167,000.00"	"9,464,439,500.00"
BAC	Bank of America Corp	16.78	"10,468,545,000.00"	"175,662,185,100.00"
BCR	Bard C.R. Inc	186.35	"74,199,000.00"	"13,826,983,650.00"
BXLT	Baxalta Inc	34.46	"676,969,000.00"	"23,328,351,740.00"
BAX	Baxter Intl Inc	37.39	"545,539,000.00"	"20,397,703,210.00"
BDX	Becton Dickinson & Co	142.52	"210,254,000.00"	"29,965,400,080.00"
BBBY	Bed Bath & Beyond Inc	59.63	"169,596,000.00"	"10,113,009,480.00"
BRK.B	Berkshire Hathaway B	136.02	"2,464,999,000.00"	"335,289,163,980.00"
BBY	Best Buy Co Inc	35.03	"352,771,000.00"	"12,357,568,130.00"
BIIB	Biogen Inc	290.51	"235,169,000.00"	"68,318,946,190.00"
BLK	BlackRock Inc	351.97	"166,379,000.00"	"58,560,416,630.00"
HRB	Block H & R Inc	37.26	"235,785,000.00"	"8,785,349,100.00"
BA	Boeing Co	148.07	"679,495,000.00"	"100,612,824,650.00"
BWA	Borgwarner Inc	42.82	"226,315,000.00"	"9,690,808,300.00"
BXP	Boston Properties Inc	125.85	"153,574,000.00"	"19,327,287,900.00"
BSX	Boston Scientific Corp	18.28	"1,343,957,000.00"	"24,567,533,960.00"
BMY	Bristol-Myers Squibb	65.95	"1,667,503,000.00"	"109,971,822,850.00"
BRCM	Broadcom Corp A	51.4	"559,000,000.00"	"28,732,600,000.00"
BF.B	Brown-Forman Corp B	106.18	"121,963,000.00"	"12,950,031,340.00"
CA	CA Inc	27.71	"441,305,000.00"	"12,228,561,550.00"
CBG	CBRE Group Inc.	37.28	"333,180,000.00"	"12,420,950,400.00"
CBS	CBS Corp B	46.52	"444,408,000.00"	"20,673,860,160.00"
CF	CF Industries Holdings	50.77	"233,048,000.00"	"11,831,846,960.00"
CHRW	CH Robinson Worldwide Inc	69.38	"141,801,000.00"	"9,838,153,380.00"
CME	CME Group Inc	94.47	"337,756,000.00"	"31,907,809,320.00"
CMS	CMS Energy Corp	36.07	"276,668,000.00"	"9,979,414,760.00"
CNX	CONSOL Energy Inc	6.66	"229,004,000.00"	"1,525,166,640.00"
CSX	CSX Corp	26.99	"983,737,000.00"	"26,551,061,630.00"
CVS	CVS Health Corporation	98.78	"1,114,486,000.00"	"110,088,927,080.00"
CVC	Cablevision Systems Co A	32.59	"222,337,000.00"	"7,245,962,830.00"
COG	Cabot Oil & Gas A	21.71	"413,808,000.00"	"8,983,771,680.00"
CAM	Cameron International Corp	68.01	"191,514,000.00"	"13,024,867,140.00"
CPB	Campbell Soup Co	50.79	"310,521,000.00"	"15,771,361,590.00"
COF	Capital One Financial	78.9	"542,429,000.00"	"42,797,648,100.00"
CAH	Cardinal Health Inc	82.2	"327,359,000.00"	"26,908,909,800.00"
KMX	Carmax Inc	59.01	"208,042,000.00"	"12,276,558,420.00"
CCL	Carnival Corp	54.08	"593,457,000.00"	"32,094,154,560.00"
CAT	Caterpillar Inc	72.99	"602,633,000.00"	"43,986,182,670.00"
CELG	Celgene Corp	122.71	"790,540,000.00"	"97,007,163,400.00"
CNP	Centerpoint Energy Inc	18.55	"430,262,000.00"	"7,981,360,100.00"
CTL	CenturyLink Inc	28.21	"562,986,000.00"	"15,881,835,060.00"
CERN	Cerner Corp	66.29	"345,074,000.00"	"22,874,955,460.00"
CHK	Chesapeake Energy Corp	7.13	"662,986,000.00"	"4,727,090,180.00"
CVX	Chevron Corp	90.88	"1,881,735,000.00"	"171,012,076,800.00"
CMG	Chipotle Mexican Grill Inc.	640.23	"31,142,000.00"	"19,938,042,660.00"
CB	Chubb Corp	129.35	"226,977,000.00"	"29,359,474,950.00"
CI	Cigna Corporation	134.04	"257,495,000.00"	"34,514,629,800.00"
XEC	Cimarex Energy Co	118.06	"94,456,000.00"	"11,151,475,360.00"
CINF	Cincinnati Financial Corp	60.23	"164,093,000.00"	"9,883,321,390.00"
CTAS	Cintas Corp	93.09	"110,211,000.00"	"10,259,541,990.00"
CSCO	Cisco Systems Inc	28.85	"5,085,889,000.00"	"146,727,897,650.00"
C	Citigroup Inc	53.17	"3,009,845,000.00"	"160,033,458,650.00"
CTXS	Citrix Systems Inc	82.1	"160,701,000.00"	"13,193,552,100.00"
CLX	Clorox Co	121.94	"128,644,000.00"	"15,686,849,360.00"
COH	Coach Inc	31.2	"276,627,000.00"	"8,630,762,400.00"
KO	Coca-Cola Co	42.35	"4,350,004,000.00"	"184,222,669,400.00"
CCE	Coca-Cola Enterprises	51.34	"229,086,000.00"	"11,761,275,240.00"
CTSH	Cognizant Tech Solutions Corp	68.11	"609,529,000.00"	"41,515,020,190.00"
CL	Colgate-Palmolive Co	66.35	"900,132,000.00"	"59,723,758,200.00"
CPGX	Columbia Pipeline Group	20.77	"317,615,000.00"	"6,596,863,550.00"
CMCSA	Comcast Corp A	62.62	"2,114,785,000.00"	"132,427,836,700.00"
CMCSK	Comcast Corp A Spl	62.71	"368,198,000.00"	"23,089,696,580.00"
CMA	Comerica Inc (MI)	43.4	"177,929,000.00"	"7,722,118,600.00"
CSC	Computer Sciences	66.59	"138,332,000.00"	"9,211,527,880.00"
CAG	ConAgra Foods Inc	40.55	"431,735,000.00"	"17,506,854,250.00"
COP	ConocoPhillips	53.35	"1,233,459,000.00"	"65,805,037,650.00"
ED	Consolidated Edison Inc	65.75	"292,872,000.00"	"19,256,334,000.00"
STZ	Constellation Brands Inc A	134.8	"171,987,000.00"	"23,183,847,600.00"
GLW	Corning Inc	18.6	"1,225,935,000.00"	"22,802,391,000.00"
COST	Costco Wholesale Corp	158.12	"439,488,000.00"	"69,491,842,560.00"
CCI	Crown Castle Intl Corp	85.46	"333,761,000.00"	"28,523,215,060.00"
CMI	Cummins Inc	103.51	"178,650,000.00"	"18,492,061,500.00"
DTE	DTE Energy Co	81.59	"179,476,000.00"	"14,643,446,840.00"
DVA	DaVita HealthCare Partners Inc	77.51	"215,500,000.00"	"16,703,405,000.00"
DHR	Danaher Corp	93.31	"683,488,000.00"	"63,776,265,280.00"
DRI	Darden Restaurants Inc	61.89	"126,669,000.00"	"7,839,544,410.00"
DE	Deere & Co	78	"328,166,000.00"	"25,596,948,000.00"
DLPH	Delphi Automotive PLC	83.19	"284,349,000.00"	"23,654,993,310.00"
DAL	Delta Air Lines	50.84	"795,398,000.00"	"40,438,034,320.00"
XRAY	Dentsply Intl	60.85	"139,808,000.00"	"8,507,316,800.00"
DVN	Devon Energy Corp	41.93	"411,000,000.00"	"17,233,230,000.00"
DO	Diamond Offshore Drilling	19.88	"137,159,000.00"	"2,726,720,920.00"
DFS	Discover Financial Services	56.22	"435,307,000.00"	"24,472,959,540.00"
DISCA	Discovery Communications Inc A	29.44	"149,302,000.00"	"4,395,450,880.00"
DISCK	Discovery Communications Inc C	27.52	"274,284,000.00"	"7,548,295,680.00"
DG	Dollar General Corp	67.77	"294,660,000.00"	"19,969,108,200.00"
DLTR	Dollar Tree Inc	65.49	"234,718,000.00"	"15,371,681,820.00"
D	Dominion Resources Inc	71.43	"594,322,000.00"	"42,452,420,460.00"
DOV	Dover Corp	64.43	"156,465,000.00"	"10,081,039,950.00"
DOW	Dow Chemical	51.67	"1,158,102,000.00"	"59,839,130,340.00"
DPS	Dr Pepper Snapple Group	89.37	"190,886,000.00"	"17,059,481,820.00"
DUK	Duke Energy Corp	71.47	"688,330,000.00"	"49,194,945,100.00"
DNB	Dun & Bradstreet Corp	113.87	"36,111,000.00"	"4,111,959,570.00"
ETFC	E*TRADE Financial Corp	28.51	"290,174,000.00"	"8,272,860,740.00"
DD	E. I. du Pont de Nemours and Company	63.4	"904,838,000.00"	"57,366,729,200.00"
EMC	EMC Corp	26.22	"1,924,726,000.00"	"50,466,315,720.00"
EOG	EOG Resources	85.85	"549,171,000.00"	"47,146,330,350.00"
EQT	EQT Corporation	66.07	"152,404,000.00"	"10,069,332,280.00"
EMN	Eastman Chemical Co	72.17	"148,664,000.00"	"10,729,080,880.00"
ETN	Eaton Corp plc	55.91	"467,500,000.00"	"26,137,925,000.00"
ECL	Ecolab Inc	120.35	"295,092,000.00"	"35,514,322,200.00"
EIX	Edison Intl	60.52	"325,811,000.00"	"19,718,081,720.00"
EW	Edwards Lifesciences Corp	157.15	"107,516,000.00"	"16,896,139,400.00"
EA	Electronic Arts	72.07	"311,746,000.00"	"22,467,534,220.00"
EMR	Emerson Electric Co	47.23	"657,140,000.00"	"31,036,722,200.00"
ENDP	Endo International plc	59.99	"226,398,000.00"	"13,581,616,020.00"
ESV	Ensco PLC - CL A	16.63	"235,750,000.00"	"3,920,522,500.00"
ETR	Entergy Corp	68.16	"179,528,000.00"	"12,236,628,480.00"
EFX	Equifax Inc	106.57	"118,244,000.00"	"12,601,263,080.00"
EQIX	Equinix Inc	296.68	"56,958,000.00"	"16,898,299,440.00"
EQR	Equity Residential	77.32	"364,082,000.00"	"28,150,820,240.00"
ESS	Essex Property Trust	220.44	"65,744,000.00"	"14,492,607,360.00"
EL	Estee Lauder Cos.	80.46	"225,861,000.00"	"18,172,776,060.00"
ES	Eversource Energy	50.94	"317,173,000.00"	"16,156,792,620.00"
EXC	Exelon Corp	27.92	"861,618,000.00"	"24,056,374,560.00"
EXPE	Expedia	136.3	"116,334,000.00"	"15,856,324,200.00"
EXPD	Expeditors Intl of WA Inc	49.79	"189,160,000.00"	"9,418,276,400.00"
ESRX	Express Scripts Holding Co.	86.38	"675,731,000.00"	"58,369,643,780.00"
XOM	Exxon Mobil Corp	82.74	"4,169,449,000.00"	"344,980,210,260.00"
FFIV	F5 Networks Inc	110.2	"71,004,000.00"	"7,824,640,800.00"
FLIR	FLIR Systems Inc	26.67	"140,248,000.00"	"3,740,414,160.00"
FMC	FMC Corp	40.71	"133,615,000.00"	"5,439,466,650.00"
FTI	FMC Technologies Inc	33.83	"229,474,000.00"	"7,763,105,420.00"
FB	Facebook Inc	101.97	"2,259,737,000.00"	"230,425,381,890.00"
FAST	Fastenal Co	39.16	"290,165,000.00"	"11,362,861,400.00"
FDX	FedEx Corp	156.05	"282,430,000.00"	"44,073,201,500.00"
FIS	Fidelity National Information	72.92	"281,583,000.00"	"20,533,032,360.00"
FITB	Fifth Third Bancorp (OH)	19.05	"803,250,000.00"	"15,301,912,500.00"
FSLR	First Solar Inc	57.07	"100,903,000.00"	"5,758,534,210.00"
FE	FirstEnergy Corp	31.2	"422,453,000.00"	"13,180,533,600.00"
FISV	Fiserv Inc	96.51	"234,578,000.00"	"22,639,122,780.00"
FLS	Flowserve Corp	46.36	"133,368,000.00"	"6,182,940,480.00"
FLR	Fluor Corp	47.81	"144,943,000.00"	"6,929,724,830.00"
F	Ford Motor Co	14.81	"3,896,986,000.00"	"57,714,362,660.00"
FOSL	Fossil Group Inc	54.41	"48,147,000.00"	"2,619,678,270.00"
BEN	Franklin Resources Inc	40.76	"613,818,000.00"	"25,019,221,680.00"
FCX	Freeport-McMoRan Inc	11.77	"1,136,928,000.00"	"13,381,642,560.00"
FTR	Frontier Communications Corp	5.14	"1,168,207,000.00"	"6,004,583,980.00"
GME	GameStop Corp A	46.07	"106,720,000.00"	"4,916,590,400.00"
GPS	Gap Inc	27.22	"417,355,000.00"	"11,360,403,100.00"
GRMN	Garmin Ltd	35.47	"190,936,000.00"	"6,772,499,920.00"
GD	General Dynamics	148.58	"322,727,000.00"	"47,950,777,660.00"
GE	General Electric Co	28.92	"10,096,429,000.00"	"291,988,726,680.00"
GGP	General Growth Properties Inc	28.95	"885,657,000.00"	"25,639,770,150.00"
GIS	General Mills Inc	58.11	"598,738,000.00"	"34,792,665,180.00"
GM	General Motors Company	34.91	"1,583,997,000.00"	"55,297,335,270.00"
GPC	Genuine Parts Co	90.76	"151,597,000.00"	"13,758,943,720.00"
GNW	Genworth Financial Inc	4.68	"497,419,000.00"	"2,327,920,920.00"
GILD	Gilead Sciences Inc	108.13	"1,467,606,000.00"	"158,692,236,780.00"
GS	Goldman Sachs Group Inc	187.5	"432,871,000.00"	"81,163,312,500.00"
GT	Goodyear Tire & Rubber Co	32.84	"269,399,000.00"	"8,847,063,160.00"
GWW	Grainger W.W. Inc	210	"65,975,000.00"	"13,854,750,000.00"
HCA	HCA Holdings Inc	68.79	"415,192,000.00"	"28,561,057,680.00"
HCP	HCP Inc	37.2	"462,587,000.00"	"17,208,236,400.00"
HAL	Halliburton Co	38.38	"854,749,000.00"	"32,805,266,620.00"
HBI	Hanesbrands Inc	31.94	"402,477,000.00"	"12,855,115,380.00"
HOG	Harley-Davidson Inc	49.45	"205,967,000.00"	"10,185,068,150.00"
HAR	Harman Intl Industries Inc	109.96	"71,172,000.00"	"7,826,073,120.00"
HRS	Harris Corp	79.13	"124,071,000.00"	"9,817,738,230.00"
HIG	Hartford Finl Services Group	46.26	"414,845,000.00"	"19,190,729,700.00"
HAS	Hasbro Inc	76.83	"124,903,000.00"	"9,596,297,490.00"
HP	Helmerich & Payne Inc	56.27	"107,751,000.00"	"6,063,148,770.00"
HSY	Hershey Foods Corp	88.69	"158,765,000.00"	"14,080,867,850.00"
HES	Hess Corp	56.21	"287,058,000.00"	"16,135,530,180.00"
HPQ	Hewlett-Packard Co	26.96	"1,806,415,000.00"	"48,700,948,400.00"
HD	Home Depot Inc	123.64	"1,284,103,000.00"	"158,766,494,920.00"
HON	Honeywell Intl Inc	103.28	"781,762,000.00"	"80,740,379,360.00"
HRL	Hormel Foods Corp	67.55	"264,275,000.00"	"17,851,776,250.00"
DHI	Horton D.R. Inc	29.44	"366,778,000.00"	"10,797,944,320.00"
HST	Host Hotels & Resorts Inc	17.33	"751,123,000.00"	"13,016,961,590.00"
HCBK	Hudson City Bancorp	10.12	"529,529,000.00"	"5,358,833,480.00"
HUM	Humana Inc	178.63	"148,144,000.00"	"26,462,962,720.00"
JBHT	Hunt J.B. Transport Services	76.37	"116,251,000.00"	"8,878,088,870.00"
HBAN	Huntington Bancshares (OH)	10.97	"803,066,000.00"	"8,809,634,020.00"
ITW	Illinois Tool Works Inc	91.94	"366,089,000.00"	"33,658,222,660.00"
IR	Ingersoll-Rand Plc	59.26	"265,353,000.00"	"15,724,818,780.00"
INTC	Intel Corp	33.86	"4,754,000,000.00"	"160,970,440,000.00"
ICE	Intercontinental Exchange Inc	252.4	"110,489,000.00"	"27,887,423,600.00"
IPG	Interpublic Group Cos	22.93	"410,401,000.00"	"9,410,494,930.00"
IBM	Intl Business Machines Corp	140.08	"979,530,000.00"	"137,212,562,400.00"
IFF	Intl Flavors & Fragrances	116.06	"80,586,000.00"	"9,352,811,160.00"
IP	Intl Paper Co	42.69	"417,741,000.00"	"17,833,363,290.00"
INTU	Intuit Inc	97.43	"277,307,000.00"	"27,018,021,010.00"
ISRG	Intuitive Surgical Inc	496.6	"37,019,000.00"	"18,383,635,400.00"
IVZ	Invesco Ltd	33.17	"428,719,000.00"	"14,220,609,230.00"
IRM	Iron Mountain Inc	30.64	"210,826,000.00"	"6,459,708,640.00"
JPM	JP Morgan Chase & Co	64.25	"3,698,067,000.00"	"237,600,804,750.00"
JEC	Jacobs Engineering Group Inc	40.14	"123,799,000.00"	"4,969,291,860.00"
JNJ	Johnson & Johnson	101.03	"2,769,106,000.00"	"279,762,779,180.00"
JCI	Johnson Controls Inc	45.18	"654,069,000.00"	"29,550,837,420.00"
JNPR	Juniper Networks Inc	31.39	"384,427,000.00"	"12,067,163,530.00"
KLAC	KLA-Tencor Corporation	67.12	"157,531,000.00"	"10,573,480,720.00"
KSU	Kansas City Southern Inc	82.76	"110,360,000.00"	"9,133,393,600.00"
K	Kellogg Co	70.52	"353,581,000.00"	"24,934,532,120.00"
GMCR	Keurig Green Mountain Inc	50.75	"154,058,000.00"	"7,818,443,500.00"
KEY	KeyCorp	12.42	"840,861,000.00"	"10,443,493,620.00"
KMB	Kimberly-Clark	119.71	"364,275,000.00"	"43,607,360,250.00"
KIM	Kimco Realty Corp	26.77	"413,135,000.00"	"11,059,623,950.00"
KMI	Kinder Morgan Inc	27.35	"2,191,937,000.00"	"59,949,476,950.00"
KSS	Kohl's Corp	46.12	"197,876,000.00"	"9,126,041,120.00"
KR	Kroger Co	37.8	"971,424,000.00"	"36,719,827,200.00"
LB	L Brands Inc	95.98	"291,964,000.00"	"28,022,704,720.00"
LLL	L-3 Communications Holdings	126.4	"80,332,000.00"	"10,153,964,800.00"
LH	Lab Corp of America Hldgs	122.74	"100,600,000.00"	"12,347,644,000.00"
LRCX	Lam Research Corp	76.59	"158,187,000.00"	"12,115,542,330.00"
LM	Legg Mason Inc	44.75	"109,708,000.00"	"4,909,433,000.00"
LEG	Leggett & Platt	45.03	"136,829,000.00"	"6,161,409,870.00"
LEN	Lennar Corp	50.07	"173,937,000.00"	"8,709,025,590.00"
LUK	Leucadia National Corp (NY)	20.01	"366,603,000.00"	"7,335,726,030.00"
LVLT	Level 3 Communications	50.95	"355,833,000.00"	"18,129,691,350.00"
LLY	Lilly Eli & Co	81.57	"1,108,541,000.00"	"90,423,689,370.00"
LNC	Lincoln National Corp	53.51	"250,952,000.00"	"13,428,441,520.00"
LLTC	Linear Technology Corp	44.42	"239,758,000.00"	"10,650,050,360.00"
LMT	Lockheed Martin	219.83	"310,535,000.00"	"68,264,909,050.00"
L	Loews Corp	36.46	"363,082,000.00"	"13,237,969,720.00"
LOW	Lowe's Cos Inc	73.83	"925,233,000.00"	"68,309,952,390.00"
LYB	LyondellBasell Industries N.V.	92.91	"465,875,000.00"	"43,284,446,250.00"
MTB	M&T Bank Corp	119.85	"133,238,000.00"	"15,968,574,300.00"
MAC	Macerich Co	84.74	"158,321,000.00"	"13,416,121,540.00"
M	Macy's Inc	50.98	"330,983,000.00"	"16,873,513,340.00"
MNK	Mallinckrodt plc	65.67	"117,343,000.00"	"7,705,914,810.00"
MRO	Marathon Oil Corp	18.38	"677,185,000.00"	"12,446,660,300.00"
MPC	Marathon Petroleum Corp.	51.8	"536,157,000.00"	"27,772,932,600.00"
MAR	Marriott Intl A	76.78	"265,888,000.00"	"20,414,880,640.00"
MMC	Marsh & McLennan Companies	55.74	"529,993,000.00"	"29,541,809,820.00"
MLM	Martin Marietta Materials	155.15	"67,001,000.00"	"10,395,205,150.00"
MAS	Masco Corp	29	"343,950,000.00"	"9,974,550,000.00"
MA	Mastercard Inc A	98.99	"1,108,884,000.00"	"109,768,427,160.00"
MAT	Mattel Inc	24.58	"338,613,000.00"	"8,323,107,540.00"
MKC	McCormick & Co	83.98	"115,965,000.00"	"9,738,740,700.00"
MCD	McDonald's Corp	112.25	"941,810,000.00"	"105,718,172,500.00"
MHFI	McGraw Hill Financial Inc	92.64	"272,500,000.00"	"25,244,400,000.00"
MCK	McKesson Corp	178.8	"232,403,000.00"	"41,553,656,400.00"
MJN	Mead Johnson Nutrition Co	82	"202,739,000.00"	"16,624,598,000.00"
MDT	Medtronic plc	73.92	"1,414,189,000.00"	"104,536,850,880.00"
MRK	Merck & Co Inc	54.66	"2,816,635,000.00"	"153,957,269,100.00"
MET	Metlife Inc	50.38	"1,116,881,000.00"	"56,268,464,780.00"
KORS	Michael Kors Holdings Ltd	38.64	"193,422,000.00"	"7,473,826,080.00"
MCHP	Microchip Technology Inc	48.29	"211,091,000.00"	"10,193,584,390.00"
MU	Micron Technology Inc	16.56	"1,076,436,000.00"	"17,825,780,160.00"
MSFT	Microsoft Corp	52.64	"7,997,981,000.00"	"421,013,719,840.00"
MHK	Mohawk Industries Inc	195.5	"73,913,000.00"	"14,449,991,500.00"
TAP	Molson Coors Brewing Co B	88.1	"179,593,000.00"	"15,822,143,300.00"
MDLZ	Mondelez International Inc	46.16	"1,611,307,000.00"	"74,377,931,120.00"
MON	Monsanto Co.	93.22	"467,835,000.00"	"43,611,578,700.00"
MNST	Monster Beverage Corp New	136.32	"205,498,000.00"	"28,013,487,360.00"
MCO	Moody's Corp	96.16	"200,300,000.00"	"19,260,848,000.00"
MS	Morgan Stanley	32.97	"1,953,385,000.00"	"64,403,103,450.00"
MOS	Mosaic Co	33.79	"337,159,000.00"	"11,392,602,610.00"
MSI	Motorola Solutions Inc	69.97	"176,677,000.00"	"12,362,089,690.00"
MUR	Murphy Oil Corp	28.43	"172,752,000.00"	"4,911,339,360.00"
MYL	Mylan NV	44.09	"491,554,000.00"	"21,672,615,860.00"
NKE	NIKE Inc B	131.03	"677,894,000.00"	"88,824,450,820.00"
NRG	NRG Energy	12.89	"330,655,000.00"	"4,262,142,950.00"
NDAQ	Nasdaq Inc	57.89	"168,930,000.00"	"9,779,357,700.00"
NOV	National Oilwell Varco Inc	37.64	"383,809,000.00"	"14,446,570,760.00"
NAVI	Navient Corp	13.19	"374,033,000.00"	"4,933,495,270.00"
NTAP	NetApp Inc	34	"300,083,000.00"	"10,202,822,000.00"
NFLX	NetFlix Inc	108.38	"426,005,000.00"	"46,170,421,900.00"
NWL	Newell Rubbermaid Inc	42.43	"267,800,000.00"	"11,362,754,000.00"
NFX	Newfield Exploration Co	40.19	"162,966,000.00"	"6,549,603,540.00"
NEM	Newmont Mining Corp	19.46	"529,055,000.00"	"10,295,410,300.00"
NWSA	News Corp A	15.4	"380,999,000.00"	"5,867,384,600.00"
NWS	News Corp B	15.48	"199,630,000.00"	"3,090,272,400.00"
NEE	NextEra Energy Inc	102.66	"460,272,000.00"	"47,251,523,520.00"
NLSN	Nielsen Holdings plc	47.51	"366,860,000.00"	"17,429,518,600.00"
NI	Nisource Inc	19.16	"317,859,000.00"	"6,090,178,440.00"
NBL	Noble Energy Inc	35.84	"425,066,000.00"	"15,234,365,440.00"
JWN	Nordstrom Inc	65.21	"188,234,000.00"	"12,274,739,140.00"
NSC	Norfolk Southern Corp	80.03	"301,387,000.00"	"24,120,001,610.00"
NTRS	Northern Trust Corp (IL)	70.39	"232,853,000.00"	"16,390,522,670.00"
NOC	Northrop Grumman Corp	187.75	"187,393,000.00"	"35,183,035,750.00"
NUE	Nucor Corp	42.3	"319,600,000.00"	"13,519,080,000.00"
NVDA	Nvidia Corp	28.37	"539,000,000.00"	"15,291,430,000.00"
ORLY	O'Reilly Automotive	276.26	"99,403,000.00"	"27,461,072,780.00"
OKE	ONEOK Inc	33.92	"209,167,000.00"	"7,094,944,640.00"
OXY	Occidental Petroleum	74.54	"763,951,000.00"	"56,944,907,540.00"
OMC	Omnicom Group	74.92	"242,948,000.00"	"18,201,664,160.00"
ORCL	Oracle Corp	38.84	"4,336,077,000.00"	"168,413,230,680.00"
OI	Owens-Illinois Inc	21.55	"160,768,000.00"	"3,464,550,400.00"
PCAR	PACCAR Inc	52.65	"354,968,000.00"	"18,689,065,200.00"
PCG	PG&E Corporation	53.4	"489,166,000.00"	"26,121,464,400.00"
PNC	PNC Finl Services Group	90.26	"513,600,000.00"	"46,357,536,000.00"
PPG	PPG Industries Inc	104.26	"270,721,000.00"	"28,225,371,460.00"
PPL	PPL Corp	34.4	"669,970,000.00"	"23,046,968,000.00"
