Symbol	Name
BCOR	Blucora Inc.
BCPC	Balchem Corp.
BEL	Belmond Ltd.
BELFB	"Bel Fuse, Inc."
BFS	"Saul Centers, Inc."
BGC	General Cable Corp.
BGFV	Big 5 Sporting Goods Corp.
BGG	Briggs & Stratton Corp.
BGS	B&G Foods Inc.
BH	Biglari Holdings Inc.
BHE	Benchmark Electronics Inc.
BJRI	BJ's Restaurants Inc.
BKE	"Buckle, Inc."
BKMU	Bank Mutual Corp.
BKS	"Barnes & Noble, Inc."
BLD	TopBuild Corp.
BLKB	Blackbaud Inc.
BMI	"Badger Meter, Inc."
BNED	"Barnes & Noble Education, Inc."
BOBE	"Bob Evans Farms, Inc."
BOFI	BOFI Holdings Inc.
BPFH	"Boston Private Financial Holdings, Inc."
BRC	Brady Corp.
BRKL	"Brookline Bancorp, Inc."
BRKS	"Brooks - PRI Automation, Inc."
BRS	Bristow Group Inc.
BYD	Boyd Gaming Corp.
CACI	"CACI Intl, Inc."
CAL	"Caleres, Inc."
CALM	"Cal-Maine Foods, Inc."
CAMP	"California Amplifier, Inc."
CATM	Cardtronics Inc.
CATO	Cato Corp.
CBB	Cincinnati Bell Inc.
CBM	Cambrex Corp.
CBR	"Ciber, Inc."
CBU	"Community Bank Sys, Inc."
CC	Chemours Co.
CCC	Calgon Carbon Corp.
CCMP	Cabot Microelectronics Corp.
CCOI	"Cogent Communications Holdings, Inc."
CCRN	"Cross Country Healthcare, Inc."
CDI	CDI Corp.
CDR	"Cedar Income Fund, Ltd."
CECO	Career Education Corp.
CENTA	Central Garden & Pet Co.
CENX	Century Aluminum Co.
CEVA	Ceva Inc.
CFNL	Cardinal Financial Corp.
CGI	"Celadon Group, Inc."
CHCO	City Holding Co.
CHE	Chemed Corp.
CHSP	Chesapeake Lodging Trust
CIR	"Circor Intl, Inc."
CKH	SEACOR Holdings Inc.
CKP	Checkpoint Systems Inc.
CLD	Cloud Peak Energy Inc.
CLMS	Calamos Asset Management Inc.
CLW	Clearwater Paper Corp.
CMN	Cantel Medical Corp.
CMO	Capstead Mortgage Corp.
CMTL	Comtech Telecommunications Corp.
CNMD	CONMED Corp.
CNSL	Consolidated Communications Holdings Inc.
COHR	"Coherent, Inc."
COHU	"Cohu, Inc."
COLB	"Columbia Banking System, Inc."
COR	CoreSite Realty Corp.
CORE	"Core Mark Holding Co., Inc."
CPF	"CPB, Inc."
CPLA	Capella Education Co.
CPSI	Computer Programs and Systems Inc.
CRAY	"Cray, Inc."
CROX	"Crocs, Inc."
CRR	"Carbo Ceramics, Inc."
CRUS	"Cirrus Logic, Inc."
CRVL	CorVel Corp.
CRY	"Cryolife, Inc."
CRZO	"Carrizo Oil & Gas, Inc."
CSGS	"CSG Systems Intl, Inc."
CSH	Cash America Intl Inc.
CTRE	"CareTrust REIT, Inc."
CTS	CTS Corp.
CUB	Cubic Corp.
CUZ	"Cousins Properties, Inc."
CVBF	CVB Financial Corp.
CVGW	"Calavo Growers, Inc."
CWT	California Water Services Group
CYNO	"Cynosure, Inc."
DAKT	"Daktronics, Inc."
DAR	Darling Ingredients Inc.
DCOM	"Dime Community Bancshares, Inc."
DEL	Deltic Timber Corp.
DEPO	"DepoMed, Inc."
DGII	Digi Intl Inc.
DHX	"DHI Group, Inc."
DIN	DineEquity Inc.
DIOD	Diodes Inc.
DORM	"Dorman Products, Inc."
DRH	DiamondRock Hospitality Co.
DSPG	"DSP Group, Inc."
DTSI	"DTS, Inc."
DW	Drew Industries Inc.
DXPE	"DXP Enterprises, Inc."
DY	"Dycom Industries, Inc."
EBIX	"ebix.com, Inc."
EBS	Emergent BioSolutions Inc.
ECHO	Echo Global Logistics Inc.
ECOL	US Ecology Inc.
ECPG	Encore Capital Group Inc.
EDR	Education Realty Trust Inc.
EE	El Paso Electric Co.
EFII	"Electronics for Imaging, Inc."
EGHT	"8x8, Inc."
EGL	"Engility Holdings, Inc."
EGOV	"National Information Consortium, Inc."
EGP	"EastGroup Properties, Inc."
EHTH	eHealth Inc.
EIG	Employers Holdings Inc.
ELY	Callaway Golf Co.
EME	"EMCOR Group, Inc."
ENS	EnerSys Inc.
ENSG	Ensign Group Inc.
ENTA	"Enanta Pharmaceuticals, Inc."
ENVA	"Enova International, Inc."
EPAY	"Bottomline Technologies, Inc."
EPIQ	"EPIQ Systems, Inc."
ERA	"Era Group, Inc."
ESE	"Esco Technologies, Inc."
ESIO	"Electro Scientific Industries, Inc."
ESND	Essendant Inc.
ETH	Ethan Allen Interiors Inc.
EVR	Evercore Partners Inc.
EXAM	ExamWorks Group Inc.
EXAR	Exar Corp.
EXLS	ExlService Holdings Inc.
EXPO	"Exponent, Inc."
EXPR	Express Inc.
EXTN	Exterran Corp.
EZPW	"EZCORP, Inc."
FARO	"FARO Technologies, Inc."
FBP	First Bancorp
FCF	First Commonwlth Fncl Pa
FCFS	"First Cash Financial Services, Inc."
FCPT	"Four Corners Property Trust, Inc."
FELE	"Franklin Electric Co., Inc."
FF	FutureFuel Corp.
FFBC	First Financial Bancorp.
FFIN	"First Financial Bankshares, Inc."
FINL	"Finish Line, Inc."
FIVE	"Five Below, Inc."
FIX	"Comfort Systems U S A, Inc."
FLOW	SPX FLOW Inc.
FMBI	"First Midwest Bancorp, Inc."
FN	Fabrinet
FNGN	Financial Engines Inc.
FOR	Forestar Group Inc.
FORR	"Forrester Research, Inc."
FRAN	Francesca's Holdings Corp.
FRED	"Freds, Inc."
FSP	Franklin Street Properties Corp.
FSS	Federal Signal Corp.
FTD	"FTD Companies, Inc."
FTK	Flotek Industries Inc.
FUL	H. B. Fuller Co.
FWRD	Forward Air Corp.
GB	"Wilson Greatbatch Technologies, Inc."
GBCI	"Glacier Bancorp, Inc."
GBX	"Greenbrier Cos, Inc."
GCI	"Gannett Co., Inc."
GCO	"Genesco, Inc."
GDOT	Green Dot Corp.
GEO	"GEO Group, Inc."
GEOS	Geospace Technologies Corp.
GFF	Griffon Corp.
GHL	Greenhill & Co. Inc.
GIFI	"Gulf Island Fabrication, Inc."
GIII	"G-III Apparel Group, Ltd."
GK	"G&K Services, Inc."
GLF	"GulfMark Offshore, Inc."
GLT	Ph Glatfelter Co.
GNCMA	"General Communication, Inc."
GOV	Government Properties Income Trust
GPI	Group I Automotive Inc.
GPRE	Green Plains Renewable Energy Inc.
GTLS	Chart Industries Inc.
GTY	Getty Realty Corp. Holding Co.
HA	"Hawaiian Airlines, Inc."
HAE	Haemonetics Corp.
HAFC	Hanmi Financial Corp.
HAYN	Haynes International Inc.
HCI	"Homeowners Choice, Inc."
HCSG	"Healthcare Services Group, Inc."
HELE	Helen of Troy Ltd.
HF	HFF Inc.
HHS	"Harte Hanks, Inc."
HI	Hillenbrand Inc.
HIBB	Hibbett Sports Inc.
HLIT	"Harmonic, Inc."
HLX	"Helix Energy Solutions Group, Inc."
HMN	Horace Mann Educators Corp.
HMSY	"Health Management Systems, Inc."
HOMB	Home BancShares Inc.
HOS	Hornbeck Offshore Services Inc.
HPY	Heartland Payment Systems Inc.
HQY	"HealthEquity, Inc."
HSC	Harsco Corp.
HSII	"Heidrick & Struggles Intl, Inc."
HSTM	"HealthStream, Inc."
HTLD	"Heartland Express, Inc."
HUBG	"Hub Group, Inc."
HVT	"Haverty Furniture Cos., Inc."
HW	Headwaters Inc.
HWAY	"Healthways, Inc."
HWKN	"Hawkins Chemical, Inc."
HZO	"Marinemax, Inc."
IART	Integra LifeSciences Holdings Corp.
IBKR	"Interactive Brokers Group, Inc."
IBP	Installed Building Products Inc.
ICON	"Iconix Brand Group, Inc."
ICUI	"ICU Medical, Inc."
IILG	"Interval Leisure Group, Inc."
IIVI	II-VI Inc.
INDB	Independent Bank Corp.
INGN	"Inogen, Inc."
ININ	"Interactive Intelligence, Inc."
INN	Summit Hotel Properties Inc.
INTL	INTL FCStone Inc.
IOSP	"Innospec, Inc."
IPAR	"Inter Parfums, Inc."
IPCC	Infinity Property and Casualty Corp.
IPHS	Innophos Holdings Inc.
IPI	"Intrepid Potash, Inc."
IPXL	Impax Laboratories Inc.
IRBT	iRobot Corp.
IRC	Inland Real Estate Corp.
IRDM	Iridium Communications Inc.
ITG	Investment Technology Group
ITRI	"Itron, Inc."
IVC	Invacare Corp.
JBT	John Bean Technologies Corp.
JJSF	J&J Snack Foods Corp.
KALU	Kaiser Aluminum Corp.
KAMN	Kaman Corp.
KELYA	"Kelly Services, Inc."
KFY	Korn Ferry Intl
KIRK	"Kirkland's, Inc."
KLIC	"Kulicke and Soffa Industries, Inc."
KND	"Kindred Healthcare, Inc."
KNX	"Knight Transportation, Inc."
KOP	Koppers Holdings Inc.
KOPN	Kopin Corp.
KRA	Kraton Performance Polymers Inc.
KRG	Kite Realty Group Trust
KS	KapStone Paper and Packaging Corp
KWR	Quaker Chemical Corp.
LAD	"Lithia Motors, Inc."
LCI	"Lannett Co., Inc."
LDL	"Lydall, Inc."
LDR	"Landauer, Inc."
LFUS	"Littelfuse, Inc."
LG	Laclede Gas Co.
LGND	Ligand Pharmaceuticals Inc.
LHCG	LHC Group Inc.
LITE	Lumentum Holdings Inc.
LL	"Lumber Liquidators Holdings, Inc."
LMNX	Luminex Corp.
LMOS	Lumos Networks Corp.
LNN	Lindsay Corp.
LOGM	LogMeIn Inc.
LPSN	"LivePerson, Inc."
LQDT	Liquidity Services Inc.
LTC	"LTC Properties, Inc."
LTXB	"LegacyTexas Financial Group, Inc."
LXP	Lexington Corp. Properties Trust
LXU	LSB Industries
LZB	"La Z Boy, Inc."
MANT	ManTech Intl Corp.
MASI	Masimo Corp.
MATW	Matthews Intl Corp.
MATX	"Matson, Inc."
MBFI	"MB Financial, Inc."
MCF	Contango Oil & Gas Co.
MCRI	"Monarch Casino & Resort, Inc."
MCS	Marcus Corp.
MDCO	Medicines Co.
MDSO	Medidata Solutions Inc.
MDXG	"MiMedx Group, Inc."
MED	"Medifast, Inc."
MEI	"Methode Electronics, Inc."
MGLN	"Magellan Health Services, Inc."
MHO	"M/I Homes, Inc."
MINI	"Mobile Mini, Inc."
MKSI	"MKS Instruments, Inc."
MLI	Mueller Industries Inc.
MMSI	"Merit Medical Systems, Inc."
MNRO	"Monro Muffler Brake, Inc."
MNTA	Momenta Pharmaceuticals Inc.
MOG/A	"Moog, Inc."
MOV	"Movado Group, Inc."
MPAA	Motorcar Parts of America Inc.
MPW	Medical Properties Trust Inc.
MPWR	"Monolithic Power Systems, Inc."
MRCY	Mercury Systems Inc.
MRTN	"Marten Transport, Ltd."
MSTR	MicroStrategy Inc.
MTH	Meritage Homes Corp.
MTRN	Materion Corp.
MTRX	Matrix Service Co.
MTSC	MTS Systems Corp.
MWW	Monster Worldwide Inc.
MYE	"Myers Industries, Inc."
MYRG	"MYR Group, Inc."
NANO	Nanometrics Inc.
NAVG	"Navigators Group, Inc."
NBTB	"NBT Bancorp, Inc."
NCI	Navigant Consulting
NEOG	Neogen Corp.
NEWP	Newport Corp.
NFBK	"Northfield Bancorp, Inc."
NILE	Blue Nile Inc.
NKTR	Nektar Therapeutics
NOG	"Northern Oil and Gas, Inc."
NP	Neenah Paper Inc.
NPBC	"National Penn Bancshares, Inc."
NPK	National Presto Inds Inc.
NPO	"EnPro Industries, Inc."
NR	"Newpark Resources, Inc."
NSIT	"Insight Enterprises, Inc."
NSP	"Insperity, Inc."
NTGR	"NetGear, Inc."
NTRI	"NutriSystem, Inc."
NUVA	"NuVasive, Inc."
NWBI	"Northwest Bancshares, Inc."
NWE	NorthWestern Corp.
NWN	Northwest Natural Gas
NX	Quanex Corp.
OFG	"Oriental Fncl Group, Inc."
OMCL	Omnicell Inc.
ONB	Old National Bancorp
ORIT	Oritani Financial Corp.
ORN	"Orion Marine Group, Inc."
OSIS	"OSI Systems, Inc."
OUTR	Outerwall Inc.
OXM	Oxford Industries Inc.
PAHC	Phibro Animal Health Corp.
PBH	Prestige Brands Holdings Inc.
PDCE	"PDC Energy, Inc."
PEI	Pennsylvania REIT
PERY	"Perry Ellis Intl, Inc."
PES	Pioneer Energy Services Corp.
PETS	"PetMed Express, Inc."
PFS	Provident Financial Services Inc.
PGTI	"PGT, Inc."
PJC	Piper Jaffray Cos.
PKE	Park Electrochemical Corp.
PKY	"Parkway Properties, Inc."
PLCE	"The Children's Place, Inc."
PLKI	"Popeyes Louisiana Kitchen, Inc."
PLUS	"ePlus, Inc."
PLXS	Plexus Corp.
PMC	PharMerica Corp.
PNFP	"Pinnacle Financial Partners, Inc."
PNK	Pinnacle Entertainment
PNY	Piedmont Natural Gas Co. N C
POWI	"Power Integrations, Inc."
POWL	"Powell Industries, Inc."
PRA	ProAssurance Corp.
PRAA	"PRA Group, Inc."
PRFT	"Perficient, Inc."
PRGS	Progress Software Corp.
PRLB	Proto Labs Inc.
PRSC	Providence Service Corp.
PSB	"PS Business Parks, Inc."
PZZA	"Papa Johns Intl, Inc."
QLGC	QLogic Corp.
QLYS	"Qualys, Inc."
QNST	QuinStreet Inc.
QSII	"Quality Systems, Inc."
RCII	"Rent-A-Center, Inc."
RECN	Resources Connection Inc.
REX	Rex American Resources Corp.
REXX	Rex Energy Corp.
RGEN	Repligen Corp.
RGR	"Sturm Ruger & Co., Inc."
RGS	Regis Corp.
RKUS	Ruckus Wireless Inc.
RLI	RLI Corp.
RMAX	RE/Max Holdings Inc.
RMBS	"Rambus, Inc."
ROCK	Gibraltar Steel Corp.
ROG	Rogers Corp.
ROIC	Retail Opportunity Investmnt Corp.
ROVI	Rovi Corp.
RRGB	Red Robin Gourmet Burgers Inc.
RRTS	Roadrunner Transportation Systems Inc.
RSTI	"Rofin-Sinar Technologies, Inc."
RT	Ruby Tuesday Inc. Ga
RTEC	"Rudolph Technologies, Inc."
RUTH	Ruths Chris Steak House Inc.
RYAM	Rayonier Advanced Materials Inc.
SAFM	"Sanderson Farms, Inc."
SAFT	"Safety Insurance Group, Inc."
SAH	"Sonic Automotive, Inc."
SAIA	SAIA Inc.
SANM	Sanmina Corp.
SBRA	Sabra Healthcare REIT Inc.
SBSI	"Southside Bancshares, Inc."
SCAI	"Surgical Care Affiliates, Inc."
SCHL	Scholastic Corp.
SCL	Stepan Co.
SCSC	"ScanSource, Inc."
SCSS	Select Comfort Corp.
SEM	Select Medical Holdings Corp.
SENEA	Seneca Foods Corp.
SFNC	Simmons First National Corp.
SGMS	Scientific Games Corp.
SGNT	Sagent Pharmaceuticals Inc.
SGY	Stone Energy Corp.
SHLM	"A. Schulman, Inc."
SHOO	"Steven Madden, Ltd."
SIGI	"Selective Insurance Group, Inc."
SJI	"South Jersey Inds, Inc."
SKYW	"SkyWest, Inc."
SLCA	"US Silica Holdings, Inc."
SMCI	"Super Micro Computer, Inc"
SMP	"Standard Motor Prod, Inc."
SMRT	"Stein Mart, Inc."
SMTC	Semtech Corp.
SNCR	"Synchronoss Technologies, Inc."
SONC	Sonic Corp.
SPOK	"Spok Holdings, Inc."
SPPI	"Spectrum Pharmaceuticals, Inc."
SPTN	"Spartan Stores, Inc."
SPXC	SPX Corp.
SRDX	"SurModics, Inc."
SSD	"Simpson Mfg Co, Inc."
SSI	"Stage Stores, Inc."
SSP	Scripps E W Co.
STBA	"S&T Bancorp, Inc."
STC	Stewart Information Services Corp.
STL	Sterling Bancorp
STMP	"Stamps.com, Inc."
STRA	"Strayer Education, Inc."
SUP	"Superior Industries Intl, Inc. Ca"
SUPN	"Supernus Pharmaceuticals, Inc."
SWC	Stillwater Mining Co.
SWM	Schweitzer Mauduit Intl
SWX	Southwest Gas Corp.
SXC	SunCoke Energy Inc.
SXI	Standex Intl Corp.
SYKE	"Sykes Enterprises, Inc."
SYRG	Synergy Resources Corp.
SZMK	Sizmek Inc.
TASR	TASER Intl Inc.
TBI	True Blue Inc.
TCBI	"Texas Capital Bancshares, Inc."
TDW	"Tidewater, Inc."
TESO	Tesco Corp.
TG	Tredegar Corp.
THRM	Gentherm Inc.
TILE	"Interface, Inc."
TLMR	Talmer Bancorp Inc.
TLRD	"Tailored Brands, Inc."
TMP	Tompkins Financial Corp.
TMST	Timken Steel Corp.
TNC	Tennant Co.
TNGO	"Tangoe, Inc."
TREE	"LendingTree, Inc."
TREX	"Trex Co., Inc."
TRST	TrustCo Bank Corp NY
TSRA	Tessera Technologies Inc.
TTEC	"TeleTech Holdings, Inc."
TTEK	Tetra Tech Inc.
TTI	TETRA Technologies
TTMI	"TTM Technologies, Inc."
TTWO	"Take-Two Interactive Software, Inc."
TUES	Tuesday Morning Corp.
TUMI	Tumi Holdings Inc.
TWI	"Titan Intl, Inc."
TXRH	Texas Roadhouse Inc.
TYPE	Monotype Imaging Holdings Inc.
UBA	Urstadt Biddle Properties Inc.
UBSI	"United Bankshares, Inc."
UCBI	"United Community Banks, Inc."
UEIC	"Universal Electronics, Inc."
UFCS	United Fire & Casualty Co.
UFI	"Unifi, Inc."
UFPI	"Universal Forest Products, Inc."
UHT	Universal Health Realty Income Trust
UIHC	United Insurance Holdings Corp.
UMBF	UMB Financial Corp.
UNF	Unifirst Corp.
UNT	Unit Corp.
USCR	"US Concrete, Inc."
USPH	"U.S. Physical Therapy, Inc."
UTEK	"Ultratech, Inc."
UTI	"Universal Technical Institute, Inc."
UVE	Universal Insurance Holdings Inc.
UVV	Universal Corp.
VAC	Marriott Vacations Worldwide Corp.
VASC	"Vascular Solutions, Inc."
VDSI	"VASCO Data Security Intl, Inc."
VECO	"Veeco Instruments, Inc."
VIAV	Viavi Solutions Inc.
VICR	Vicor Corp.
VIVO	Meridian Bioscience Inc.
VOXX	Audiovox Corp.
VRA	Vera Bradley Inc.
VRTS	"Virtus Investment Partners, Inc."
VRTU	Virtusa Corp.
VRTV	Veritiv Corp.
VSAT	"ViaSat, Inc."
VSI	Vitamin Shoppe Inc.
VVI	Viad Corp.
WABC	Westamerica Bancorp
WAGE	"WageWorks, Inc."
WD	Walker & Dunlop Inc.
WDFC	WD-40 Co.
WGO	Winnebago Industries Inc.
WIBC	Wilshire State Bank
WIRE	Encore Wire Corp.
WRLD	World Acceptance Corp.
WTFC	Wintrust Financial Corp.
WTS	"Watts Water Technologies, Inc."
WWE	"World Wrestling Entertainment, Inc."
WWW	Wolverine World Wide Inc.
XOXO	XO Group Inc.
XXIA	Ixia
ZEUS	"Olympic Steel, Inc."
ZLTQ	Zeltiq Aesthetics Inc.
ZUMZ	Zumiez Inc.
