Investment Company Institute																									
Long-Term Mutual Fund and Exchange-Traded Fund (ETF) Flows																									
"Millions, U.S. dollars"																									
																									
Date	Total LT MF and ETF flows		Equity						Hybrid		Bond						Commodity								
			Total		Domestic		World				Total		Taxable		Municipal										
08/31/2015 	"-38,467"		"-14,450"		"-18,569"		"4,119"		"-6,391"		"-18,122"		"-16,833"		"-1,289"		495								
09/30/2015 	"-14,979"		"1,133"		"-4,725"		"5,859"		"-4,959"		"-10,849"		"-10,509"		-339		-305								
10/31/2015 	"20,577"		"6,740"		-807		"7,547"		"-2,361"		"15,397"		"12,414"		"2,984"		800								
11/30/2015 	"-4,174"		"5,508"		654		"4,854"		"-4,422"		"-5,573"		"-8,439"		"2,866"		314								
12/31/2015 	"-39,484"		"-1,542"		476		"-2,019"		"-12,234"		"-25,043"		"-31,303"		"6,260"		-664								
01/31/2016 	"-21,074"		"-20,210"		"-27,222"		"7,012"		"-10,561"		"7,686"		"2,676"		"5,011"		"2,010"								
02/29/2016 	"11,674"		"-4,471"		"-8,745"		"4,274"		"-1,435"		"11,915"		"6,616"		"5,299"		"5,664"								
03/31/2016 	"46,387"		"11,762"		"7,711"		"4,051"		"3,181"		"29,296"		"23,464"		"5,832"		"2,148"								
04/30/2016 	"4,660"		"-17,208"		"-12,610"		"-4,598"		428		"22,114"		"16,291"		"5,824"		-674								
05/31/2016 	"-1,094"		"-19,969"		"-14,252"		"-5,717"		"-1,516"		"16,925"		"8,955"		"7,970"		"3,466"								
06/30/2016 	"2,206"		"-14,875"		"-15,530"		655		"-3,872"		"16,625"		"9,566"		"7,059"		"4,327"								
07/31/2016 	"31,534"		"-2,356"		292		"-2,648"		"-1,751"		"33,573"		"26,820"		"6,753"		"2,069"								
08/31/2016 	"17,467"		"-12,369"		"-9,956"		"-2,414"		-458		"30,863"		"23,568"		"7,295"		-568								
09/30/2016 	"8,070"		"-13,011"		"-5,710"		"-7,301"		"-4,111"		"24,695"		"20,697"		"3,999"		496								
10/31/2016 	"-15,268"		"-24,150"		"-23,109"		"-1,041"		"-4,886"		"13,855"		"12,256"		"1,599"		-87								
11/30/2016 	"-2,784"		"21,616"		"23,166"		"-1,551"		"-7,538"		"-13,289"		"-2,147"		"-11,142"		"-3,572"								
12/31/2016 	"3,794"		"23,744"		"18,861"		"4,883"		"-12,210"		"-4,140"		"12,191"		"-16,331"		"-3,600"								
																									
Estimated weekly fund flows																									
01/04/2017	"-1,683"		"-1,603"		"-2,087"		484		"-1,941"		"2,360"		"3,950"		"-1,590"		-500								
01/11/2017	"15,856"		"7,431"		"3,001"		"4,430"		-899		"9,608"		"7,755"		"1,853"		-283								
01/18/2017	"3,488"		"-1,292"		"-3,748"		"2,457"		-106		"4,655"		"3,531"		"1,124"		231								
01/25/2017	"3,185"		"-3,933"		"-8,249"		"4,315"		-549		"8,158"		"7,637"		521		-492								
02/01/2017	"24,279"		"15,045"		"11,769"		"3,276"		-567		"9,388"		"8,511"		877		413								
02/08/2017	"18,323"		"5,492"		814		"4,678"		155		"11,615"		"10,705"		911		"1,061"								
																									
"Note: Weekly fund flows are estimates based on reporting covering more than 98 percent of mutual fund and ETF assets, while actual monthly mutual fund net new cash flow and ETF net issuance data are collected and reported separately. Mutual fund data represent net new cash flow, which is  new sales minus redemptions combined with net exchanges, while ETF data represent net issuance, which is gross issuance less gross redemptions. The primary difference is that net new cash flow excludes reinvested dividends and new issuance includes reinvested dividends. Data for mutual funds that invest primarily in other mutual funds and ETFs that invest primarily in other ETFs were excluded from the series."																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
