Date,HNONWPDPI
1981-10-01,477.98
1982-01-01,476.38
1982-04-01,474.31
1982-07-01,473.76
1982-10-01,479.86
1983-01-01,485.29
1983-04-01,489.34
1983-07-01,481.33
1983-10-01,471.15
1984-01-01,464.93
1984-04-01,460.18
1984-07-01,461.62
1984-10-01,463.72
1985-01-01,472.52
1985-04-01,470.04
1985-07-01,473.46
1985-10-01,480.22
1986-01-01,486.63
1986-04-01,492.02
1986-07-01,490.30
1986-10-01,503.06
1987-01-01,513.16
1987-04-01,521.69
1987-07-01,519.51
1987-10-01,503.90
1988-01-01,505.77
1988-04-01,505.96
1988-07-01,502.61
1988-10-01,505.42
1989-01-01,504.62
1989-04-01,509.50
1989-07-01,516.60
1989-10-01,517.31
1990-01-01,508.25
1990-04-01,506.09
1990-07-01,494.33
1990-10-01,502.05
1991-01-01,512.41
1991-04-01,506.76
1991-07-01,507.23
1991-10-01,511.85
1992-01-01,499.38
1992-04-01,492.28
1992-07-01,493.28
1992-10-01,500.52
1993-01-01,501.64
1993-04-01,502.78
1993-07-01,507.44
1993-10-01,509.92
1994-01-01,507.52
1994-04-01,502.88
1994-07-01,503.01
1994-10-01,498.52
1995-01-01,501.94
1995-04-01,508.18
1995-07-01,513.45
1995-10-01,520.02
1996-01-01,523.52
1996-04-01,522.84
1996-07-01,521.45
1996-10-01,521.25
1997-01-01,520.31
1997-04-01,537.70
1997-07-01,547.89
1997-10-01,546.10
1998-01-01,562.87
1998-04-01,562.62
1998-07-01,540.98
1998-10-01,570.82
1999-01-01,573.16
1999-04-01,587.15
1999-07-01,577.54
1999-10-01,610.20
2000-01-01,611.40
2000-04-01,596.48
2000-07-01,594.44
2000-10-01,577.35
2001-01-01,556.94
2001-04-01,570.85
2001-07-01,538.77
2001-10-01,565.38
2002-01-01,558.99
2002-04-01,539.60
2002-07-01,519.80
2002-10-01,529.44
2003-01-01,526.77
2003-04-01,541.01
2003-07-01,540.76
2003-10-01,563.20
2004-01-01,580.76
2004-04-01,583.98
2004-07-01,587.95
2004-10-01,604.30
2005-01-01,618.96
2005-04-01,626.55
2005-07-01,634.91
2005-10-01,643.10
2006-01-01,651.41
2006-04-01,644.22
2006-07-01,642.60
2006-10-01,651.01
2007-01-01,649.70
2007-04-01,647.32
2007-07-01,640.86
2007-10-01,622.90
2008-01-01,590.37
2008-04-01,559.48
2008-07-01,548.12
2008-10-01,514.32
2009-01-01,505.81
2009-04-01,508.40
2009-07-01,523.93
2009-10-01,528.36
2010-01-01,534.55
2010-04-01,517.85
2010-07-01,527.74
2010-10-01,543.03
2011-01-01,543.92
2011-04-01,542.59
2011-07-01,518.04
2011-10-01,529.28
2012-01-01,538.21
2012-04-01,533.45
2012-07-01,547.70
2012-10-01,539.73
2013-01-01,585.52
2013-04-01,594.70
2013-07-01,608.88
2013-10-01,626.70
2014-01-01,627.04
2014-04-01,627.26
2014-07-01,621.73
2014-10-01,627.42
2015-01-01,636.33
2015-04-01,631.28
2015-07-01,617.92
2015-10-01,627.40
2016-01-01,629.88
2016-04-01,629.01
2016-07-01,641.48
2016-10-01,654.56
2017-01-01,661.71
2017-04-01,666.24
2017-07-01,674.95
2017-10-01,685.36
2018-01-01,682.56
