Date,USPHCI
1995-01-01,72.72
1995-02-01,72.98
1995-03-01,73.19
1995-04-01,73.26
1995-05-01,73.46
1995-06-01,73.63
1995-07-01,73.75
1995-08-01,73.94
1995-09-01,74.17
1995-10-01,74.36
1995-11-01,74.50
1995-12-01,74.68
1996-01-01,74.78
1996-02-01,75.05
1996-03-01,75.25
1996-04-01,75.40
1996-05-01,75.64
1996-06-01,75.96
1996-07-01,76.12
1996-08-01,76.44
1996-09-01,76.61
1996-10-01,76.84
1996-11-01,77.01
1996-12-01,77.20
1997-01-01,77.46
1997-02-01,77.72
1997-03-01,77.96
1997-04-01,78.25
1997-05-01,78.55
1997-06-01,78.75
1997-07-01,79.03
1997-08-01,79.19
1997-09-01,79.47
1997-10-01,79.81
1997-11-01,80.07
1997-12-01,80.32
1998-01-01,80.62
1998-02-01,80.84
1998-03-01,81.03
1998-04-01,81.41
1998-05-01,81.63
1998-06-01,81.86
1998-07-01,82.06
1998-08-01,82.32
1998-09-01,82.52
1998-10-01,82.78
1998-11-01,83.05
1998-12-01,83.32
1999-01-01,83.55
1999-02-01,83.80
1999-03-01,84.08
1999-04-01,84.31
1999-05-01,84.59
1999-06-01,84.79
1999-07-01,85.06
1999-08-01,85.29
1999-09-01,85.52
1999-10-01,85.83
1999-11-01,86.07
1999-12-01,86.39
2000-01-01,86.59
2000-02-01,86.79
2000-03-01,87.19
2000-04-01,87.52
2000-05-01,87.70
2000-06-01,87.85
2000-07-01,88.05
2000-08-01,88.17
2000-09-01,88.40
2000-10-01,88.52
2000-11-01,88.73
2000-12-01,88.87
2001-01-01,88.89
2001-02-01,89.03
2001-03-01,89.09
2001-04-01,89.08
2001-05-01,89.20
2001-06-01,89.16
2001-07-01,89.16
2001-08-01,89.09
2001-09-01,89.06
2001-10-01,88.90
2001-11-01,88.80
2001-12-01,88.72
2002-01-01,88.75
2002-02-01,88.76
2002-03-01,88.81
2002-04-01,88.79
2002-05-01,88.92
2002-06-01,89.01
2002-07-01,89.10
2002-08-01,89.20
2002-09-01,89.25
2002-10-01,89.38
2002-11-01,89.41
2002-12-01,89.40
2003-01-01,89.62
2003-02-01,89.60
2003-03-01,89.59
2003-04-01,89.62
2003-05-01,89.66
2003-06-01,89.69
2003-07-01,89.85
2003-08-01,89.98
2003-09-01,90.09
2003-10-01,90.32
2003-11-01,90.50
2003-12-01,90.71
2004-01-01,90.88
2004-02-01,91.08
2004-03-01,91.25
2004-04-01,91.54
2004-05-01,91.78
2004-06-01,91.97
2004-07-01,92.17
2004-08-01,92.37
2004-09-01,92.59
2004-10-01,92.82
2004-11-01,93.02
2004-12-01,93.19
2005-01-01,93.41
2005-02-01,93.59
2005-03-01,93.86
2005-04-01,94.10
2005-05-01,94.35
2005-06-01,94.62
2005-07-01,94.89
2005-08-01,95.14
2005-09-01,95.27
2005-10-01,95.47
2005-11-01,95.74
2005-12-01,96.00
2006-01-01,96.30
2006-02-01,96.54
2006-03-01,96.88
2006-04-01,97.12
2006-05-01,97.35
2006-06-01,97.53
2006-07-01,97.71
2006-08-01,97.92
2006-09-01,98.19
2006-10-01,98.35
2006-11-01,98.53
2006-12-01,98.78
2007-01-01,98.98
2007-02-01,99.21
2007-03-01,99.51
2007-04-01,99.66
2007-05-01,99.93
2007-06-01,100.00
2007-07-01,100.11
2007-08-01,100.27
2007-09-01,100.38
2007-10-01,100.55
2007-11-01,100.69
2007-12-01,100.74
2008-01-01,100.88
2008-02-01,101.02
2008-03-01,101.01
2008-04-01,101.09
2008-05-01,100.98
2008-06-01,100.91
2008-07-01,100.84
2008-08-01,100.71
2008-09-01,100.60
2008-10-01,100.30
2008-11-01,99.96
2008-12-01,99.56
2009-01-01,99.10
2009-02-01,98.68
2009-03-01,98.16
2009-04-01,97.71
2009-05-01,97.40
2009-06-01,97.15
2009-07-01,97.01
2009-08-01,96.90
2009-09-01,96.73
2009-10-01,96.61
2009-11-01,96.70
2009-12-01,96.65
2010-01-01,96.75
2010-02-01,96.81
2010-03-01,96.90
2010-04-01,97.07
2010-05-01,97.52
2010-06-01,97.68
2010-07-01,97.79
2010-08-01,97.87
2010-09-01,97.99
2010-10-01,98.24
2010-11-01,98.28
2010-12-01,98.65
2011-01-01,98.84
2011-02-01,99.06
2011-03-01,99.29
2011-04-01,99.52
2011-05-01,99.74
2011-06-01,99.94
2011-07-01,100.14
2011-08-01,100.32
2011-09-01,100.55
2011-10-01,100.85
2011-11-01,101.13
2011-12-01,101.34
2012-01-01,101.68
2012-02-01,101.92
2012-03-01,102.27
2012-04-01,102.46
2012-05-01,102.69
2012-06-01,102.87
2012-07-01,103.09
2012-08-01,103.35
2012-09-01,103.67
2012-10-01,103.87
2012-11-01,104.10
2012-12-01,104.28
2013-01-01,104.53
2013-02-01,104.92
2013-03-01,105.19
2013-04-01,105.35
2013-05-01,105.64
2013-06-01,105.87
2013-07-01,106.17
2013-08-01,106.46
2013-09-01,106.71
2013-10-01,106.95
2013-11-01,107.32
2013-12-01,107.59
2014-01-01,107.87
2014-02-01,108.02
2014-03-01,108.32
2014-04-01,108.80
2014-05-01,109.04
2014-06-01,109.43
2014-07-01,109.65
2014-08-01,109.93
2014-09-01,110.35
2014-10-01,110.72
2014-11-01,110.96
2014-12-01,111.39
2015-01-01,111.63
2015-02-01,112.03
2015-03-01,112.27
2015-04-01,112.63
2015-05-01,112.90
2015-06-01,113.27
2015-07-01,113.59
2015-08-01,113.87
2015-09-01,114.14
2015-10-01,114.45
2015-11-01,114.73
2015-12-01,115.05
2016-01-01,115.34
2016-02-01,115.64
2016-03-01,115.85
2016-04-01,116.11
2016-05-01,116.43
2016-06-01,116.63
2016-07-01,116.94
2016-08-01,117.21
2016-09-01,117.46
2016-10-01,117.76
2016-11-01,118.17
2016-12-01,118.31
2017-01-01,118.52
2017-02-01,118.83
2017-03-01,119.12
2017-04-01,119.39
2017-05-01,119.67
2017-06-01,119.93
2017-07-01,120.19
2017-08-01,120.43
2017-09-01,120.74
2017-10-01,121.05
2017-11-01,121.32
2017-12-01,121.57
2018-01-01,121.80
2018-02-01,122.11
2018-03-01,122.35
2018-04-01,122.74
2018-05-01,123.07
