Date,GASALLW
1995-04-03,1.13
1995-04-10,1.15
1995-04-17,1.16
1995-04-24,1.18
1995-05-01,1.19
1995-05-08,1.22
1995-05-15,1.23
1995-05-22,1.24
1995-05-29,1.25
1995-06-05,1.25
1995-06-12,1.24
1995-06-19,1.24
1995-06-26,1.23
1995-07-03,1.22
1995-07-10,1.21
1995-07-17,1.20
1995-07-24,1.19
1995-07-31,1.18
1995-08-07,1.17
1995-08-14,1.17
1995-08-21,1.17
1995-08-28,1.16
1995-09-04,1.16
1995-09-11,1.16
1995-09-18,1.16
1995-09-25,1.16
1995-10-02,1.15
1995-10-09,1.14
1995-10-16,1.13
1995-10-23,1.13
1995-10-30,1.12
1995-11-06,1.11
1995-11-13,1.11
1995-11-20,1.11
1995-11-27,1.11
1995-12-04,1.11
1995-12-11,1.11
1995-12-18,1.12
1995-12-25,1.13
1996-01-01,1.13
1996-01-08,1.14
1996-01-15,1.15
1996-01-22,1.14
1996-01-29,1.13
1996-02-05,1.13
1996-02-12,1.13
1996-02-19,1.13
1996-02-26,1.15
1996-03-04,1.17
1996-03-11,1.17
1996-03-18,1.18
1996-03-25,1.21
1996-04-01,1.22
1996-04-08,1.25
1996-04-15,1.29
1996-04-22,1.30
1996-04-29,1.32
1996-05-06,1.32
1996-05-13,1.32
1996-05-20,1.33
1996-05-27,1.32
1996-06-03,1.32
1996-06-10,1.31
1996-06-17,1.30
1996-06-24,1.29
1996-07-01,1.28
1996-07-08,1.28
1996-07-15,1.27
1996-07-22,1.27
1996-07-29,1.26
1996-08-05,1.25
1996-08-12,1.25
1996-08-19,1.25
1996-08-26,1.25
1996-09-02,1.24
1996-09-09,1.25
1996-09-16,1.25
1996-09-23,1.25
1996-09-30,1.25
1996-10-07,1.24
1996-10-14,1.25
1996-10-21,1.25
1996-10-28,1.26
1996-11-04,1.27
1996-11-11,1.27
1996-11-18,1.28
1996-11-25,1.29
1996-12-02,1.29
1996-12-09,1.29
1996-12-16,1.28
1996-12-23,1.28
1996-12-30,1.27
1997-01-06,1.27
1997-01-13,1.29
1997-01-20,1.29
1997-01-27,1.28
1997-02-03,1.28
1997-02-10,1.28
1997-02-17,1.27
1997-02-24,1.27
1997-03-03,1.26
1997-03-10,1.25
1997-03-17,1.25
1997-03-24,1.25
1997-03-31,1.25
1997-04-07,1.25
1997-04-14,1.24
1997-04-21,1.25
1997-04-28,1.24
1997-05-05,1.24
1997-05-12,1.24
1997-05-19,1.25
1997-05-26,1.26
1997-06-02,1.26
1997-06-09,1.25
1997-06-16,1.24
1997-06-23,1.23
1997-06-30,1.23
1997-07-07,1.22
1997-07-14,1.22
1997-07-21,1.22
1997-07-28,1.22
1997-08-04,1.24
1997-08-11,1.27
1997-08-18,1.27
1997-08-25,1.29
1997-09-01,1.29
1997-09-08,1.29
1997-09-15,1.28
1997-09-22,1.27
1997-09-29,1.26
1997-10-06,1.25
1997-10-13,1.25
1997-10-20,1.24
1997-10-27,1.23
1997-11-03,1.22
1997-11-10,1.22
1997-11-17,1.21
1997-11-24,1.21
1997-12-01,1.20
1997-12-08,1.19
1997-12-15,1.18
1997-12-22,1.17
1997-12-29,1.16
1998-01-05,1.15
1998-01-12,1.14
1998-01-19,1.13
1998-01-26,1.11
1998-02-02,1.11
1998-02-09,1.10
1998-02-16,1.09
1998-02-23,1.09
1998-03-02,1.08
1998-03-09,1.07
1998-03-16,1.06
1998-03-23,1.05
1998-03-30,1.08
1998-04-06,1.07
1998-04-13,1.07
1998-04-20,1.08
1998-04-27,1.09
1998-05-04,1.10
1998-05-11,1.11
1998-05-18,1.11
1998-05-25,1.11
1998-06-01,1.10
1998-06-08,1.11
1998-06-15,1.10
1998-06-22,1.10
1998-06-29,1.10
1998-07-06,1.10
1998-07-13,1.09
1998-07-20,1.10
1998-07-27,1.09
1998-08-03,1.08
1998-08-10,1.07
1998-08-17,1.07
1998-08-24,1.06
1998-08-31,1.05
1998-09-07,1.05
1998-09-14,1.04
1998-09-21,1.05
1998-09-28,1.05
1998-10-05,1.06
1998-10-12,1.06
1998-10-19,1.06
1998-10-26,1.06
1998-11-02,1.05
1998-11-09,1.05
1998-11-16,1.04
1998-11-23,1.03
1998-11-30,1.02
1998-12-07,1.00
1998-12-14,0.99
1998-12-21,0.99
1998-12-28,0.98
1999-01-04,0.98
1999-01-11,0.98
1999-01-18,0.99
1999-01-25,0.98
1999-02-01,0.97
1999-02-08,0.97
1999-02-15,0.96
1999-02-22,0.95
1999-03-01,0.96
1999-03-08,0.96
1999-03-15,1.02
1999-03-22,1.06
1999-03-29,1.12
1999-04-05,1.16
1999-04-12,1.18
1999-04-19,1.18
1999-04-26,1.17
1999-05-03,1.18
1999-05-10,1.18
1999-05-17,1.18
1999-05-24,1.17
1999-05-31,1.15
1999-06-07,1.15
1999-06-14,1.15
1999-06-21,1.16
1999-06-28,1.15
1999-07-05,1.17
1999-07-12,1.18
1999-07-19,1.21
1999-07-26,1.23
1999-08-02,1.23
1999-08-09,1.25
1999-08-16,1.28
1999-08-23,1.27
1999-08-30,1.27
1999-09-06,1.28
1999-09-13,1.29
1999-09-20,1.31
1999-09-27,1.30
1999-10-04,1.30
1999-10-11,1.29
1999-10-18,1.28
1999-10-25,1.28
1999-11-01,1.27
1999-11-08,1.27
1999-11-15,1.29
1999-11-22,1.31
1999-11-29,1.32
1999-12-06,1.31
1999-12-13,1.32
1999-12-20,1.31
1999-12-27,1.31
2000-01-03,1.31
2000-01-10,1.30
2000-01-17,1.32
2000-01-24,1.35
2000-01-31,1.36
2000-02-07,1.36
2000-02-14,1.39
2000-02-21,1.44
2000-02-28,1.46
2000-03-06,1.54
2000-03-13,1.57
2000-03-20,1.57
2000-03-27,1.55
2000-04-03,1.54
2000-04-10,1.52
2000-04-17,1.49
2000-04-24,1.48
2000-05-01,1.46
2000-05-08,1.50
2000-05-15,1.53
2000-05-22,1.57
2000-05-29,1.58
2000-06-05,1.60
2000-06-12,1.66
2000-06-19,1.71
2000-06-26,1.69
2000-07-03,1.66
2000-07-10,1.63
2000-07-17,1.59
2000-07-24,1.56
2000-07-31,1.51
2000-08-07,1.50
2000-08-14,1.49
2000-08-21,1.51
2000-08-28,1.52
2000-09-04,1.57
2000-09-11,1.60
2000-09-18,1.60
2000-09-25,1.59
2000-10-02,1.56
2000-10-09,1.54
2000-10-16,1.58
2000-10-23,1.59
2000-10-30,1.58
2000-11-06,1.57
2000-11-13,1.56
2000-11-20,1.55
2000-11-27,1.55
2000-12-04,1.53
2000-12-11,1.49
2000-12-18,1.46
2000-12-25,1.45
2001-01-01,1.45
2001-01-08,1.47
2001-01-15,1.51
2001-01-22,1.51
2001-01-29,1.50
2001-02-05,1.48
2001-02-12,1.52
2001-02-19,1.49
2001-02-26,1.47
2001-03-05,1.46
2001-03-12,1.45
2001-03-19,1.44
2001-03-26,1.45
2001-04-02,1.48
2001-04-09,1.54
2001-04-16,1.61
2001-04-23,1.66
2001-04-30,1.67
2001-05-07,1.74
2001-05-14,1.75
2001-05-21,1.72
2001-05-28,1.74
2001-06-04,1.72
2001-06-11,1.69
2001-06-18,1.64
2001-06-25,1.58
2001-07-02,1.52
2001-07-09,1.48
2001-07-16,1.46
2001-07-23,1.44
2001-07-30,1.43
2001-08-06,1.42
2001-08-13,1.43
2001-08-20,1.47
2001-08-27,1.52
2001-09-03,1.58
2001-09-10,1.56
2001-09-17,1.56
2001-09-24,1.52
2001-10-01,1.46
2001-10-08,1.39
2001-10-15,1.35
2001-10-22,1.31
2001-10-29,1.28
2001-11-05,1.25
2001-11-12,1.22
2001-11-19,1.21
2001-11-26,1.17
2001-12-03,1.15
2001-12-10,1.14
2001-12-17,1.10
2001-12-24,1.11
2001-12-31,1.14
2002-01-07,1.15
2002-01-14,1.15
2002-01-21,1.15
2002-01-28,1.14
2002-02-04,1.16
2002-02-11,1.15
2002-02-18,1.16
2002-02-25,1.16
2002-03-04,1.19
2002-03-11,1.26
2002-03-18,1.33
2002-03-25,1.38
2002-04-01,1.41
2002-04-08,1.45
2002-04-15,1.45
2002-04-22,1.45
2002-04-29,1.44
2002-05-06,1.44
2002-05-13,1.43
2002-05-20,1.44
2002-05-27,1.43
2002-06-03,1.43
2002-06-10,1.42
2002-06-17,1.42
2002-06-24,1.43
2002-07-01,1.43
2002-07-08,1.42
2002-07-15,1.44
2002-07-22,1.45
2002-07-29,1.45
2002-08-05,1.44
2002-08-12,1.44
2002-08-19,1.43
2002-08-26,1.44
2002-09-02,1.44
2002-09-09,1.44
2002-09-16,1.44
2002-09-23,1.44
2002-09-30,1.46
2002-10-07,1.48
2002-10-14,1.48
2002-10-21,1.50
2002-10-28,1.49
2002-11-04,1.49
2002-11-11,1.48
2002-11-18,1.45
2002-11-25,1.42
2002-12-02,1.41
2002-12-09,1.40
2002-12-16,1.41
2002-12-23,1.44
2002-12-30,1.48
2003-01-06,1.49
2003-01-13,1.50
2003-01-20,1.50
2003-01-27,1.52
2003-02-03,1.57
2003-02-10,1.65
2003-02-17,1.70
2003-02-24,1.70
2003-03-03,1.73
2003-03-10,1.75
2003-03-17,1.77
2003-03-24,1.73
2003-03-31,1.69
2003-04-07,1.67
2003-04-14,1.64
2003-04-21,1.62
2003-04-28,1.60
2003-05-05,1.56
2003-05-12,1.53
2003-05-19,1.54
2003-05-26,1.53
2003-06-02,1.51
2003-06-09,1.53
2003-06-16,1.56
2003-06-23,1.54
2003-06-30,1.53
2003-07-07,1.53
2003-07-14,1.56
2003-07-21,1.57
2003-07-28,1.56
2003-08-04,1.58
2003-08-11,1.61
2003-08-18,1.67
2003-08-25,1.79
2003-09-01,1.79
2003-09-08,1.76
2003-09-15,1.74
2003-09-22,1.69
2003-09-29,1.64
2003-10-06,1.62
2003-10-13,1.61
2003-10-20,1.61
2003-10-27,1.58
2003-11-03,1.58
2003-11-10,1.55
2003-11-17,1.54
2003-11-24,1.55
2003-12-01,1.53
2003-12-08,1.52
2003-12-15,1.51
2003-12-22,1.53
2003-12-29,1.52
2004-01-05,1.55
2004-01-12,1.60
2004-01-19,1.64
2004-01-26,1.66
2004-02-02,1.66
2004-02-09,1.68
2004-02-16,1.69
2004-02-23,1.73
2004-03-01,1.76
2004-03-08,1.78
2004-03-15,1.77
2004-03-22,1.79
2004-03-29,1.80
2004-04-05,1.82
2004-04-12,1.83
2004-04-19,1.85
2004-04-26,1.85
2004-05-03,1.88
2004-05-10,1.98
2004-05-17,2.06
2004-05-24,2.10
2004-05-31,2.09
2004-06-07,2.08
2004-06-14,2.03
2004-06-21,1.98
2004-06-28,1.97
2004-07-05,1.94
2004-07-12,1.96
2004-07-19,1.97
2004-07-26,1.95
2004-08-02,1.93
2004-08-09,1.92
2004-08-16,1.92
2004-08-23,1.93
2004-08-30,1.91
2004-09-06,1.89
2004-09-13,1.89
2004-09-20,1.91
2004-09-27,1.96
2004-10-04,1.98
2004-10-11,2.04
2004-10-18,2.08
2004-10-25,2.07
2004-11-01,2.08
2004-11-08,2.05
2004-11-15,2.01
2004-11-22,1.99
2004-11-29,1.99
2004-12-06,1.96
2004-12-13,1.89
2004-12-20,1.86
2004-12-27,1.84
2005-01-03,1.82
2005-01-10,1.84
2005-01-17,1.86
2005-01-24,1.90
2005-01-31,1.95
2005-02-07,1.95
2005-02-14,1.94
2005-02-21,1.95
2005-02-28,1.97
2005-03-07,2.04
2005-03-14,2.10
2005-03-21,2.15
2005-03-28,2.19
2005-04-04,2.26
2005-04-11,2.32
2005-04-18,2.28
2005-04-25,2.28
2005-05-02,2.28
2005-05-09,2.23
2005-05-16,2.21
2005-05-23,2.17
2005-05-30,2.14
2005-06-06,2.16
2005-06-13,2.17
2005-06-20,2.20
2005-06-27,2.26
2005-07-04,2.27
2005-07-11,2.37
2005-07-18,2.36
2005-07-25,2.33
2005-08-01,2.34
2005-08-08,2.41
2005-08-15,2.59
2005-08-22,2.65
2005-08-29,2.65
2005-09-05,3.12
2005-09-12,3.00
2005-09-19,2.84
2005-09-26,2.85
2005-10-03,2.98
2005-10-10,2.90
2005-10-17,2.78
2005-10-24,2.65
2005-10-31,2.53
2005-11-07,2.42
2005-11-14,2.34
2005-11-21,2.25
2005-11-28,2.20
2005-12-05,2.19
2005-12-12,2.23
2005-12-19,2.26
2005-12-26,2.24
2006-01-02,2.28
2006-01-09,2.37
2006-01-16,2.37
2006-01-23,2.38
2006-01-30,2.40
2006-02-06,2.39
2006-02-13,2.33
2006-02-20,2.29
2006-02-27,2.30
2006-03-06,2.37
2006-03-13,2.41
2006-03-20,2.55
2006-03-27,2.54
2006-04-03,2.63
2006-04-10,2.73
2006-04-17,2.83
2006-04-24,2.96
2006-05-01,2.97
2006-05-08,2.96
2006-05-15,2.99
2006-05-22,2.94
2006-05-29,2.91
2006-06-05,2.94
2006-06-12,2.95
2006-06-19,2.92
2006-06-26,2.91
2006-07-03,2.98
2006-07-10,3.02
2006-07-17,3.03
2006-07-24,3.05
2006-07-31,3.05
2006-08-07,3.08
2006-08-14,3.05
2006-08-21,2.97
2006-08-28,2.89
2006-09-04,2.78
2006-09-11,2.67
2006-09-18,2.55
2006-09-25,2.43
2006-10-02,2.36
2006-10-09,2.31
2006-10-16,2.27
2006-10-23,2.26
2006-10-30,2.26
2006-11-06,2.25
2006-11-13,2.28
2006-11-20,2.29
2006-11-27,2.29
2006-12-04,2.34
2006-12-11,2.34
2006-12-18,2.37
2006-12-25,2.39
2007-01-01,2.38
2007-01-08,2.35
2007-01-15,2.28
2007-01-22,2.22
2007-01-29,2.21
2007-02-05,2.24
2007-02-12,2.29
2007-02-19,2.34
2007-02-26,2.43
2007-03-05,2.55
2007-03-12,2.61
2007-03-19,2.62
2007-03-26,2.66
2007-04-02,2.75
2007-04-09,2.85
2007-04-16,2.92
2007-04-23,2.92
2007-04-30,3.02
2007-05-07,3.10
2007-05-14,3.14
2007-05-21,3.26
2007-05-28,3.25
2007-06-04,3.20
2007-06-11,3.12
2007-06-18,3.06
2007-06-25,3.03
2007-07-02,3.01
2007-07-09,3.03
2007-07-16,3.09
2007-07-23,3.01
2007-07-30,2.93
2007-08-06,2.89
2007-08-13,2.82
2007-08-20,2.83
2007-08-27,2.80
2007-09-03,2.84
2007-09-10,2.86
2007-09-17,2.84
2007-09-24,2.86
2007-10-01,2.84
2007-10-08,2.82
2007-10-15,2.81
2007-10-22,2.87
2007-10-29,2.92
2007-11-05,3.06
2007-11-12,3.16
2007-11-19,3.15
2007-11-26,3.15
2007-12-03,3.11
2007-12-10,3.05
2007-12-17,3.05
2007-12-24,3.03
2007-12-31,3.10
2008-01-07,3.16
2008-01-14,3.12
2008-01-21,3.07
2008-01-28,3.03
2008-02-04,3.03
2008-02-11,3.01
2008-02-18,3.09
2008-02-25,3.18
2008-03-03,3.21
2008-03-10,3.27
2008-03-17,3.33
2008-03-24,3.31
2008-03-31,3.34
2008-04-07,3.38
2008-04-14,3.44
2008-04-21,3.56
2008-04-28,3.65
2008-05-05,3.66
2008-05-12,3.77
2008-05-19,3.84
2008-05-26,3.99
2008-06-02,4.03
2008-06-09,4.09
2008-06-16,4.13
2008-06-23,4.13
2008-06-30,4.15
2008-07-07,4.17
2008-07-14,4.16
2008-07-21,4.12
2008-07-28,4.01
2008-08-04,3.94
2008-08-11,3.86
2008-08-18,3.79
2008-08-25,3.74
2008-09-01,3.73
2008-09-08,3.70
2008-09-15,3.89
2008-09-22,3.77
2008-09-29,3.69
2008-10-06,3.54
2008-10-13,3.21
2008-10-20,2.97
2008-10-27,2.72
2008-11-03,2.46
2008-11-10,2.28
2008-11-17,2.13
2008-11-24,1.95
2008-12-01,1.87
2008-12-08,1.76
2008-12-15,1.72
2008-12-22,1.71
2008-12-29,1.67
2009-01-05,1.74
2009-01-12,1.84
2009-01-19,1.90
2009-01-26,1.89
2009-02-02,1.94
2009-02-09,1.98
2009-02-16,2.02
2009-02-23,1.96
2009-03-02,1.99
2009-03-09,1.99
2009-03-16,1.96
2009-03-23,2.01
2009-03-30,2.10
2009-04-06,2.09
2009-04-13,2.10
2009-04-20,2.11
2009-04-27,2.10
2009-05-04,2.13
2009-05-11,2.29
2009-05-18,2.36
2009-05-25,2.49
2009-06-01,2.57
2009-06-08,2.67
2009-06-15,2.72
2009-06-22,2.74
2009-06-29,2.70
2009-07-06,2.67
2009-07-13,2.58
2009-07-20,2.52
2009-07-27,2.56
2009-08-03,2.61
2009-08-10,2.70
2009-08-17,2.69
2009-08-24,2.68
2009-08-31,2.67
2009-09-07,2.64
2009-09-14,2.63
2009-09-21,2.61
2009-09-28,2.55
2009-10-05,2.52
2009-10-12,2.54
2009-10-19,2.63
2009-10-26,2.73
2009-11-02,2.75
2009-11-09,2.72
2009-11-16,2.68
2009-11-23,2.69
2009-11-30,2.68
2009-12-07,2.69
2009-12-14,2.66
2009-12-21,2.65
2009-12-28,2.66
2010-01-04,2.72
2010-01-11,2.80
2010-01-18,2.79
2010-01-25,2.76
2010-02-01,2.72
2010-02-08,2.71
2010-02-15,2.66
2010-02-22,2.71
2010-03-01,2.76
2010-03-08,2.80
2010-03-15,2.84
2010-03-22,2.87
2010-03-29,2.85
2010-04-05,2.88
2010-04-12,2.91
2010-04-19,2.91
2010-04-26,2.90
2010-05-03,2.95
2010-05-10,2.96
2010-05-17,2.92
2010-05-24,2.84
2010-05-31,2.78
2010-06-07,2.78
2010-06-14,2.76
2010-06-21,2.80
2010-06-28,2.81
2010-07-05,2.78
2010-07-12,2.77
2010-07-19,2.78
2010-07-26,2.80
2010-08-02,2.79
2010-08-09,2.84
2010-08-16,2.80
2010-08-23,2.76
2010-08-30,2.74
2010-09-06,2.74
2010-09-13,2.77
2010-09-20,2.78
2010-09-27,2.75
2010-10-04,2.78
2010-10-11,2.87
2010-10-18,2.89
2010-10-25,2.87
2010-11-01,2.86
2010-11-08,2.92
2010-11-15,2.94
2010-11-22,2.93
2010-11-29,2.91
2010-12-06,3.01
2010-12-13,3.04
2010-12-20,3.04
2010-12-27,3.11
2011-01-03,3.12
2011-01-10,3.14
2011-01-17,3.16
2011-01-24,3.16
2011-01-31,3.16
2011-02-07,3.19
2011-02-14,3.19
2011-02-21,3.24
2011-02-28,3.44
2011-03-07,3.57
2011-03-14,3.62
2011-03-21,3.62
2011-03-28,3.65
2011-04-04,3.74
2011-04-11,3.84
2011-04-18,3.90
2011-04-25,3.93
2011-05-02,4.01
2011-05-09,4.02
2011-05-16,4.01
2011-05-23,3.90
2011-05-30,3.85
2011-06-06,3.83
2011-06-13,3.77
2011-06-20,3.71
2011-06-27,3.63
2011-07-04,3.63
2011-07-11,3.70
2011-07-18,3.74
2011-07-25,3.75
2011-08-01,3.77
2011-08-08,3.73
2011-08-15,3.66
2011-08-22,3.64
2011-08-29,3.68
2011-09-05,3.73
2011-09-12,3.72
2011-09-19,3.66
2011-09-26,3.57
2011-10-03,3.49
2011-10-10,3.48
2011-10-17,3.53
2011-10-24,3.52
2011-10-31,3.51
2011-11-07,3.48
2011-11-14,3.50
2011-11-21,3.43
2011-11-28,3.37
2011-12-05,3.35
2011-12-12,3.35
2011-12-19,3.29
2011-12-26,3.32
2012-01-02,3.36
2012-01-09,3.44
2012-01-16,3.45
2012-01-23,3.45
2012-01-30,3.50
2012-02-06,3.54
2012-02-13,3.58
2012-02-20,3.65
2012-02-27,3.78
2012-03-05,3.85
2012-03-12,3.88
2012-03-19,3.92
2012-03-26,3.97
2012-04-02,4.00
2012-04-09,4.00
2012-04-16,3.98
2012-04-23,3.93
2012-04-30,3.89
2012-05-07,3.85
2012-05-14,3.81
2012-05-21,3.77
2012-05-28,3.73
2012-06-04,3.67
2012-06-11,3.63
2012-06-18,3.59
2012-06-25,3.49
2012-07-02,3.42
2012-07-09,3.47
2012-07-16,3.49
2012-07-23,3.55
2012-07-30,3.57
2012-08-06,3.70
2012-08-13,3.78
2012-08-20,3.80
2012-08-27,3.84
2012-09-03,3.90
2012-09-10,3.91
2012-09-17,3.94
2012-09-24,3.89
2012-10-01,3.87
2012-10-08,3.91
2012-10-15,3.89
2012-10-22,3.76
2012-10-29,3.64
2012-11-05,3.56
2012-11-12,3.52
2012-11-19,3.50
2012-11-26,3.51
2012-12-03,3.46
2012-12-10,3.42
2012-12-17,3.32
2012-12-24,3.33
2012-12-31,3.37
2013-01-07,3.37
2013-01-14,3.38
2013-01-21,3.39
2013-01-28,3.43
2013-02-04,3.60
2013-02-11,3.68
2013-02-18,3.81
2013-02-25,3.85
2013-03-04,3.83
2013-03-11,3.78
2013-03-18,3.76
2013-03-25,3.75
2013-04-01,3.71
2013-04-08,3.68
2013-04-15,3.61
2013-04-22,3.60
2013-04-29,3.59
2013-05-06,3.60
2013-05-13,3.67
2013-05-20,3.73
2013-05-27,3.70
2013-06-03,3.71
2013-06-10,3.72
2013-06-17,3.69
2013-06-24,3.65
2013-07-01,3.57
2013-07-08,3.56
2013-07-15,3.71
2013-07-22,3.75
2013-07-29,3.72
2013-08-05,3.70
2013-08-12,3.63
2013-08-19,3.62
2013-08-26,3.62
2013-09-02,3.68
2013-09-09,3.66
2013-09-16,3.62
2013-09-23,3.57
2013-09-30,3.50
2013-10-07,3.44
2013-10-14,3.43
2013-10-21,3.44
2013-10-28,3.37
2013-11-04,3.34
2013-11-11,3.27
2013-11-18,3.30
2013-11-25,3.37
2013-12-02,3.35
2013-12-09,3.35
2013-12-16,3.32
2013-12-23,3.35
2013-12-30,3.41
2014-01-06,3.41
2014-01-13,3.41
2014-01-20,3.38
2014-01-27,3.38
2014-02-03,3.37
2014-02-10,3.39
2014-02-17,3.46
2014-02-24,3.52
2014-03-03,3.55
2014-03-10,3.58
2014-03-17,3.62
2014-03-24,3.62
2014-03-31,3.65
2014-04-07,3.67
2014-04-14,3.73
2014-04-21,3.76
2014-04-28,3.79
2014-05-05,3.76
2014-05-12,3.75
2014-05-19,3.74
2014-05-26,3.75
2014-06-02,3.77
2014-06-09,3.75
2014-06-16,3.76
2014-06-23,3.78
2014-06-30,3.78
2014-07-07,3.75
2014-07-14,3.71
2014-07-21,3.67
2014-07-28,3.62
2014-08-04,3.60
2014-08-11,3.58
2014-08-18,3.55
2014-08-25,3.53
2014-09-01,3.54
2014-09-08,3.53
2014-09-15,3.49
2014-09-22,3.43
2014-09-29,3.43
2014-10-06,3.38
2014-10-13,3.29
2014-10-20,3.21
2014-10-27,3.14
2014-11-03,3.08
2014-11-10,3.03
2014-11-17,2.98
2014-11-24,2.91
2014-12-01,2.86
2014-12-08,2.77
2014-12-15,2.64
2014-12-22,2.50
2014-12-29,2.39
2015-01-05,2.31
2015-01-12,2.23
2015-01-19,2.16
2015-01-26,2.13
2015-02-02,2.15
2015-02-09,2.28
2015-02-16,2.36
2015-02-23,2.42
2015-03-02,2.56
2015-03-09,2.57
2015-03-16,2.54
2015-03-23,2.54
2015-03-30,2.53
2015-04-06,2.50
2015-04-13,2.49
2015-04-20,2.57
2015-04-27,2.66
2015-05-04,2.75
2015-05-11,2.78
2015-05-18,2.83
2015-05-25,2.86
2015-06-01,2.86
2015-06-08,2.86
2015-06-15,2.92
2015-06-22,2.90
2015-06-29,2.89
2015-07-06,2.88
2015-07-13,2.92
2015-07-20,2.89
2015-07-27,2.83
2015-08-03,2.78
2015-08-10,2.72
2015-08-17,2.80
2015-08-24,2.73
2015-08-31,2.60
2015-09-07,2.53
2015-09-14,2.47
2015-09-21,2.43
2015-09-28,2.42
2015-10-05,2.42
2015-10-12,2.43
2015-10-19,2.37
2015-10-26,2.33
2015-11-02,2.32
2015-11-09,2.34
2015-11-16,2.28
2015-11-23,2.20
2015-11-30,2.17
2015-12-07,2.16
2015-12-14,2.14
2015-12-21,2.13
2015-12-28,2.14
2016-01-04,2.14
2016-01-11,2.10
2016-01-18,2.02
2016-01-25,1.97
2016-02-01,1.93
2016-02-08,1.87
2016-02-15,1.83
2016-02-22,1.84
2016-02-29,1.89
2016-03-07,1.94
2016-03-14,2.06
2016-03-21,2.11
2016-03-28,2.17
2016-04-04,2.19
2016-04-11,2.17
2016-04-18,2.24
2016-04-25,2.27
2016-05-02,2.34
2016-05-09,2.33
2016-05-16,2.35
2016-05-23,2.40
2016-05-30,2.44
2016-06-06,2.48
2016-06-13,2.50
2016-06-20,2.46
2016-06-27,2.43
2016-07-04,2.40
2016-07-11,2.36
2016-07-18,2.34
2016-07-25,2.29
2016-08-01,2.27
2016-08-08,2.26
2016-08-15,2.26
2016-08-22,2.30
2016-08-29,2.34
2016-09-05,2.33
2016-09-12,2.31
2016-09-19,2.33
2016-09-26,2.33
2016-10-03,2.35
2016-10-10,2.38
2016-10-17,2.37
2016-10-24,2.35
2016-10-31,2.34
2016-11-07,2.35
2016-11-14,2.30
2016-11-21,2.27
2016-11-28,2.27
2016-12-05,2.32
2016-12-12,2.35
2016-12-19,2.38
2016-12-26,2.42
2017-01-02,2.49
2017-01-09,2.50
2017-01-16,2.47
2017-01-23,2.44
2017-01-30,2.41
2017-02-06,2.41
2017-02-13,2.42
2017-02-20,2.41
2017-02-27,2.43
2017-03-06,2.45
2017-03-13,2.43
2017-03-20,2.43
2017-03-27,2.43
2017-04-03,2.47
2017-04-10,2.53
2017-04-17,2.55
2017-04-24,2.56
2017-05-01,2.52
2017-05-08,2.48
2017-05-15,2.48
2017-05-22,2.51
2017-05-29,2.52
2017-06-05,2.53
2017-06-12,2.48
2017-06-19,2.43
2017-06-26,2.40
2017-07-03,2.38
2017-07-10,2.41
2017-07-17,2.39
2017-07-24,2.43
2017-07-31,2.47
2017-08-07,2.49
