Date,IPN3311A2BN
1990-11-01,57.23
1990-12-01,53.15
1991-01-01,47.19
1991-02-01,50.94
1991-03-01,48.37
1991-04-01,49.90
1991-05-01,50.22
1991-06-01,49.55
1991-07-01,52.13
1991-08-01,52.21
1991-09-01,54.78
1991-10-01,55.14
1991-11-01,56.96
1991-12-01,46.97
1992-01-01,52.53
1992-02-01,52.67
1992-03-01,53.25
1992-04-01,53.57
1992-05-01,55.85
1992-06-01,54.93
1992-07-01,57.27
1992-08-01,56.10
1992-09-01,54.96
1992-10-01,59.24
1992-11-01,53.50
1992-12-01,52.23
1993-01-01,51.59
1993-02-01,58.57
1993-03-01,54.92
1993-04-01,58.62
1993-05-01,59.91
1993-06-01,64.62
1993-07-01,61.64
1993-08-01,63.65
1993-09-01,65.53
1993-10-01,63.78
1993-11-01,65.54
1993-12-01,62.67
1994-01-01,60.07
1994-02-01,66.37
1994-03-01,65.46
1994-04-01,75.29
1994-05-01,72.63
1994-06-01,66.50
1994-07-01,72.60
1994-08-01,61.59
1994-09-01,72.61
1994-10-01,74.03
1994-11-01,72.22
1994-12-01,69.93
1995-01-01,73.69
1995-02-01,71.51
1995-03-01,66.42
1995-04-01,68.94
1995-05-01,68.48
1995-06-01,68.51
1995-07-01,68.66
1995-08-01,67.66
1995-09-01,72.90
1995-10-01,68.69
1995-11-01,70.67
1995-12-01,69.21
1996-01-01,72.32
1996-02-01,69.35
1996-03-01,70.74
1996-04-01,72.15
1996-05-01,72.97
1996-06-01,80.13
1996-07-01,75.65
1996-08-01,76.15
1996-09-01,75.70
1996-10-01,80.13
1996-11-01,79.92
1996-12-01,72.75
1997-01-01,71.18
1997-02-01,74.76
1997-03-01,72.35
1997-04-01,81.40
1997-05-01,82.15
1997-06-01,83.72
1997-07-01,81.48
1997-08-01,79.56
1997-09-01,83.30
1997-10-01,89.87
1997-11-01,86.86
1997-12-01,79.66
1998-01-01,79.84
1998-02-01,85.57
1998-03-01,82.07
1998-04-01,86.61
1998-05-01,88.82
1998-06-01,84.54
1998-07-01,95.58
1998-08-01,86.21
1998-09-01,80.82
1998-10-01,89.22
1998-11-01,81.20
1998-12-01,79.58
1999-01-01,82.64
1999-02-01,76.17
1999-03-01,76.08
1999-04-01,83.81
1999-05-01,84.58
1999-06-01,89.95
1999-07-01,90.38
1999-08-01,89.12
1999-09-01,85.90
1999-10-01,89.19
1999-11-01,86.12
1999-12-01,88.03
2000-01-01,84.78
2000-02-01,84.13
2000-03-01,89.38
2000-04-01,89.22
2000-05-01,85.89
2000-06-01,85.44
2000-07-01,83.92
2000-08-01,82.42
2000-09-01,80.70
2000-10-01,76.82
2000-11-01,75.98
2000-12-01,73.28
2001-01-01,78.56
2001-02-01,80.93
2001-03-01,77.08
2001-04-01,89.77
2001-05-01,92.28
2001-06-01,94.80
2001-07-01,100.15
2001-08-01,95.33
2001-09-01,93.84
2001-10-01,88.28
2001-11-01,84.36
2001-12-01,76.40
2002-01-01,84.01
2002-02-01,87.13
2002-03-01,91.79
2002-04-01,91.64
2002-05-01,98.20
2002-06-01,99.60
2002-07-01,86.93
2002-08-01,92.05
2002-09-01,88.11
2002-10-01,89.72
2002-11-01,93.05
2002-12-01,72.75
2003-01-01,89.34
2003-02-01,80.37
2003-03-01,64.99
2003-04-01,77.13
2003-05-01,73.55
2003-06-01,94.91
2003-07-01,76.92
2003-08-01,78.17
2003-09-01,76.55
2003-10-01,80.87
2003-11-01,81.38
2003-12-01,89.10
2004-01-01,80.36
2004-02-01,90.75
2004-03-01,90.96
2004-04-01,84.21
2004-05-01,89.41
2004-06-01,93.36
2004-07-01,104.01
2004-08-01,89.72
2004-09-01,90.69
2004-10-01,93.68
2004-11-01,83.65
2004-12-01,72.24
2005-01-01,77.49
2005-02-01,95.86
2005-03-01,92.58
2005-04-01,99.33
2005-05-01,98.46
2005-06-01,83.56
2005-07-01,95.23
2005-08-01,99.71
2005-09-01,99.09
2005-10-01,94.26
2005-11-01,92.63
2005-12-01,88.42
2006-01-01,98.10
2006-02-01,104.48
2006-03-01,105.44
2006-04-01,105.85
2006-05-01,109.25
2006-06-01,107.57
2006-07-01,102.65
2006-08-01,103.49
2006-09-01,101.86
2006-10-01,93.52
2006-11-01,95.99
2006-12-01,88.10
2007-01-01,95.70
2007-02-01,105.55
2007-03-01,100.32
2007-04-01,103.27
2007-05-01,103.36
2007-06-01,105.85
2007-07-01,106.30
2007-08-01,110.12
2007-09-01,97.09
2007-10-01,101.83
2007-11-01,102.95
2007-12-01,118.59
2008-01-01,125.67
2008-02-01,114.42
2008-03-01,101.39
2008-04-01,107.93
2008-05-01,118.55
2008-06-01,119.83
2008-07-01,131.80
2008-08-01,118.33
2008-09-01,106.26
2008-10-01,95.14
2008-11-01,70.35
2008-12-01,57.14
2009-01-01,55.03
2009-02-01,56.70
2009-03-01,54.02
2009-04-01,56.36
2009-05-01,66.52
2009-06-01,66.34
2009-07-01,82.40
2009-08-01,81.58
2009-09-01,76.38
2009-10-01,74.12
2009-11-01,65.61
2009-12-01,79.88
2010-01-01,84.69
2010-02-01,91.83
2010-03-01,104.82
2010-04-01,93.89
2010-05-01,95.50
2010-06-01,98.06
2010-07-01,89.59
2010-08-01,96.99
2010-09-01,92.77
2010-10-01,82.22
2010-11-01,91.72
2010-12-01,103.08
2011-01-01,101.25
2011-02-01,97.50
2011-03-01,105.01
2011-04-01,98.04
2011-05-01,93.16
2011-06-01,104.56
2011-07-01,99.47
2011-08-01,105.55
2011-09-01,102.12
2011-10-01,99.83
2011-11-01,88.26
2011-12-01,109.04
2012-01-01,102.92
2012-02-01,101.98
2012-03-01,98.08
2012-04-01,111.53
2012-05-01,104.89
2012-06-01,96.34
2012-07-01,97.30
2012-08-01,112.95
2012-09-01,91.95
2012-10-01,89.95
2012-11-01,97.20
2012-12-01,94.92
2013-01-01,106.82
2013-02-01,106.64
2013-03-01,107.64
2013-04-01,110.67
2013-05-01,108.24
2013-06-01,115.30
2013-07-01,123.13
2013-08-01,126.19
2013-09-01,116.48
2013-10-01,118.68
2013-11-01,110.79
2013-12-01,105.02
2014-01-01,110.48
2014-02-01,121.48
2014-03-01,117.97
2014-04-01,103.49
2014-05-01,111.03
2014-06-01,109.50
2014-07-01,118.45
2014-08-01,122.65
2014-09-01,115.76
2014-10-01,116.81
2014-11-01,98.06
2014-12-01,102.66
2015-01-01,100.12
2015-02-01,100.81
2015-03-01,93.50
2015-04-01,99.15
2015-05-01,106.34
2015-06-01,114.64
2015-07-01,104.98
2015-08-01,109.65
2015-09-01,110.71
2015-10-01,105.62
2015-11-01,99.35
2015-12-01,93.28
2016-01-01,104.28
2016-02-01,107.03
2016-03-01,112.62
2016-04-01,115.97
2016-05-01,111.88
2016-06-01,115.68
2016-07-01,117.01
2016-08-01,113.39
2016-09-01,103.99
2016-10-01,107.61
2016-11-01,102.59
2016-12-01,101.63
2017-01-01,114.33
2017-02-01,116.66
2017-03-01,108.23
2017-04-01,109.29
2017-05-01,108.64
2017-06-01,117.53
2017-07-01,113.96
2017-08-01,115.86
2017-09-01,110.21
2017-10-01,112.84
2017-11-01,106.46
2017-12-01,108.79
2018-01-01,108.56
2018-02-01,117.88
2018-03-01,117.15
2018-04-01,112.66
