Date,IPGMFN
2004-09-01,99.15
2004-10-01,100.18
2004-11-01,98.54
2004-12-01,97.36
2005-01-01,97.49
2005-02-01,100.09
2005-03-01,100.95
2005-04-01,100.94
2005-05-01,101.27
2005-06-01,103.97
2005-07-01,97.75
2005-08-01,102.64
2005-09-01,102.39
2005-10-01,103.43
2005-11-01,102.55
2005-12-01,101.02
2006-01-01,100.78
2006-02-01,102.38
2006-03-01,104.31
2006-04-01,102.48
2006-05-01,103.84
2006-06-01,106.75
2006-07-01,100.94
2006-08-01,105.87
2006-09-01,106.72
2006-10-01,105.71
2006-11-01,104.14
2006-12-01,104.09
2007-01-01,102.31
2007-02-01,104.37
2007-03-01,107.50
2007-04-01,106.78
2007-05-01,107.70
2007-06-01,110.54
2007-07-01,105.09
2007-08-01,109.12
2007-09-01,110.33
2007-10-01,109.25
2007-11-01,108.30
2007-12-01,106.70
2008-01-01,105.26
2008-02-01,105.90
2008-03-01,107.30
2008-04-01,106.07
2008-05-01,105.52
2008-06-01,107.31
2008-07-01,101.49
2008-08-01,103.58
2008-09-01,100.65
2008-10-01,99.29
2008-11-01,95.60
2008-12-01,91.17
2009-01-01,87.26
2009-02-01,88.23
2009-03-01,88.29
2009-04-01,86.35
2009-05-01,86.61
2009-06-01,88.08
2009-07-01,86.09
2009-08-01,89.79
2009-09-01,90.51
2009-10-01,90.72
2009-11-01,90.36
2009-12-01,88.88
2010-01-01,89.24
2010-02-01,90.27
2010-03-01,93.35
2010-04-01,93.22
2010-05-01,94.95
2010-06-01,96.87
2010-07-01,93.05
2010-08-01,96.43
2010-09-01,96.61
2010-10-01,96.53
2010-11-01,94.98
2010-12-01,94.28
2011-01-01,93.98
2011-02-01,94.94
2011-03-01,97.67
2011-04-01,96.05
2011-05-01,96.60
2011-06-01,98.83
2011-07-01,95.50
2011-08-01,98.65
2011-09-01,99.34
2011-10-01,99.46
2011-11-01,97.77
2011-12-01,97.41
2012-01-01,97.47
2012-02-01,99.06
2012-03-01,100.51
2012-04-01,99.85
2012-05-01,100.06
2012-06-01,102.46
2012-07-01,98.22
2012-08-01,101.11
2012-09-01,101.38
2012-10-01,100.57
2012-11-01,99.83
2012-12-01,99.48
2013-01-01,98.62
2013-02-01,100.17
2013-03-01,101.47
2013-04-01,101.19
2013-05-01,101.25
2013-06-01,103.47
2013-07-01,98.64
2013-08-01,102.51
2013-09-01,102.62
2013-10-01,102.54
2013-11-01,101.11
2013-12-01,99.64
2014-01-01,98.06
2014-02-01,100.40
2014-03-01,103.03
2014-04-01,102.10
2014-05-01,102.57
2014-06-01,104.88
2014-07-01,100.64
2014-08-01,103.98
2014-09-01,104.03
2014-10-01,103.74
2014-11-01,103.12
2014-12-01,101.45
2015-01-01,100.17
2015-02-01,101.12
2015-03-01,103.12
2015-04-01,102.18
2015-05-01,102.46
2015-06-01,103.86
2015-07-01,100.31
2015-08-01,103.36
2015-09-01,102.30
2015-10-01,102.96
2015-11-01,101.32
2015-12-01,99.47
2016-01-01,99.43
2016-02-01,100.46
2016-03-01,101.21
2016-04-01,101.38
2016-05-01,100.91
2016-06-01,103.06
2016-07-01,99.02
2016-08-01,101.89
2016-09-01,102.13
2016-10-01,102.77
2016-11-01,101.22
2016-12-01,100.05
2017-01-01,99.74
2017-02-01,101.32
2017-03-01,102.48
2017-04-01,102.00
2017-05-01,102.95
2017-06-01,104.94
2017-07-01,100.76
2017-08-01,103.44
2017-09-01,103.13
2017-10-01,104.89
2017-11-01,103.66
2017-12-01,102.15
2018-01-01,100.91
2018-02-01,103.66
2018-03-01,105.04
2018-04-01,105.49
2018-05-01,104.87
