Date,CPIAPPNS
1956-09-01,44.10
1956-10-01,44.30
1956-11-01,44.40
1956-12-01,44.40
1957-01-01,44.20
1957-02-01,44.10
1957-03-01,44.40
1957-04-01,44.30
1957-05-01,44.40
1957-06-01,44.40
1957-07-01,44.40
1957-08-01,44.40
1957-09-01,44.70
1957-10-01,44.90
1957-11-01,45.00
1957-12-01,44.80
1958-01-01,44.60
1958-02-01,44.60
1958-03-01,44.60
1958-04-01,44.60
1958-05-01,44.60
1958-06-01,44.60
1958-07-01,44.60
1958-08-01,44.50
1958-09-01,44.70
1958-10-01,44.80
1958-11-01,45.00
1958-12-01,44.90
1959-01-01,44.60
1959-02-01,44.60
1959-03-01,44.60
1959-04-01,44.70
1959-05-01,44.80
1959-06-01,44.80
1959-07-01,44.90
1959-08-01,45.10
1959-09-01,45.50
1959-10-01,45.60
1959-11-01,45.60
1959-12-01,45.50
1960-01-01,45.10
1960-02-01,45.30
1960-03-01,45.40
1960-04-01,45.50
1960-05-01,45.50
1960-06-01,45.50
1960-07-01,45.60
1960-08-01,45.70
1960-09-01,46.10
1960-10-01,46.30
1960-11-01,46.20
1960-12-01,46.20
1961-01-01,45.80
1961-02-01,45.80
1961-03-01,45.90
1961-04-01,45.80
1961-05-01,45.90
1961-06-01,45.80
1961-07-01,46.00
1961-08-01,46.00
1961-09-01,46.40
1961-10-01,46.50
1961-11-01,46.40
1961-12-01,46.40
1962-01-01,45.70
1962-02-01,45.90
1962-03-01,46.10
1962-04-01,46.10
1962-05-01,46.10
1962-06-01,46.20
1962-07-01,46.20
1962-08-01,46.10
1962-09-01,46.90
1962-10-01,47.00
1962-11-01,46.80
1962-12-01,46.70
1963-01-01,46.40
1963-02-01,46.50
1963-03-01,46.60
1963-04-01,46.70
1963-05-01,46.60
1963-06-01,46.70
1963-07-01,46.70
1963-08-01,46.80
1963-09-01,47.20
1963-10-01,47.40
1963-11-01,47.50
1963-12-01,47.50
1964-01-01,47.00
1964-02-01,47.00
1964-03-01,47.10
1964-04-01,47.20
1964-05-01,47.30
1964-06-01,47.30
1964-07-01,47.20
1964-08-01,47.10
1964-09-01,47.40
1964-10-01,47.50
1964-11-01,47.60
1964-12-01,47.70
1965-01-01,47.20
1965-02-01,47.30
1965-03-01,47.40
1965-04-01,47.50
1965-05-01,47.80
1965-06-01,47.80
1965-07-01,47.50
1965-08-01,47.60
1965-09-01,47.90
1965-10-01,48.20
1965-11-01,48.30
1965-12-01,48.30
1966-01-01,48.00
1966-02-01,48.10
1966-03-01,48.40
1966-04-01,48.60
1966-05-01,48.90
1966-06-01,48.90
1966-07-01,48.80
1966-08-01,48.80
1966-09-01,49.50
1966-10-01,49.90
1966-11-01,50.10
1966-12-01,50.20
1967-01-01,49.80
1967-02-01,50.10
1967-03-01,50.40
1967-04-01,50.50
1967-05-01,50.90
1967-06-01,50.90
1967-07-01,50.80
1967-08-01,50.90
1967-09-01,51.50
1967-10-01,51.90
1967-11-01,52.20
1967-12-01,52.30
1968-01-01,51.80
1968-02-01,52.20
1968-03-01,52.60
1968-04-01,53.00
1968-05-01,53.40
1968-06-01,53.60
1968-07-01,53.50
1968-08-01,53.80
1968-09-01,54.70
1968-10-01,55.20
1968-11-01,55.50
1968-12-01,55.60
1969-01-01,55.20
1969-02-01,55.40
1969-03-01,55.90
1969-04-01,56.20
1969-05-01,56.60
1969-06-01,56.80
1969-07-01,56.70
1969-08-01,56.60
1969-09-01,57.60
1969-10-01,58.10
1969-11-01,58.40
1969-12-01,58.50
1970-01-01,57.80
1970-02-01,58.10
1970-03-01,58.40
1970-04-01,58.60
1970-05-01,59.00
1970-06-01,59.10
1970-07-01,58.80
1970-08-01,58.80
1970-09-01,59.70
1970-10-01,60.30
1970-11-01,60.70
1970-12-01,60.80
1971-01-01,60.00
1971-02-01,60.20
1971-03-01,60.50
1971-04-01,60.70
1971-05-01,61.30
1971-06-01,61.20
1971-07-01,60.80
1971-08-01,60.70
1971-09-01,61.50
1971-10-01,62.00
1971-11-01,62.10
1971-12-01,62.10
1972-01-01,61.30
1972-02-01,61.50
1972-03-01,61.80
1972-04-01,62.10
1972-05-01,62.50
1972-06-01,62.20
1972-07-01,61.70
1972-08-01,61.60
1972-09-01,62.80
1972-10-01,63.40
1972-11-01,63.70
1972-12-01,63.70
1973-01-01,62.70
1973-02-01,63.00
1973-03-01,63.60
1973-04-01,64.10
1973-05-01,64.60
1973-06-01,64.60
1973-07-01,64.10
1973-08-01,64.50
1973-09-01,65.40
1973-10-01,66.10
1973-11-01,66.50
1973-12-01,66.50
1974-01-01,65.70
1974-02-01,66.50
1974-03-01,67.40
1974-04-01,68.10
1974-05-01,68.80
1974-06-01,69.20
1974-07-01,69.00
1974-08-01,70.40
1974-09-01,71.30
1974-10-01,71.90
1974-11-01,72.60
1974-12-01,72.30
1975-01-01,71.10
1975-02-01,71.50
1975-03-01,71.80
1975-04-01,72.00
1975-05-01,72.30
1975-06-01,72.10
1975-07-01,71.90
1975-08-01,72.50
1975-09-01,73.20
1975-10-01,73.70
1975-11-01,74.20
1975-12-01,74.00
1976-01-01,73.10
1976-02-01,73.40
1976-03-01,73.90
1976-04-01,74.30
1976-05-01,74.80
1976-06-01,74.90
1976-07-01,74.70
1976-08-01,75.50
1976-09-01,76.60
1976-10-01,76.90
1976-11-01,77.40
1976-12-01,77.40
1977-01-01,76.50
1977-02-01,76.90
1977-03-01,77.30
1977-04-01,77.60
1977-05-01,78.20
1977-06-01,78.50
1977-07-01,78.20
1977-08-01,78.90
1977-09-01,79.60
1977-10-01,80.10
1977-11-01,80.80
1977-12-01,80.70
1978-01-01,79.40
1978-02-01,78.80
1978-03-01,79.80
1978-04-01,80.80
1978-05-01,81.50
1978-06-01,81.50
1978-07-01,80.50
1978-08-01,81.40
1978-09-01,82.50
1978-10-01,83.30
1978-11-01,83.70
1978-12-01,83.20
1979-01-01,81.90
1979-02-01,82.30
1979-03-01,83.80
1979-04-01,84.30
1979-05-01,84.70
1979-06-01,84.50
1979-07-01,83.80
1979-08-01,84.80
1979-09-01,86.60
1979-10-01,87.20
1979-11-01,87.50
1979-12-01,87.80
1980-01-01,87.20
1980-02-01,87.60
1980-03-01,89.70
1980-04-01,90.40
1980-05-01,90.50
1980-06-01,90.30
1980-07-01,89.80
1980-08-01,91.10
1980-09-01,92.90
1980-10-01,93.80
1980-11-01,94.20
1980-12-01,93.80
1981-01-01,92.30
1981-02-01,92.80
1981-03-01,94.40
1981-04-01,95.00
1981-05-01,95.00
1981-06-01,94.70
1981-07-01,94.20
1981-08-01,95.50
1981-09-01,97.20
1981-10-01,97.60
1981-11-01,97.50
1981-12-01,97.10
1982-01-01,95.50
1982-02-01,95.80
1982-03-01,97.40
1982-04-01,97.80
1982-05-01,97.60
1982-06-01,97.30
1982-07-01,96.70
1982-08-01,97.80
1982-09-01,99.40
1982-10-01,99.70
1982-11-01,99.60
1982-12-01,98.70
1983-01-01,97.40
1983-02-01,97.90
1983-03-01,99.20
1983-04-01,99.70
1983-05-01,100.00
1983-06-01,99.70
1983-07-01,99.40
1983-08-01,100.60
1983-09-01,102.20
1983-10-01,102.30
1983-11-01,102.30
1983-12-01,101.60
1984-01-01,100.10
1984-02-01,100.00
1984-03-01,101.30
1984-04-01,101.60
1984-05-01,101.40
1984-06-01,100.60
1984-07-01,100.20
1984-08-01,102.00
1984-09-01,104.10
1984-10-01,104.90
1984-11-01,104.60
1984-12-01,103.60
1985-01-01,101.90
1985-02-01,102.90
1985-03-01,104.70
1985-04-01,105.00
1985-05-01,104.70
1985-06-01,104.30
1985-07-01,103.40
1985-08-01,104.70
1985-09-01,106.90
1985-10-01,107.60
1985-11-01,107.70
1985-12-01,106.50
1986-01-01,104.50
1986-02-01,104.10
1986-03-01,105.20
1986-04-01,105.70
1986-05-01,105.20
1986-06-01,104.30
1986-07-01,103.60
1986-08-01,105.50
1986-09-01,108.10
1986-10-01,108.70
1986-11-01,108.60
1986-12-01,107.50
1987-01-01,105.60
1987-02-01,106.20
1987-03-01,109.70
1987-04-01,111.50
1987-05-01,111.10
1987-06-01,109.30
1987-07-01,107.30
1987-08-01,109.40
1987-09-01,113.30
1987-10-01,115.40
1987-11-01,115.40
1987-12-01,112.70
1988-01-01,110.40
1988-02-01,110.20
1988-03-01,114.30
1988-04-01,117.00
1988-05-01,116.30
1988-06-01,114.60
1988-07-01,112.70
1988-08-01,112.60
1988-09-01,117.80
1988-10-01,120.70
1988-11-01,119.90
1988-12-01,118.00
1989-01-01,115.30
1989-02-01,115.30
1989-03-01,119.30
1989-04-01,120.90
1989-05-01,120.40
1989-06-01,117.80
1989-07-01,115.00
1989-08-01,115.00
1989-09-01,120.00
1989-10-01,122.70
1989-11-01,122.10
1989-12-01,119.20
1990-01-01,116.70
1990-02-01,120.40
1990-03-01,125.40
1990-04-01,126.70
1990-05-01,125.50
1990-06-01,123.30
1990-07-01,120.80
1990-08-01,122.20
1990-09-01,126.80
1990-10-01,128.40
1990-11-01,127.50
1990-12-01,125.30
1991-01-01,123.80
1991-02-01,126.20
1991-03-01,128.80
1991-04-01,130.10
1991-05-01,129.40
1991-06-01,126.90
1991-07-01,125.20
1991-08-01,127.60
1991-09-01,131.30
1991-10-01,132.70
1991-11-01,132.90
1991-12-01,129.60
1992-01-01,127.90
1992-02-01,130.20
1992-03-01,133.40
1992-04-01,133.30
1992-05-01,133.10
1992-06-01,131.00
1992-07-01,129.20
1992-08-01,130.20
1992-09-01,133.30
1992-10-01,135.00
1992-11-01,134.50
1992-12-01,131.40
1993-01-01,129.70
1993-02-01,133.40
1993-03-01,136.20
1993-04-01,136.90
1993-05-01,135.00
1993-06-01,131.90
1993-07-01,129.40
1993-08-01,131.90
1993-09-01,134.60
1993-10-01,136.10
1993-11-01,136.20
1993-12-01,132.60
1994-01-01,130.40
1994-02-01,132.40
1994-03-01,136.10
1994-04-01,136.40
1994-05-01,135.60
1994-06-01,133.80
1994-07-01,130.90
1994-08-01,131.10
1994-09-01,134.20
1994-10-01,135.20
1994-11-01,134.20
1994-12-01,130.50
1995-01-01,129.40
1995-02-01,131.10
1995-03-01,134.40
1995-04-01,134.80
1995-05-01,133.40
1995-06-01,130.50
1995-07-01,128.30
1995-08-01,130.10
1995-09-01,132.70
1995-10-01,134.50
1995-11-01,133.70
1995-12-01,130.60
1996-01-01,130.00
1996-02-01,131.20
1996-03-01,134.80
1996-04-01,134.90
1996-05-01,133.70
1996-06-01,130.80
1996-07-01,128.30
1996-08-01,128.10
1996-09-01,131.50
1996-10-01,133.40
1996-11-01,133.40
1996-12-01,130.30
1997-01-01,129.60
1997-02-01,131.90
1997-03-01,134.50
1997-04-01,136.10
1997-05-01,135.30
1997-06-01,132.40
1997-07-01,130.20
1997-08-01,130.00
1997-09-01,133.00
1997-10-01,134.90
1997-11-01,134.70
1997-12-01,131.60
1998-01-01,129.80
1998-02-01,131.90
1998-03-01,134.90
1998-04-01,135.80
1998-05-01,135.30
1998-06-01,132.50
1998-07-01,129.60
1998-08-01,131.60
1998-09-01,133.60
1998-10-01,135.60
1998-11-01,135.00
1998-12-01,130.70
1999-01-01,127.90
1999-02-01,129.70
1999-03-01,132.70
1999-04-01,135.20
1999-05-01,134.20
1999-06-01,130.90
1999-07-01,127.30
1999-08-01,127.50
1999-09-01,131.80
1999-10-01,134.60
1999-11-01,133.60
1999-12-01,130.10
2000-01-01,126.80
2000-02-01,129.20
2000-03-01,132.50
2000-04-01,133.30
2000-05-01,132.20
2000-06-01,128.30
2000-07-01,124.50
2000-08-01,125.30
2000-09-01,130.40
2000-10-01,132.80
2000-11-01,131.80
2000-12-01,127.80
2001-01-01,125.40
2001-02-01,128.40
2001-03-01,132.20
2001-04-01,131.90
2001-05-01,129.80
2001-06-01,126.30
2001-07-01,122.60
2001-08-01,122.60
2001-09-01,126.80
2001-10-01,129.50
2001-11-01,128.00
2001-12-01,123.70
2002-01-01,120.40
2002-02-01,123.50
2002-03-01,128.20
2002-04-01,128.80
2002-05-01,127.10
2002-06-01,122.70
2002-07-01,118.70
2002-08-01,120.50
2002-09-01,124.60
2002-10-01,126.80
2002-11-01,125.50
2002-12-01,121.50
2003-01-01,118.10
2003-02-01,120.60
2003-03-01,123.60
2003-04-01,123.90
2003-05-01,122.50
2003-06-01,119.50
2003-07-01,116.20
2003-08-01,117.20
2003-09-01,122.00
2003-10-01,124.80
2003-11-01,123.10
2003-12-01,119.00
2004-01-01,115.80
2004-02-01,118.60
2004-03-01,123.50
2004-04-01,124.30
2004-05-01,123.40
2004-06-01,120.10
2004-07-01,115.90
2004-08-01,116.50
2004-09-01,121.20
2004-10-01,124.10
2004-11-01,123.00
2004-12-01,118.80
2005-01-01,116.10
2005-02-01,118.70
2005-03-01,123.50
2005-04-01,123.70
2005-05-01,122.40
2005-06-01,118.30
2005-07-01,113.80
2005-08-01,115.80
2005-09-01,120.50
2005-10-01,122.70
2005-11-01,121.50
2005-12-01,117.50
2006-01-01,114.90
2006-02-01,116.60
2006-03-01,122.00
2006-04-01,123.40
2006-05-01,122.40
2006-06-01,118.90
2006-07-01,113.80
2006-08-01,116.10
2006-09-01,121.70
2006-10-01,123.30
2006-11-01,121.70
2006-12-01,118.60
2007-01-01,115.99
2007-02-01,119.02
2007-03-01,122.58
2007-04-01,122.93
2007-05-01,121.45
2007-06-01,117.23
2007-07-01,113.50
2007-08-01,114.44
2007-09-01,119.54
2007-10-01,121.85
2007-11-01,121.20
2007-12-01,118.26
2008-01-01,115.80
2008-02-01,117.84
2008-03-01,120.88
2008-04-01,122.11
2008-05-01,120.75
2008-06-01,117.02
2008-07-01,114.36
2008-08-01,116.38
2008-09-01,121.17
2008-10-01,122.24
2008-11-01,121.26
2008-12-01,117.08
2009-01-01,114.76
2009-02-01,118.83
2009-03-01,122.55
2009-04-01,123.21
2009-05-01,121.75
2009-06-01,118.80
2009-07-01,115.62
2009-08-01,117.13
2009-09-01,122.48
2009-10-01,124.00
2009-11-01,122.47
2009-12-01,119.36
2010-01-01,116.68
2010-02-01,118.87
2010-03-01,122.07
2010-04-01,122.14
2010-05-01,121.01
2010-06-01,118.32
2010-07-01,115.25
2010-08-01,116.67
2010-09-01,121.01
2010-10-01,122.45
2010-11-01,121.50
2010-12-01,118.07
2011-01-01,116.66
2011-02-01,118.37
2011-03-01,121.29
2011-04-01,122.23
2011-05-01,122.27
2011-06-01,120.58
2011-07-01,118.77
2011-08-01,121.55
2011-09-01,125.27
2011-10-01,127.59
2011-11-01,127.29
2011-12-01,123.47
2012-01-01,122.11
2012-02-01,123.31
2012-03-01,127.26
2012-04-01,128.49
2012-05-01,127.69
2012-06-01,125.24
2012-07-01,122.30
2012-08-01,123.57
2012-09-01,128.63
2012-10-01,131.36
2012-11-01,129.57
2012-12-01,125.66
2013-01-01,124.69
2013-02-01,126.30
2013-03-01,128.28
2013-04-01,128.86
2013-05-01,127.95
2013-06-01,126.21
2013-07-01,124.22
2013-08-01,125.77
2013-09-01,129.70
2013-10-01,131.07
2013-11-01,129.44
2013-12-01,126.46
2014-01-01,124.28
2014-02-01,125.49
2014-03-01,128.89
2014-04-01,129.63
2014-05-01,128.96
2014-06-01,127.30
2014-07-01,124.65
2014-08-01,125.73
2014-09-01,130.32
2014-10-01,131.96
2014-11-01,129.02
2014-12-01,123.94
2015-01-01,122.53
2015-02-01,124.46
2015-03-01,128.25
2015-04-01,128.59
2015-05-01,127.08
2015-06-01,124.95
2015-07-01,122.61
2015-08-01,124.55
2015-09-01,128.54
2015-10-01,129.45
2015-11-01,127.04
2015-12-01,122.79
2016-01-01,121.88
2016-02-01,125.57
2016-03-01,127.43
2016-04-01,127.77
2016-05-01,127.76
2016-06-01,125.47
2016-07-01,123.03
2016-08-01,124.87
2016-09-01,128.43
2016-10-01,130.33
2016-11-01,127.38
2016-12-01,122.64
2017-01-01,123.09
2017-02-01,126.10
2017-03-01,128.25
2017-04-01,128.35
2017-05-01,126.56
2017-06-01,124.63
2017-07-01,122.49
2017-08-01,124.15
2017-09-01,128.15
2017-10-01,129.57
2017-11-01,125.40
2017-12-01,120.61
2018-01-01,122.27
2018-02-01,126.59
2018-03-01,128.60
2018-04-01,129.37
2018-05-01,128.36
