Date,RTWVDFL684NMFRBDAL
2005-02-01,98.54
2005-03-01,98.87
2005-04-01,99.66
2005-05-01,98.88
2005-06-01,98.84
2005-07-01,98.62
2005-08-01,98.00
2005-09-01,98.39
2005-10-01,98.82
2005-11-01,97.96
2005-12-01,97.48
2006-01-01,97.23
2006-02-01,96.43
2006-03-01,96.67
2006-04-01,96.83
2006-05-01,96.39
2006-06-01,97.55
2006-07-01,96.72
2006-08-01,95.67
2006-09-01,95.27
2006-10-01,94.48
2006-11-01,93.51
2006-12-01,92.72
2007-01-01,92.92
2007-02-01,92.66
2007-03-01,92.86
2007-04-01,91.80
2007-05-01,90.89
2007-06-01,90.12
2007-07-01,89.08
2007-08-01,89.64
2007-09-01,88.59
2007-10-01,86.41
2007-11-01,85.50
2007-12-01,85.17
2008-01-01,84.73
2008-02-01,83.77
2008-03-01,82.38
2008-04-01,81.78
2008-05-01,82.30
2008-06-01,82.62
2008-07-01,82.37
2008-08-01,83.44
2008-09-01,85.45
2008-10-01,89.96
2008-11-01,90.56
2008-12-01,89.26
2009-01-01,89.29
2009-02-01,91.03
2009-03-01,91.31
2009-04-01,89.23
2009-05-01,86.88
2009-06-01,85.67
2009-07-01,84.97
2009-08-01,83.69
2009-09-01,82.94
2009-10-01,81.47
2009-11-01,80.79
2009-12-01,80.70
2010-01-01,81.53
2010-02-01,82.67
2010-03-01,81.75
2010-04-01,80.83
2010-05-01,82.69
2010-06-01,82.58
2010-07-01,80.97
2010-08-01,80.13
2010-09-01,79.22
2010-10-01,77.59
2010-11-01,77.66
2010-12-01,77.41
2011-01-01,80.13
2011-02-01,79.60
2011-03-01,78.93
2011-04-01,77.78
2011-05-01,77.67
2011-06-01,76.87
2011-07-01,75.90
2011-08-01,75.85
2011-09-01,78.62
2011-10-01,79.35
2011-11-01,79.43
2011-12-01,79.91
2012-01-01,79.56
2012-02-01,77.95
2012-03-01,78.60
2012-04-01,78.88
2012-05-01,80.04
2012-06-01,80.77
2012-07-01,80.27
2012-08-01,80.02
2012-09-01,79.26
2012-10-01,78.80
2012-11-01,78.75
2012-12-01,77.67
2013-01-01,77.11
2013-02-01,78.50
2013-03-01,79.64
2013-04-01,79.18
2013-05-01,79.48
2013-06-01,80.44
2013-07-01,80.70
2013-08-01,80.80
2013-09-01,80.21
2013-10-01,78.84
2013-11-01,79.11
2013-12-01,79.16
2014-01-01,79.86
2014-02-01,80.11
2014-03-01,79.73
2014-04-01,78.55
2014-05-01,78.14
2014-06-01,77.95
2014-07-01,77.27
2014-08-01,77.76
2014-09-01,78.45
2014-10-01,79.09
2014-11-01,79.44
2014-12-01,80.21
2015-01-01,80.50
2015-02-01,81.31
2015-03-01,83.00
2015-04-01,82.20
2015-05-01,81.52
2015-06-01,81.96
2015-07-01,82.65
2015-08-01,83.80
2015-09-01,84.27
2015-10-01,83.17
2015-11-01,83.16
2015-12-01,83.82
2016-01-01,85.20
2016-02-01,84.37
2016-03-01,83.25
2016-04-01,81.89
2016-05-01,81.96
2016-06-01,81.88
2016-07-01,81.42
2016-08-01,80.78
2016-09-01,81.24
2016-10-01,81.40
2016-11-01,82.44
2016-12-01,82.64
2017-01-01,82.15
2017-02-01,80.83
2017-03-01,80.52
2017-04-01,79.91
2017-05-01,79.94
2017-06-01,79.52
2017-07-01,78.50
2017-08-01,77.79
2017-09-01,77.50
2017-10-01,78.09
2017-11-01,78.15
2017-12-01,77.67
2018-01-01,82.00
2018-02-01,76.29
2018-03-01,77.66
