Date,RTWVDKY684NMFRBDAL
2004-03-01,108.08
2004-04-01,109.16
2004-05-01,111.40
2004-06-01,110.29
2004-07-01,108.61
2004-08-01,108.55
2004-09-01,107.74
2004-10-01,105.82
2004-11-01,102.27
2004-12-01,101.21
2005-01-01,102.29
2005-02-01,102.82
2005-03-01,102.13
2005-04-01,103.65
2005-05-01,104.30
2005-06-01,104.98
2005-07-01,105.32
2005-08-01,104.02
2005-09-01,104.18
2005-10-01,105.41
2005-11-01,105.44
2005-12-01,104.00
2006-01-01,103.22
2006-02-01,103.37
2006-03-01,103.97
2006-04-01,103.53
2006-05-01,101.04
2006-06-01,102.47
2006-07-01,102.68
2006-08-01,101.63
2006-09-01,101.60
2006-10-01,101.76
2006-11-01,100.85
2006-12-01,100.35
2007-01-01,102.01
2007-02-01,101.71
2007-03-01,101.67
2007-04-01,100.03
2007-05-01,98.98
2007-06-01,98.31
2007-07-01,96.65
2007-08-01,97.00
2007-09-01,95.31
2007-10-01,92.52
2007-11-01,91.29
2007-12-01,92.63
2008-01-01,92.82
2008-02-01,91.79
2008-03-01,90.52
2008-04-01,90.38
2008-05-01,90.60
2008-06-01,91.36
2008-07-01,90.83
2008-08-01,93.61
2008-09-01,95.89
2008-10-01,103.44
2008-11-01,104.96
2008-12-01,103.37
2009-01-01,104.36
2009-02-01,106.82
2009-03-01,107.53
2009-04-01,104.71
2009-05-01,100.56
2009-06-01,99.09
2009-07-01,98.58
2009-08-01,96.66
2009-09-01,95.91
2009-10-01,94.23
2009-11-01,93.65
2009-12-01,94.06
2010-01-01,94.18
2010-02-01,95.47
2010-03-01,94.59
2010-04-01,93.69
2010-05-01,96.73
2010-06-01,97.18
2010-07-01,95.52
2010-08-01,94.68
2010-09-01,93.78
2010-10-01,91.08
2010-11-01,91.09
2010-12-01,91.66
2011-01-01,90.58
2011-02-01,89.82
2011-03-01,89.32
2011-04-01,87.82
2011-05-01,88.22
2011-06-01,88.46
2011-07-01,87.36
2011-08-01,88.32
2011-09-01,91.02
2011-10-01,91.86
2011-11-01,92.09
2011-12-01,92.68
2012-01-01,92.19
2012-02-01,90.51
2012-03-01,91.33
2012-04-01,91.54
2012-05-01,93.14
2012-06-01,94.70
2012-07-01,93.68
2012-08-01,92.68
2012-09-01,91.56
2012-10-01,91.44
2012-11-01,91.82
2012-12-01,91.01
2013-01-01,91.09
2013-02-01,92.08
2013-03-01,93.35
2013-04-01,92.81
2013-05-01,93.24
2013-06-01,94.16
2013-07-01,94.76
2013-08-01,94.55
2013-09-01,94.04
2013-10-01,92.93
2013-11-01,93.54
2013-12-01,93.82
2014-01-01,95.17
2014-02-01,95.20
2014-03-01,95.21
2014-04-01,94.45
2014-05-01,94.21
2014-06-01,94.31
2014-07-01,93.82
2014-08-01,94.84
2014-09-01,96.34
2014-10-01,97.68
2014-11-01,98.82
2014-12-01,100.32
2015-01-01,103.21
2015-02-01,104.93
2015-03-01,107.73
2015-04-01,106.69
2015-05-01,105.50
2015-06-01,106.58
2015-07-01,108.64
2015-08-01,110.43
2015-09-01,111.82
2015-10-01,110.84
2015-11-01,112.21
2015-12-01,113.25
2016-01-01,116.24
2016-02-01,114.26
2016-03-01,111.71
2016-04-01,109.71
2016-05-01,110.58
2016-06-01,111.03
2016-07-01,111.79
2016-08-01,110.83
2016-09-01,111.83
2016-10-01,113.37
2016-11-01,115.45
2016-12-01,116.50
2017-01-01,115.97
2017-02-01,114.59
2017-03-01,114.85
2017-04-01,114.17
2017-05-01,113.80
2017-06-01,112.66
2017-07-01,109.74
2017-08-01,108.47
2017-09-01,107.54
2017-10-01,109.41
2017-11-01,109.80
2017-12-01,109.18
2018-01-01,106.84
2018-02-01,106.32
2018-03-01,107.33
