Date,CFNAIDIFF
1980-04-01,-0.73
1980-05-01,-0.86
1980-06-01,-0.85
1980-07-01,-0.72
1980-08-01,-0.27
1980-09-01,0.13
1980-10-01,0.57
1980-11-01,0.59
1980-12-01,0.57
1981-01-01,0.22
1981-02-01,-0.10
1981-03-01,-0.23
1981-04-01,-0.07
1981-05-01,0.07
1981-06-01,-0.02
1981-07-01,-0.10
1981-08-01,-0.33
1981-09-01,-0.54
1981-10-01,-0.79
1981-11-01,-0.85
1981-12-01,-0.86
1982-01-01,-0.86
1982-02-01,-0.53
1982-03-01,-0.49
1982-04-01,-0.48
1982-05-01,-0.68
1982-06-01,-0.68
1982-07-01,-0.62
1982-08-01,-0.71
1982-09-01,-0.66
1982-10-01,-0.71
1982-11-01,-0.64
1982-12-01,-0.62
1983-01-01,-0.22
1983-02-01,-0.18
1983-03-01,0.23
1983-04-01,0.26
1983-05-01,0.66
1983-06-01,0.70
1983-07-01,0.75
1983-08-01,0.64
1983-09-01,0.67
1983-10-01,0.69
1983-11-01,0.76
1983-12-01,0.73
1984-01-01,0.77
1984-02-01,0.76
1984-03-01,0.69
1984-04-01,0.64
1984-05-01,0.65
1984-06-01,0.67
1984-07-01,0.54
1984-08-01,0.35
1984-09-01,0.13
1984-10-01,0.14
1984-11-01,0.30
1984-12-01,0.36
1985-01-01,0.16
1985-02-01,-0.03
1985-03-01,0.02
1985-05-01,0.08
1985-06-01,-0.11
1985-07-01,-0.11
1985-08-01,-0.03
1985-09-01,0.06
1985-10-01,0.10
1985-11-01,0.08
1985-12-01,0.16
1986-01-01,0.36
1986-02-01,0.03
1986-03-01,-0.18
1986-04-01,-0.18
1986-06-01,0.04
1986-07-01,0.03
1986-08-01,0.06
1986-09-01,0.22
1986-10-01,0.13
1986-11-01,0.18
1986-12-01,0.30
1987-01-01,0.15
1987-02-01,0.37
1987-03-01,0.22
1987-04-01,0.48
1987-05-01,0.40
1987-06-01,0.56
1987-07-01,0.67
1987-08-01,0.63
1987-09-01,0.60
1987-10-01,0.55
1987-11-01,0.57
1987-12-01,0.61
1988-01-01,0.34
1988-02-01,0.38
1988-03-01,0.32
1988-04-01,0.54
1988-05-01,0.38
1988-06-01,0.39
1988-07-01,0.21
1988-08-01,0.16
1988-09-01,0.06
1988-10-01,0.32
1988-11-01,0.43
1988-12-01,0.56
1989-01-01,0.49
1989-02-01,0.31
1989-03-01,0.06
1989-04-01,-0.05
1989-05-01,-0.21
1989-06-01,-0.27
1989-07-01,-0.51
1989-08-01,-0.23
1989-09-01,-0.34
1989-10-01,-0.27
1989-11-01,-0.24
1989-12-01,-0.05
1990-01-01,-0.01
1990-02-01,0.02
1990-03-01,0.08
1990-04-01,-0.08
1990-05-01,-0.20
1990-06-01,-0.29
1990-07-01,-0.27
1990-08-01,-0.39
1990-09-01,-0.56
1990-10-01,-0.61
1990-11-01,-0.78
1990-12-01,-0.82
1991-01-01,-0.80
1991-02-01,-0.75
1991-03-01,-0.76
1991-04-01,-0.54
1991-05-01,-0.34
1991-06-01,-0.09
1991-07-01,-0.11
1991-08-01,-0.26
1991-09-01,-0.17
1991-10-01,-0.33
1991-11-01,-0.37
1991-12-01,-0.67
1992-01-01,-0.57
1992-02-01,-0.35
1992-03-01,-0.03
1992-04-01,0.22
1992-05-01,0.23
1992-06-01,0.09
1992-07-01,0.02
1992-08-01,-0.17
1992-09-01,-0.19
1992-10-01,-0.16
1992-11-01,0.11
1992-12-01,0.29
1993-01-01,0.34
1993-02-01,0.34
1993-03-01,0.08
1993-04-01,0.01
1993-05-01,-0.13
1993-06-01,-0.04
1993-07-01,-0.05
1993-08-01,-0.01
1993-09-01,0.22
1993-10-01,0.32
1993-11-01,0.52
1993-12-01,0.58
1994-01-01,0.52
1994-02-01,0.40
1994-03-01,0.43
1994-04-01,0.47
1994-05-01,0.62
1994-06-01,0.58
1994-07-01,0.45
1994-08-01,0.44
1994-09-01,0.34
1994-10-01,0.58
1994-11-01,0.57
1994-12-01,0.72
1995-01-01,0.55
1995-02-01,0.29
1995-03-01,0.01
1995-04-01,-0.23
1995-05-01,-0.19
1995-06-01,-0.07
1995-07-01,-0.09
1995-08-01,0.07
1995-09-01,0.04
1995-10-01,0.07
1995-11-01,-0.02
1995-12-01,-0.07
1996-01-01,-0.15
1996-02-01,-0.01
1996-03-01,-0.10
1996-04-01,0.23
1996-05-01,0.24
1996-06-01,0.44
1996-07-01,0.40
1996-08-01,0.37
1996-09-01,0.34
1996-10-01,0.32
1996-11-01,0.39
1996-12-01,0.32
1997-01-01,0.37
1997-02-01,0.40
1997-03-01,0.49
1997-04-01,0.47
1997-05-01,0.40
1997-06-01,0.45
1997-07-01,0.63
1997-08-01,0.60
1997-09-01,0.64
1997-10-01,0.56
1997-11-01,0.68
1997-12-01,0.51
1998-01-01,0.49
1998-02-01,0.32
1998-03-01,0.23
1998-04-01,0.21
1998-05-01,0.24
1998-06-01,0.14
1998-07-01,-0.15
1998-08-01,-0.15
1998-09-01,0.02
1998-10-01,0.28
1998-11-01,0.18
1998-12-01,0.21
1999-01-01,0.09
1999-02-01,0.23
1999-03-01,0.07
1999-04-01,0.04
1999-05-01,0.12
1999-06-01,0.19
1999-07-01,0.31
1999-08-01,0.18
1999-09-01,0.17
1999-10-01,0.34
1999-11-01,0.40
1999-12-01,0.67
2000-01-01,0.51
2000-02-01,0.32
2000-03-01,0.29
2000-04-01,0.44
2000-05-01,0.36
2000-06-01,0.18
2000-07-01,-0.13
2000-08-01,-0.20
2000-09-01,-0.11
2000-10-01,-0.23
2000-11-01,-0.19
2000-12-01,-0.43
2001-01-01,-0.44
2001-02-01,-0.48
2001-03-01,-0.57
2001-04-01,-0.59
2001-05-01,-0.60
2001-06-01,-0.66
2001-07-01,-0.61
2001-08-01,-0.54
2001-09-01,-0.52
2001-10-01,-0.49
2001-11-01,-0.58
2001-12-01,-0.39
2002-01-01,-0.27
2002-02-01,-0.12
2002-03-01,-0.13
2002-04-01,-0.11
2002-05-01,-0.02
2002-06-01,0.09
2002-07-01,-0.06
2002-08-01,-0.13
2002-09-01,-0.32
2002-10-01,-0.35
2002-11-01,-0.29
2002-12-01,-0.34
2003-01-01,-0.10
2003-02-01,-0.27
2003-03-01,-0.19
2003-04-01,-0.44
2003-05-01,-0.39
2003-06-01,-0.28
2003-07-01,-0.03
2003-08-01,-0.08
2003-09-01,-0.01
2003-10-01,-0.03
2003-11-01,0.24
2003-12-01,0.03
2004-01-01,-0.01
2004-02-01,-0.03
2004-03-01,0.18
2004-04-01,0.29
2004-05-01,0.36
2004-06-01,0.22
2004-07-01,0.26
2004-08-01,0.18
2004-09-01,0.20
2004-10-01,0.25
2004-11-01,0.16
2004-12-01,0.36
2005-01-01,0.24
2005-02-01,0.38
2005-03-01,0.10
2005-04-01,0.14
2005-05-01,-0.01
2005-06-01,0.18
2005-07-01,0.10
2005-08-01,0.26
2005-09-01,0.09
2005-10-01,0.19
2005-11-01,0.23
2005-12-01,0.43
2006-01-01,0.50
2006-02-01,0.38
2006-03-01,0.38
2006-04-01,0.20
2006-05-01,0.06
2006-06-01,-0.05
2006-07-01,-0.15
2006-08-01,0.02
2006-09-01,-0.11
2006-10-01,-0.18
2006-11-01,-0.34
2006-12-01,-0.08
2007-01-01,-0.06
2007-02-01,0.09
2007-03-01,0.03
2007-04-01,0.18
2007-05-01,0.09
2007-06-01,-0.07
2007-07-01,-0.29
2007-08-01,-0.36
2007-09-01,-0.34
2007-10-01,-0.32
2007-11-01,-0.27
2007-12-01,-0.40
2008-01-01,-0.41
2008-02-01,-0.67
2008-03-01,-0.76
2008-04-01,-0.74
2008-05-01,-0.72
2008-06-01,-0.72
2008-07-01,-0.83
2008-08-01,-0.83
2008-09-01,-0.90
2008-10-01,-0.84
2008-11-01,-0.85
2008-12-01,-0.82
2009-01-01,-0.88
2009-02-01,-0.78
2009-03-01,-0.81
2009-04-01,-0.79
2009-05-01,-0.83
2009-06-01,-0.73
2009-07-01,-0.46
2009-08-01,-0.24
2009-09-01,-0.06
2009-10-01,-0.05
2009-11-01,-0.04
2009-12-01,-0.05
2010-01-01,-0.05
2010-02-01,-0.17
2010-03-01,0.08
2010-04-01,0.24
2010-05-01,0.44
2010-06-01,0.23
2010-07-01,0.14
2010-08-01,0.03
2010-10-01,-0.07
2010-11-01,-0.10
2010-12-01,0.01
2011-01-01,0.01
2011-02-01,0.02
2011-03-01,0.14
2011-04-01,0.03
2011-05-01,0.04
2011-06-01,-0.12
2011-07-01,0.12
2011-08-01,0.19
2011-09-01,0.16
2011-10-01,0.15
2011-11-01,-0.01
2011-12-01,0.13
2012-01-01,0.21
2012-02-01,0.45
2012-03-01,0.27
2012-04-01,0.12
2012-05-01,-0.04
2012-06-01,-0.11
2012-07-01,-0.23
2012-08-01,-0.36
2012-09-01,-0.26
2012-10-01,-0.25
2012-11-01,-0.03
2012-12-01,0.10
2013-01-01,0.10
2013-02-01,0.21
2013-03-01,-0.01
2013-04-01,-0.05
2013-05-01,-0.16
2013-06-01,-0.05
2013-07-01,-0.11
2013-09-01,0.14
2013-10-01,0.31
2013-11-01,0.20
2013-12-01,0.03
2014-01-01,-0.13
2014-02-01,-0.05
2014-03-01,0.19
2014-04-01,0.30
2014-05-01,0.25
2014-06-01,0.17
2014-07-01,0.25
2014-08-01,0.15
2014-09-01,0.08
2014-10-01,0.02
2014-11-01,0.18
2014-12-01,0.15
2015-01-01,0.09
2015-02-01,-0.13
2015-03-01,-0.15
2015-04-01,-0.06
2015-05-01,-0.05
2015-06-01,-0.14
2015-07-01,-0.10
2015-08-01,-0.16
2015-09-01,-0.14
2015-10-01,-0.28
2015-11-01,-0.26
2015-12-01,-0.30
2016-01-01,-0.23
2016-02-01,-0.26
2016-03-01,-0.22
2016-04-01,-0.30
2016-05-01,-0.41
2016-06-01,-0.27
2016-07-01,-0.15
2016-08-01,-0.09
2016-09-01,-0.16
2016-10-01,-0.22
2016-11-01,-0.10
2016-12-01,0.03
2017-01-01,0.02
2017-02-01,0.04
2017-03-01,-0.05
2017-04-01,0.04
2017-05-01,0.04
2017-06-01,0.02
2017-07-01,-0.10
2017-08-01,-0.13
2017-09-01,-0.06
2017-10-01,0.18
2017-11-01,0.36
2017-12-01,0.31
2018-01-01,0.06
2018-02-01,0.06
2018-03-01,0.09
2018-04-01,0.23
2018-05-01,0.10
