Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170221	2-21-2017	090741	CME 	00	090 	149445	1565	70464	5988	34595	6231	3846	45183	20303	11633	9492	2074	2440	114742	122979	34703	26466	5470	-749	3213	104	-458	-172	-330	5437	1613	-337	1156	-4	82	4907	4170	563	1300	100	1	47.2	4	23.1	4.2	2.6	30.2	13.6	7.8	6.4	1.4	1.6	76.8	82.3	23.2	17.7	89		11	8	12	5	6	24	22	17	11		5	67	58	26.7	42	38	51.9	26.4	41.6	35.5	51.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170214	2-14-2017	090741	CME 	00	090 	143975	2313	67252	5883	35053	6403	4175	39746	18690	11970	8336	2078	2358	109835	118810	34140	25165	7186	197	6580	591	877	196	565	4459	-2009	290	872	-36	422	8273	6598	-1087	588	100	1.6	46.7	4.1	24.3	4.4	2.9	27.6	13	8.3	5.8	1.4	1.6	76.3	82.5	23.7	17.5	85		12	8	11	6	6	25	16	14	10		7	63	57	26.4	42.2	38.1	52.5	26.1	41.8	34.7	51.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170207	2-7-2017	090741	CME 	00	090 	136789	2117	60672	5292	34176	6207	3610	35287	20699	11680	7463	2114	1936	101562	112211	35227	24578	-3134	-1976	11660	-929	3058	-1622	-2397	2579	-2397	-4102	-318	92	-820	-4905	-515	1771	-2619	100	1.5	44.4	3.9	25	4.5	2.6	25.8	15.1	8.5	5.5	1.5	1.4	74.2	82	25.8	18	88		12	7	12	5	6	29	15	16	9	4	7	64	60	23.5	40.9	34.4	51.2	23.2	40.7	31.8	50.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170131	1-31-2017	090741	CME 	00	090 	139923	4092	49012	6221	31118	7829	6008	32708	23096	15783	7781	2022	2755	106466	112726	33457	27197	18059	2171	12336	645	1415	163	2043	4758	1301	2156	-150	245	162	13199	19050	4860	-991	100	2.9	35	4.4	22.2	5.6	4.3	23.4	16.5	11.3	5.6	1.4	2	76.1	80.6	23.9	19.4	91	4	12	7	10	8	6	24	20	14	8	5	7	60	65	20.6	32.5	32.8	42.4	20.1	32.3	29.7	41.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170124	1-24-2017	090741	CME 	00	090 	121864	1921	36677	5576	29703	7666	3965	27950	21795	13627	7931	1777	2593	93267	93676	28597	28188	-312	-2182	12442	714	608	-196	291	1542	-11482	-45	670	-47	347	1945	2023	-2257	-2335	100	1.6	30.1	4.6	24.4	6.3	3.3	22.9	17.9	11.2	6.5	1.5	2.1	76.5	76.9	23.5	23.1	86		13	6	9	8	6	22	20	13	9		7	56	62	23.6	26.5	34.8	37	22.2	26.3	31.9	36.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170117	1-17-2017	090741	CME 	00	090 	122176	4103	24234	4862	29095	7863	3674	26408	33277	13672	7261	1824	2246	91322	91653	30854	30523	13449	-4009	12849	511	-177	-2417	1326	10244	1253	1963	1349	-426	255	11461	15313	1988	-1864	100	3.4	19.8	4	23.8	6.4	3	21.6	27.2	11.2	5.9	1.5	1.8	74.7	75	25.3	25	91	5	11	7	9	8	5	24	23	16	8		6	61	64	23.8	21.7	34.2	32.4	22.6	21.4	30.3	32.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170110	1-10-2017	090741	CME 	00	090 	108727	8112	11385	4352	29272	10280	2348	16164	32024	11709	5912	2251	1991	79860	76340	28867	32387	-8843	-9294	4247	-267	599	-3220	333	-2841	-4176	-407	694	-1128	-665	-11849	-5283	3006	-3560	100	7.5	10.5	4	26.9	9.5	2.2	14.9	29.5	10.8	5.4	2.1	1.8	73.5	70.2	26.5	29.8	85	5	9	6	8	10	5	18	23	14	8	4	7	52	65	26.1	16.7	35.8	28.8	25.3	16.7	33.9	28.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	170103	1-3-2017	090741	CME 	00	090 	117570	17406	7139	4619	28674	13499	2015	19005	36199	12116	5218	3378	2656	91709	81622	25861	35948	4968	9878	-3719	1256	1866	3490	244	-6120	2181	-551	-404	123	-76	6094	2948	-1126	2020	100	14.8	6.1	3.9	24.4	11.5	1.7	16.2	30.8	10.3	4.4	2.9	2.3	78	69.4	22	30.6	90	5	6	5	7	12	4	15	33	15	7	5	6	52	68	31.4	14.1	41.5	24.5	30.7	14.1	40.3	24.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170502	5-2-2017	092741	CME 	00	092 	44624	16462	1299	528	2304	2562	0	8482	19627	1697	6186	1482	0	35659	27195	8965	17429	-3587	-3716	370	-25	0	335	0	68	-4165	580	48	0	0	-3045	-2905	-542	-682	100	36.9	2.9	1.2	5.2	5.7	0	19	44	3.8	13.9	3.3	0	79.9	60.9	20.1	39.1	35	5			4		0	4	16	8			0	20	24	57.2	30.8	69.9	43.1	56	30.8	68.6	43.1	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170425	4-25-2017	092741	CME 	00	092 	48211	20178	929	553	2304	2227	0	8414	23793	1117	6138	1482	0	38704	30100	9507	18111	-1602	-3771	479	-11	65	-2091	0	506	1397	146	372	190	0	-2693	110	1091	-1712	100	41.9	1.9	1.1	4.8	4.6	0	17.5	49.4	2.3	12.7	3.1	0	80.3	62.4	19.7	37.6	37	5			4		0	4	18	7			0	20	25	56.9	30.9	71.9	43.9	56.9	30.9	70.6	43.5	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170418	4-18-2017	092741	CME 	00	092 	49813	23950	450	564	2239	4318	0	7908	22396	970	5766	1292	0	41397	29990	8416	19823	1731	1798	-10	86	0	715	0	-1318	486	16	135	76	0	717	1369	1014	362	100	48.1	0.9	1.1	4.5	8.7	0	15.9	45	1.9	11.6	2.6	0	83.1	60.2	16.9	39.8	36	5			4		0	4	17	7			0	20	24	59.5	26	75.7	40.4	59.5	26	74.4	40.4	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170411	4-11-2017	092741	CME 	00	092 	48082	22152	460	478	2239	3603	0	9226	21910	954	5631	1216	0	40680	28621	7402	19461	7495	6514	-349	-222	0	1375	0	1915	3062	-91	-38	76	0	8078	3851	-583	3644	100	46.1	1	1	4.7	7.5	0	19.2	45.6	2	11.7	2.5	0	84.6	59.5	15.4	40.5	42	5			4		0	9	18	8			0	24	27	54.1	24.7	71.2	37.8	53.7	24.7	70.1	37.8	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170404	4-4-2017	092741	CME 	00	092 	40587	15637	809	700	2239	2228	0	7311	18847	1045	5669	1140	0	32602	24770	7985	15817	-3246	2264	-2667	-43	-532	410	0	-1714	-2174	-592	197	228	0	-421	-4839	-2825	1593	100	38.5	2	1.7	5.5	5.5	0	18	46.4	2.6	14	2.8	0	80.3	61	19.7	39	38	4			4		0	8	15	7			0	23	24	54	27.4	67.9	40.4	53.4	27.4	66.3	40.4	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170328	3-28-2017	092741	CME 	00	092 	43833	13374	3476	744	2771	1818	0	9025	21021	1637	5472	912	0	33023	29608	10810	14225	-480	-3911	3476	87	793	31	0	166	-786	-713	209	493	0	-3369	2588	2889	-3068	100	30.5	7.9	1.7	6.3	4.1	0	20.6	48	3.7	12.5	2.1	0	75.3	67.5	24.7	32.5	41				4		0	10	17	8			0	22	28	47.8	28.8	60	42.1	47.8	28.8	59.4	42.1	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170321	3-21-2017	092741	CME 	00	092 	44313	17285	0	657	1978	1787	0	8859	21808	2351	5263	419	0	36392	27021	7921	17292	-3045	2203	-413	84	0	-1651	0	-6595	194	596	-331	419	0	-4044	-772	999	-2273	100	39	0	1.5	4.5	4	0	20	49.2	5.3	11.9	0.9	0	82.1	61	17.9	39	40	4	0				0	11	18	13			0	27	27	49.5	29.5	64.5	40.8	49.5	29.3	62.9	40.6	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170314	3-14-2017	092741	CME 	00	092 	47358	15083	413	573	1978	3438	0	15454	21614	1755	5594	0	0	40436	27793	6922	19565	-10968	-16496	-7850	-925	264	-1083	0	1750	238	-639	5594	0	0	-10452	-10259	-516	-709	100	31.8	0.9	1.2	4.2	7.3	0	32.6	45.6	3.7	11.8	0	0	85.4	58.7	14.6	41.3	42					4	0	12	18	10		0	0	26	27	49.9	25.8	67.9	37.7	49.9	25.7	66.6	37.6	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170307	3-7-2017	092741	CME 	00	092 	58326	31579	8263	1498	1714	4521	0	13704	21376	2394	0	0	0	50889	38052	7437	20274	9153	3698	-1856	708	0	1600	0	6109	5860	-229	0	0	0	10287	6083	-1134	3070	100	54.1	14.2	2.6	2.9	7.8	0	23.5	36.6	4.1	0	0	0	87.2	65.2	12.8	34.8	49	6	4			4	0	13	19	13	0	0	0	28	36	50.1	26.2	67.4	37.1	50.1	24.3	66.6	35	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170228	2-28-2017	092741	CME 	00	092 	49173	27881	10119	790	1714	2921	0	7594	15516	2623	0	0	0	40602	31969	8571	17204	-1618	436	-3191	71	10	1417	0	-2793	100	180	0	0	0	-2096	-1423	478	-195	100	56.7	20.6	1.6	3.5	5.9	0	15.4	31.6	5.3	0	0	0	82.6	65	17.4	35	40	5				4	0	11	15	13	0	0	0	23	31	56.4	32.7	69	43.3	56.4	31.1	68.5	41.7	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170221	2-21-2017	092741	CME 	00	092 	50791	27445	13309	719	1704	1504	0	10387	15416	2443	0	0	0	42698	33391	8093	17400	1218	23	-190	124	9	0	0	274	-794	387	0	0	0	817	-472	401	1690	100	54	26.2	1.4	3.4	3	0	20.5	30.4	4.8	0	0	0	84.1	65.7	15.9	34.3	42	4	4				0	13	17	14	0	0	0	27	31	54.6	32.6	68.2	44.9	54.6	31.2	68.1	43.5	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170214	2-14-2017	092741	CME 	00	092 	49573	27422	13499	595	1695	1504	0	10113	16210	2056	0	0	0	41881	33864	7692	15709	-1610	16	-249	49	-422	-452	0	317	-2316	-20	-480	0	-240	-780	-3227	-830	1617	100	55.3	27.2	1.2	3.4	3	0	20.4	32.7	4.1	0	0	0	84.5	68.3	15.5	31.7	40	4	4				0	10	18	11	0	0	0	23	30	57	34.3	72.3	46.1	57	33.1	72.1	44.9	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170207	2-7-2017	092741	CME 	00	092 	51183	27406	13748	546	2117	1956	0	9796	18526	2075	480	0	240	42660	37091	8523	14092	-1141	-56	3254	-42	22	-63	0	577	-1976	-627	-240	0	240	-126	786	-1015	-1927	100	53.5	26.9	1.1	4.1	3.8	0	19.1	36.2	4.1	0.9	0	0.5	83.3	72.5	16.7	27.5	46	4	4				0	11	20	11		0		25	35	54.4	33.9	68.9	45	54.4	32.9	68.8	43.9	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170131	1-31-2017	092741	CME 	00	092 	52324	27462	10494	587	2095	2019	0	9219	20502	2702	720	0	0	42786	36305	9538	16019	4214	-132	7901	-136	7	-9	0	571	-994	139	720	0	0	1170	6901	3044	-2687	100	52.5	20.1	1.1	4	3.9	0	17.6	39.2	5.2	1.4	0	0	81.8	69.4	18.2	30.6	44	4	4				0	12	17	12		0	0	26	32	52.7	30.2	65	45	52.7	29.1	64.7	43.9	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170124	1-24-2017	092741	CME 	00	092 	48110	27594	2593	723	2088	2028	0	8648	21496	2563	0	0	0	41616	29404	6494	18706	-241	-1826	907	-49	0	99	0	1291	-1258	24	0	0	0	-560	-276	319	35	100	57.4	5.4	1.5	4.3	4.2	0	18	44.7	5.3	0	0	0	86.5	61.1	13.5	38.9	44	4					0	11	21	12	0	0	0	25	32	57.4	23.9	69.8	34.9	57.4	22.4	69.2	33.3	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170117	1-17-2017	092741	CME 	00	092 	48351	29420	1686	773	2088	1929	0	7357	22754	2538	0	0	0	42176	29680	6175	18671	-4890	-4965	1140	-84	0	-660	0	181	-2903	-127	0	0	0	-4995	-2634	105	-2256	100	60.8	3.5	1.6	4.3	4	0	15.2	47.1	5.2	0	0	0	87.2	61.4	12.8	38.6	44	5				4	0	10	19	10	0	0	0	23	32	57.3	24.3	70	35	57.3	24.1	69.7	34	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170110	1-10-2017	092741	CME 	00	092 	53241	34385	546	856	2088	2589	0	7176	25657	2665	0	0	0	47171	32314	6070	20927	-3797	-2212	-512	215	310	-1454	0	-668	628	-699	0	0	0	-3054	-1822	-743	-1975	100	64.6	1	1.6	3.9	4.9	0	13.5	48.2	5	0	0	0	88.6	60.7	11.4	39.3	44	6					0	9	22	11	0	0	0	23	33	56.6	22.8	72.1	34.9	56.6	22.8	70.3	34.8	"(CONTRACTS OF CHF 125,000)"	F10	Combined
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE	170103	1-3-2017	092741	CME 	00	092 	57038	36597	1058	641	1778	4043	0	7844	25029	3364	0	0	0	50225	34136	6813	22902	-1130	-127	-47	4	43	-434	0	-2223	1299	103	0	0	0	-2200	925	1070	-2055	100	64.2	1.9	1.1	3.1	7.1	0	13.8	43.9	5.9	0	0	0	88.1	59.8	11.9	40.2	44	7					0	8	22	9	0	0	0	21	33	54.6	25.3	69.9	36.6	53.6	25.3	68.6	36.5	"(CONTRACTS OF CHF 125,000)"	F10	Combined
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE	170502	5-2-2017	096742	CME 	00	096 	309989	132640	62703	7294	17136	81680	3293	46333	63162	40106	25687	15018	3761	276249	277016	33740	32973	9271	286	14672	-644	1384	-4600	411	454	-7420	6340	-2685	355	-113	5433	9001	3838	270	100	42.8	20.2	2.4	5.5	26.3	1.1	14.9	20.4	12.9	8.3	4.8	1.2	89.1	89.4	10.9	10.6	126	8	9	11	11	23	11	29	34	29	5	7	4	81	100	51.7	29.7	58.7	44.8	50.8	28.2	55	43.1	"(CONTRACTS OF GBP 62,500)"	F10	Combined
