Market_and_Exchange_Names	As_of_Date_In_Form_YYMMDD	Report_Date_as_MM_DD_YYYY	CFTC_Contract_Market_Code	CFTC_Market_Code	CFTC_Region_Code	CFTC_Commodity_Code	Open_Interest_All	Dealer_Positions_Long_All	Dealer_Positions_Short_All	Dealer_Positions_Spread_All	Asset_Mgr_Positions_Long_All	Asset_Mgr_Positions_Short_All	Asset_Mgr_Positions_Spread_All	Lev_Money_Positions_Long_All	Lev_Money_Positions_Short_All	Lev_Money_Positions_Spread_All	Other_Rept_Positions_Long_All	Other_Rept_Positions_Short_All	Other_Rept_Positions_Spread_All	Tot_Rept_Positions_Long_All	Tot_Rept_Positions_Short_All	NonRept_Positions_Long_All	NonRept_Positions_Short_All	Change_in_Open_Interest_All	Change_in_Dealer_Long_All	Change_in_Dealer_Short_All	Change_in_Dealer_Spread_All	Change_in_Asset_Mgr_Long_All	Change_in_Asset_Mgr_Short_All	Change_in_Asset_Mgr_Spread_All	Change_in_Lev_Money_Long_All	Change_in_Lev_Money_Short_All	Change_in_Lev_Money_Spread_All	Change_in_Other_Rept_Long_All	Change_in_Other_Rept_Short_All	Change_in_Other_Rept_Spread_All	Change_in_Tot_Rept_Long_All	Change_in_Tot_Rept_Short_All	Change_in_NonRept_Long_All	Change_in_NonRept_Short_All	Pct_of_Open_Interest_All	Pct_of_OI_Dealer_Long_All	Pct_of_OI_Dealer_Short_All	Pct_of_OI_Dealer_Spread_All	Pct_of_OI_Asset_Mgr_Long_All	Pct_of_OI_Asset_Mgr_Short_All	Pct_of_OI_Asset_Mgr_Spread_All	Pct_of_OI_Lev_Money_Long_All	Pct_of_OI_Lev_Money_Short_All	Pct_of_OI_Lev_Money_Spread_All	Pct_of_OI_Other_Rept_Long_All	Pct_of_OI_Other_Rept_Short_All	Pct_of_OI_Other_Rept_Spread_All	Pct_of_OI_Tot_Rept_Long_All	Pct_of_OI_Tot_Rept_Short_All	Pct_of_OI_NonRept_Long_All	Pct_of_OI_NonRept_Short_All	Traders_Tot_All	Traders_Dealer_Long_All	Traders_Dealer_Short_All	Traders_Dealer_Spread_All	Traders_Asset_Mgr_Long_All	Traders_Asset_Mgr_Short_All	Traders_Asset_Mgr_Spread_All	Traders_Lev_Money_Long_All	Traders_Lev_Money_Short_All	Traders_Lev_Money_Spread_All	Traders_Other_Rept_Long_All	Traders_Other_Rept_Short_All	Traders_Other_Rept_Spread_All	Traders_Tot_Rept_Long_All	Traders_Tot_Rept_Short_All	Conc_Gross_LE_4_TDR_Long_All	Conc_Gross_LE_4_TDR_Short_All	Conc_Gross_LE_8_TDR_Long_All	Conc_Gross_LE_8_TDR_Short_All	Conc_Net_LE_4_TDR_Long_All	Conc_Net_LE_4_TDR_Short_All	Conc_Net_LE_8_TDR_Long_All	Conc_Net_LE_8_TDR_Short_All	Contract_Units	CFTC_SubGroup_Code	FutOnly_or_Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111018	18-10-2011	090741	CME	00	090	136051	40465	13546	8047	19962	32296	388	20673	43542	8068	8987	861	823	107414	107572	28637	28479	1212	1434	3320	646	-1283	-413	105	2784	-2718	53	-3423	-537	102	418	558	794	653	100	29.7	10	5.9	14.7	23.7	0.3	15.2	32	5.9	6.6	0.6	0.6	79	79.1	21	20.9	78	10	10	9	6	6		12	20	14	11			57	50	36.8	44.3	49.6	54	36.6	44.2	49.4	51.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111011	11-10-2011	090741	CME	00	090	134839	39032	10226	7401	21245	32709	283	17889	46260	8015	12410	1398	721	106997	107014	27842	27825	11601	23057	-10288	-845	-1790	19574	-43	5424	9516	-2571	-126	324	-387	22718	15279	-11117	-3678	100	28.9	7.6	5.5	15.8	24.3	0.2	13.3	34.3	5.9	9.2	1	0.5	79.4	79.4	20.6	20.6	85	10	10	10	6	6		12	23	13	15			58	56	36.7	46	48.1	53.9	36.5	44.5	47.9	50.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	111004	04-10-2011	090741	CME	00	090	123238	15974	20514	8246	23035	13135	326	12466	36745	10586	12537	1074	1108	84279	91735	38960	31504	22745	8806	7113	2470	4326	7839	16	499	-3246	3222	772	-195	175	20285	17395	2460	5351	100	13	16.6	6.7	18.7	10.7	0.3	10.1	29.8	8.6	10.2	0.9	0.9	68.4	74.4	31.6	25.6	90	9	12	10	6	5		16	25	14	14			60	60	26.2	26.8	35.4	38.7	25.8	26.6	33.6	35.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110927	27-09-2011	090741	CME	00	090	100493	7169	13401	5776	18709	5296	310	11967	39990	7364	11765	1269	933	63993	74340	36500	26153	-31501	1996	-33777	-10655	263	37	-15	-11181	16692	-6613	-381	-818	69	-26517	-35080	-4984	3580	100	7.1	13.3	5.7	18.6	5.3	0.3	11.9	39.8	7.3	11.7	1.3	0.9	63.7	74	36.3	26	83	7	10	9	5	5		15	24	13	15			55	56	22.7	24.6	31.3	35.8	22.3	24.5	29.8	33.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110920	20-09-2011	090741	CME	00	090	131994	5173	47179	16431	18446	5259	325	23148	23298	13977	12146	2087	864	90510	109420	41483	22573	6444	-2239	1548	4457	164	-2151	-30	1045	2987	4519	-225	51	123	7812	11504	-1368	-5060	100	3.9	35.7	12.4	14	4	0.2	17.5	17.7	10.6	9.2	1.6	0.7	68.6	82.9	31.4	17.1	89	5	18	15	5	5		17	19	14	16	4	5	64	62	28.9	29.7	38.1	43.3	24.7	26.4	30.6	35.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110913	13-09-2011	090741	CME	00	090	125550	7412	45630	11974	18282	7410	355	22104	20311	9459	12371	2036	742	82698	97916	42852	27633	1197	-360	-6643	1648	1174	414	23	4009	6352	-2742	266	1420	-340	3677	132	-2480	1065	100	5.9	36.3	9.5	14.6	5.9	0.3	17.6	16.2	7.5	9.9	1.6	0.6	65.9	78	34.1	22	87	7	16	12	5	5		13	20	14	16	5	5	61	60	27.3	25.2	37	38.3	26.6	24.5	33.3	36.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110906	06-09-2011	090741	CME	00	090	124353	7773	52273	10326	17108	6996	332	18095	13959	12201	12105	616	1081	79021	97784	45332	26568	3056	-853	-3910	749	1399	1324	-269	-891	4113	1696	793	112	-48	2576	3766	481	-709	100	6.3	42	8.3	13.8	5.6	0.3	14.6	11.2	9.8	9.7	0.5	0.9	63.5	78.6	36.5	21.4	87	8	14	9	5	6	4	20	16	19	15		6	64	61	24.4	28	34.2	42.2	21.9	26.8	28.7	38.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110830	30-08-2011	090741	CME	00	090	121296	8625	56183	9577	15709	5672	602	18986	9846	10505	11312	504	1130	76445	94018	44851	27278	2905	907	4707	961	-167	-1910	296	679	-2361	615	826	499	331	4446	3138	-1541	-233	100	7.1	46.3	7.9	13	4.7	0.5	15.7	8.1	8.7	9.3	0.4	0.9	63	77.5	37	22.5	88	7	14	8	5	5	4	20	19	17	15		7	65	59	20.2	31.4	30.1	45.5	18.2	29.9	25.1	42.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110823	23-08-2011	090741	CME	00	090	118391	7719	51476	8616	15876	7582	306	18307	12207	9890	10486	4	799	71999	90881	46392	27511	2075	-1105	4538	557	1158	999	9	-1159	-5839	94	902	4	166	622	529	1453	1546	100	6.5	43.5	7.3	13.4	6.4	0.3	15.5	10.3	8.4	8.9	0	0.7	60.8	76.8	39.2	23.2	81	5	16	7	4	6		19	16	18	14		6	59	56	21.2	29.9	30.3	44.1	19	28.5	26.4	40.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110816	16-08-2011	090741	CME	00	090	116317	8824	46938	8059	14718	6583	297	19466	18046	9796	9584	0	633	71377	90352	44940	25965	-15302	-693	-13324	1321	-120	449	-221	-12961	-5617	1432	-1282	-45	28	-12495	-15977	-2806	676	100	7.6	40.4	6.9	12.7	5.7	0.3	16.7	15.5	8.4	8.2	0	0.5	61.4	77.7	38.6	22.3	84	5	16	7	4	5		17	23	18	14	0	5	59	58	21.7	32.1	32.1	46.1	21	30.7	28.8	42.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110809	09-08-2011	090741	CME	00	090	131618	9517	60262	6738	14838	6134	518	32427	23664	8364	10866	45	605	83872	106329	47746	25289	-15181	-344	-16855	554	1573	-25	73	-13943	-2998	-255	900	45	-226	-11669	-19688	-3511	4507	100	7.2	45.8	5.1	11.3	4.7	0.4	24.6	18	6.4	8.3	0	0.5	63.7	80.8	36.3	19.2	87	5	18	8	4	5		21	18	16	14		4	65	53	23.9	32.5	32.4	46.4	23.7	32	30.9	45.8	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110802	02-08-2011	090741	CME	00	090	146799	9861	77117	6184	13265	6159	445	46370	26662	8619	9966	0	831	95542	126017	51257	20782	5320	-120	4351	1095	704	-295	203	2259	-344	1760	-158	0	-59	5684	6710	-365	-1391	100	6.7	52.5	4.2	9	4.2	0.3	31.6	18.2	5.9	6.8	0	0.6	65.1	85.8	34.9	14.2	92	5	17	7	5	4		34	13	15	14	0	4	71	50	22.9	37.4	31.9	53.7	22.8	37	29.7	53.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110726	26-07-2011	090741	CME	00	090	141479	9981	72766	5089	12561	6454	242	44111	27006	6859	10124	0	890	89857	119306	51622	22173	5714	2989	9687	739	895	-54	-9	-2340	-5439	232	1234	-925	392	4132	4622	1581	1091	100	7.1	51.4	3.6	8.9	4.6	0.2	31.2	19.1	4.8	7.2	0	0.6	63.5	84.3	36.5	15.7	92	6	17	6	6	4		29	15	11	15	0	5	67	50	20.9	37.9	29.1	54.9	19.8	37.3	28.1	54.3	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110719	19-07-2011	090741	CME	00	090	135766	6991	63079	4350	11666	6508	251	46451	32445	6627	8890	925	498	85725	114684	50041	21082	15242	-336	7009	606	85	10	-27	13650	3730	689	1403	923	113	16183	13054	-941	2188	100	5.1	46.5	3.2	8.6	4.8	0.2	34.2	23.9	4.9	6.5	0.7	0.4	63.1	84.5	36.9	15.5	92	6	16	6	4	4		29	20	11	11			65	50	17.3	37.7	27	51.4	17	37.5	25.6	51.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110712	12-07-2011	090741	CME	00	090	120524	7328	56070	3744	11581	6498	278	32801	28715	5938	7487	2	385	69542	101630	50981	18893	3356	-2404	8892	505	1724	106	16	5779	-2116	-1264	507	-952	127	4989	5314	-1633	-1958	100	6.1	46.5	3.1	9.6	5.4	0.2	27.2	23.8	4.9	6.2	0	0.3	57.7	84.3	42.3	15.7	82	6	14	6	4	4		29	15	8	9			60	41	15.8	38.7	23.6	54.4	14.9	38.4	21.9	53.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110705	05-07-2011	090741	CME	00	090	117168	9732	47178	3239	9857	6392	262	27022	30832	7202	6980	954	259	64553	96316	52615	20851	15866	1510	12687	-518	-1235	-103	0	11714	4940	627	-3709	954	6	8395	18594	7471	-2727	100	8.3	40.3	2.8	8.4	5.5	0.2	23.1	26.3	6.1	6	0.8	0.2	55.1	82.2	44.9	17.8	86	6	14	6	4	4		26	21	11	9			60	48	14.9	32.4	23.3	45.9	13.9	32.4	21.9	45.7	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110628	28-06-2011	090741	CME	00	090	101301	8222	34490	3757	11092	6495	262	15308	25891	6575	10689	0	252	56157	77723	45144	23579	5608	1778	-2817	907	19	-3	12	2606	3991	205	1639	-3	-11	7155	2282	-1548	3326	100	8.1	34	3.7	10.9	6.4	0.3	15.1	25.6	6.5	10.6	0	0.2	55.4	76.7	44.6	23.3	79	6	11	6	4	4		19	19	11	16	0		59	42	17	32.1	24.9	47.3	16.8	32	22.8	47.1	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110621	21-06-2011	090741	CME	00	090	95694	6444	37307	2850	11073	6498	250	12703	21901	6369	9050	3	264	49002	75441	46692	20253	-53125	-18028	-41806	-5224	148	-98	19	-17257	1848	-8795	-1410	-1039	16	-50531	-55079	-2594	1955	100	6.7	39	3	11.6	6.8	0.3	13.3	22.9	6.7	9.5	0	0.3	51.2	78.8	48.8	21.2	71	6	10	6	4	4		16	19	10	11			49	43	16.4	35.7	24.1	50.8	15.6	35.7	22.2	50.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110614	14-06-2011	090741	CME	00	090	148819	24472	79113	8074	10925	6596	231	29960	20053	15164	10460	1042	247	99533	130520	49285	18298	12960	1085	5994	1506	877	-144	-13	-4362	-3211	10944	87	1042	52	10176	16171	2784	-3211	100	16.4	53.2	5.4	7.3	4.4	0.2	20.1	13.5	10.2	7	0.7	0.2	66.9	87.7	33.1	12.3	85	12	9	11	4	4		27	14	12	14			67	45	21.4	43.8	32.2	59.1	18.8	43.6	25.2	57.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110607	07-06-2011	090741	CME	00	090	135859	23387	73119	6568	10048	6740	244	34322	23264	4220	10373	0	195	89357	114349	46502	21509	535	5183	-7886	307	1292	-124	-5	398	8512	-3303	2188	-895	-219	5841	-3613	-5306	4149	100	17.2	53.8	4.8	7.4	5	0.2	25.3	17.1	3.1	7.6	0	0.1	65.8	84.2	34.2	15.8	85	11	10	10	4	4		24	19	11	13	0		65	44	23.2	44.4	33	57.8	22	44	30.2	57.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110531	31-05-2011	090741	CME	00	090	135323	18204	81005	6260	8756	6864	249	33924	14753	7523	8186	895	415	83516	117963	51807	17360	5987	-673	3138	683	-907	-341	10	3474	717	1567	1063	329	-22	5195	6081	792	-94	100	13.5	59.9	4.6	6.5	5.1	0.2	25.1	10.9	5.6	6	0.7	0.3	61.7	87.2	38.3	12.8	85	10	10	8		4		26	19	13	11			64	48	17.3	50.2	27.7	64.5	16.4	49.9	25.7	62.6	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110524	24-05-2011	090741	CME	00	090	129337	18877	77867	5578	9663	7205	239	30450	14036	5955	7123	566	436	78321	111882	51016	17455	-2583	2640	-4270	668	-228	167	-1	-7071	711	700	-328	0	23	-3597	-2002	1014	-581	100	14.6	60.2	4.3	7.5	5.6	0.2	23.5	10.9	4.6	5.5	0.4	0.3	60.6	86.5	39.4	13.5	79	10	10	8	4	4		23	17	13	9			61	44	19.6	50.3	29	64.4	17.9	49.9	27.2	63.4	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110517	17-05-2011	090741	CME	00	090	131919	16237	82137	4910	9891	7038	240	37521	13325	5255	7451	566	414	81918	113884	50002	18035	3318	5016	-3842	1036	105	682	-20	-2376	5478	676	-435	4	45	4048	4059	-730	-741	100	12.3	62.3	3.7	7.5	5.3	0.2	28.4	10.1	4	5.6	0.4	0.3	62.1	86.3	37.9	13.7	84	10	11	7	4	4		25	19	11	9			62	44	19.5	51.8	28.4	65.7	18	51.4	26.9	65.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110510	10-05-2011	090741	CME	00	090	128601	11220	85979	3874	9786	6356	260	39897	7847	4579	7886	562	368	77870	109825	50732	18777	-24702	-81	-9664	-4874	-434	-100	-3	-15116	-7880	-2329	-314	556	-143	-23293	-24437	-1408	-265	100	8.7	66.9	3	7.6	4.9	0.2	31	6.1	3.6	6.1	0.4	0.3	60.6	85.4	39.4	14.6	86	8	11	6	4			33	15	11	10			68	40	17.4	55.6	25.4	69.9	16	55.1	23.9	68.5	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110503	03-05-2011	090741	CME	00	090	153303	11301	95643	8747	10220	6456	263	55013	15727	6908	8199	6	511	101163	134262	52140	19041	4298	1475	-3901	2145	741	-28	-48	2254	2230	2120	-1395	2	51	7344	2571	-3046	1726	100	7.4	62.4	5.7	6.7	4.2	0.2	35.9	10.3	4.5	5.3	0	0.3	66	87.6	34	12.4	97	6	13	8	5			44	15	17	9			80	48	20.4	53.1	29.5	67.6	19.1	50.5	26.3	64.9	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110426	26-04-2011	090741	CME	00	090	149005	9826	99545	6602	9479	6484	311	52760	13497	4788	9595	4	460	93820	131690	55186	17315	-1570	46	-1707	59	100	-42	5	-5469	1447	477	1026	4	77	-3679	319	2109	-1889	100	6.6	66.8	4.4	6.4	4.4	0.2	35.4	9.1	3.2	6.4	0	0.3	63	88.4	37	11.6	88	5	13	7	4			37	14	12	11			70	42	19.7	55	28.6	69.6	19.1	52.5	26.8	67	"(CONTRACTS OF CAD 100,000)"	F10	Combined
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE	110419	19-04-2011	090741	CME	00	090	150575	9780	101252	6543	9379	6526	306	58228	12050	4311	8569	0	383	97499	131371	53076	19204	1046	1774	546	1455	185	-478	71	333	-1562	458	-1440	0	-27	2811	464	-1765	582	100	6.5	67.2	4.3	6.2	4.3	0.2	38.7	8	2.9	5.7	0	0.3	64.8	87.2	35.2	12.8	85	6	13	6	4			38	11	13	10	0		69	39	19.3	55.3	29.5	69.8	18.7	52.8	28	67.2	"(CONTRACTS OF CAD 100,000)"	F10	Combined
