20MICRONS 	20 MICRONS LTD                                    	NSE       
ATNINTER  	ATN INTERNATIONAL LTD                             	NSE       
ATUL      	ATUL LTD                                          	NSE       
AURIONPRO 	AURIONPRO SOLN LTD                                	NSE       
AUROPHARMA	AUROBINDO PHARMA LTD                              	NSE       
AUSTRAL   	AUSTRAL COKE & PRO LTD                            	NSE       
AUTOAXLES 	AUTOMOTIVE AXLES LIMITED                          	NSE       
AUTOIND   	AUTOLINE INDUSTRIES LTD                           	NSE       
AUTOLITIND	AUTOLITE (INDIA) LIMITED                          	NSE       
AVTNPL    	AVT NATURAL PRODUCTS LTD                          	NSE       
AXISBANK  	AXIS BANK LIMITED                                 	NSE       
AXISGOLD  	AXIS MF - AXIS GOLD ETF                           	NSE       
BAGFILMS  	B.A.G FILMS AND MEDIA LTD                         	NSE       
BAJAJ-AUTO	BAJAJ AUTO LIMITED                                	NSE       
BAJAJCORP 	BAJAJ CORP LIMITED                                	NSE       
BAJAJELEC 	BAJAJ ELECT.LTD                                   	NSE       
BAJAJFINSV	BAJAJ FINSERV LTD.                                	NSE       
BAJAJHIND 	BAJAJ HINDUSTAN LTD                               	NSE       
BAJAJHLDNG	BAJAJ HOLDINGS & INVS LTD                         	NSE       
BAJFINANCE	BAJAJ FINANCE LIMITED                             	NSE       
BALAJITELE	BALAJI TELEFILMS LIMITED.                         	NSE       
BALAMINES 	BALAJI AMINES LIMITED                             	NSE       
BALKRISIND	BALKRISHNA IND. LTD                               	NSE       
BALLARPUR 	BALLARPUR INDUSTRIES LTD                          	NSE       
BALMLAWRIE	BALMER LAWRIE & CO LTD                            	NSE       
BALPHARMA 	BAL PHARMA LTD.                                   	NSE       
BALRAMCHIN	BALRAMPUR CHINI MILLS LTD                         	NSE       
BANARISUG 	BANNARI AMMAN SUGARS LTD                          	NSE       
BANCOINDIA	BANCO PRODUCTS (I) LTD                            	NSE       
BANG      	BANG OVERSEAS LTD.                                	NSE       
BANKBARODA	BANK OF BARODA                                    	NSE       
BANKBEES  	BENCHMARK BANKBEES                                	NSE       
BANKINDIA 	BANK OF INDIA                                     	NSE       
BANKNIFTY 	BANK NIFTY                                        	NSE       
BANSWRAS  	BANSWARA SYNTEX LIMITED                           	NSE       
BARTRONICS	BARTRONICS INDIA LIMITED                          	NSE       
BASF      	BASF INDIA LTD                                    	NSE       
BASML     	BANNARI AM SPIN MILL LTD.                         	NSE       
BATAINDIA 	BATA INDIA LTD                                    	NSE       
BAYERCROP 	BAYER CROPSCIENCE LTD                             	NSE       
BBL       	BHARAT BIJLEE LTD                                 	NSE       
BBTC      	BOMBAY BURMAH TRADING COR                         	NSE       
BEDMUTHA  	BEDMUTHA INDUST LTD                               	NSE       
BEL       	BHARAT ELECTRONICS LTD                            	NSE       
BEML      	BEML LIMITED                                      	NSE       
BERGEPAINT	BERGER PAINTS (I) LTD                             	NSE       
BFINVEST  	BF INVESTMENT LIMITED                             	NSE       
BFUTILITIE	BF UTILITIES LIMITED                              	NSE       
BGRENERGY 	BGR ENERGY SYSTEMS LTD                            	NSE       
BHAGYNAGAR	BHAGYANAGAR INDIA LIMITED                         	NSE       
BHARATFORG	BHARAT FORGE LTD                                  	NSE       
BHARATGEAR	BHARAT GEARS LTD.                                 	NSE       
BHARATRAS 	BHARAT RASAYAN LTD                                	NSE       
BHARTIARTL	BHARTI AIRTEL LIMITED                             	NSE       
BHEL      	BHEL                                              	NSE       
BHUSANSTL 	BHUSHAN STEEL LIMITED                             	NSE       
BIL       	BHARTIYA INTERNATIONAL                            	NSE       
BILENERGY 	BIL ENERGY SYSTEMS LTD                            	NSE       
BILPOWER  	BILPOWER LIMITED                                  	NSE       
BINANIIND 	BINANI INDUSTRIES LTD                             	NSE       
BINDALAGRO	OSWAL CHEM. & FERT. LTD.                          	NSE       
BIOCON    	BIOCON LIMITED.                                   	NSE       
BIRLACORPN	BIRLA CORPORATION LTD                             	NSE       
BIRLACOT  	BIRLA COTSYN LTD                                  	NSE       
BIRLAMONEY	ADITYA BIRLA MONEY LTD                            	NSE       
BLBLIMITED	BLB LIMITED                                       	NSE       
BLISSGVS  	BLISS GVS PHARMA LTD                              	NSE       
BLKASHYAP 	B.L.KASHYAP & SON LTD                             	NSE       
BLUECHIP  	BLUE CHIP INDIA LIMITED                           	NSE       
BLUEDART  	BLUE DART EXPRESS LTD                             	NSE       
BLUESTARCO	BLUE STAR LIMITED                                 	NSE       
BOMDYEING 	BOMBAY DYEING & MFG. CO L                         	NSE       
BOSCHLTD  	BOSCH LIMITED                                     	NSE       
BPCL      	BHARAT PETROLEUM CORP  LT                         	NSE       
BPL       	BPL LTD                                           	NSE       
BRFL      	BOMBAY RAYON FASHIONS LTD                         	NSE       
BRIGADE   	BRIGADE ENTER. LTD                                	NSE       
BRITANNIA 	8.25% SEC RED NCD                                 	NSE       
BSELINFRA 	BSEL INFRASTRUCTURE REALT                         	NSE       
BSL       	BSL LTD                                           	NSE       
BSLGOLDETF	BIRLA SL GOLD ETF - GO                            	NSE       
BURNPUR   	BURNPUR CEMENT LTD.                               	NSE       
BVCL      	BARAK VALLEY CEM. LTD.                            	NSE       
CADILAHC  	CADILA HEALTHCARE LIMITED                         	NSE       
CAIRN     	CAIRN INDIA LIMITED                               	NSE       
CALSOFT   	CALIFORNIA SOFTWARE CO LT                         	NSE       
CANBK     	CANARA BANK                                       	NSE       
CANDC     	C&C CONST. LTD.                                   	NSE       
CANFINHOME	CAN FIN HOMES LTD                                 	NSE       
CANTABIL  	CANTABIL RETAIL LTD                               	NSE       
CARBORUNIV	CARBORUNDUM UNIVERSAL LTD                         	NSE       
CCCL      	CONS. CONST. CONSORT LTD                          	NSE       
CCL       	CCL PRODUCTS (I) LTD                              	NSE       
CEATLTD   	CEAT LIMITED                                      	NSE       
CEBBCO    	COMMERCIAL ENG & CO. LTD                          	NSE       
CELEBRITY 	CELEBRITY FASHIONS LTD                            	NSE       
CELESTIAL 	CELESTIAL BIOLABS LTD                             	NSE       
CENTENKA  	CENTURY ENKA LTD                                  	NSE       
CENTEXT   	CENTURY EXTRUSIONS LTD                            	NSE       
CENTRALBK 	CENTRAL BANK OF INDIA                             	NSE       
CENTUM    	CENTUM ELECTRONICS LTD                            	NSE       
CENTURYPLY	CENTURY PLYBOARDS (I) LTD                         	NSE       
CENTURYTEX	CENTURY TEXTILES LTD                              	NSE       
CERA      	CERA SANITARYWARE LTD                             	NSE       
CESC      	CESC LTD                                          	NSE       
CHAMBLFERT	CHAMBAL FERTILIZERS LTD                           	NSE       
CHEMFALKAL	CHEMFAB ALKALIS LTD                               	NSE       
CHENNPETRO	CHENNAI PETROLEUM CORP LT                         	NSE       
CHOLAFIN  	CHOLAMANDALAM IN & FIN CO                         	NSE       
CINEVISTA 	CINEVISTAAS LTD                                   	NSE       
CIPLA     	CIPLA LTD                                         	NSE       
CLNINDIA  	CLARIANT CHEMICALS (INDIA                         	NSE       
COALINDIA 	COAL INDIA LTD                                    	NSE       
COLPAL    	COLGATE PALMOLIVE LTD.                            	NSE       
CONCOR    	CONTAINER CORP OF IND LTD                         	NSE       
CONSOFINVT	CONSO. FIN. & HOLD. LTD.                          	NSE       
CORDSCABLE	CORDS CABLE INDUS LTD.                            	NSE       
COROMANDEL	COROMANDEL INTERNTL. LTD                          	NSE       
CORPBANK  	CORPORATION BANK                                  	NSE       
COSMOFILMS	COSMO FILMS LTD                                   	NSE       
COX&KINGS 	COX & KINGS LIMITED                               	NSE       
CREATIVEYE	CREATIVE EYE LIMITED                              	NSE       
CRISIL    	CRISIL LTD                                        	NSE       
CROMPGREAV	CROMPTON GREAVES LTD                              	NSE       
CTE       	CAMBRIDGE TECH ENTER LTD                          	NSE       
CUB       	CITY UNION BANK LTD                               	NSE       
CUMMINSIND	CUMMINS INDIA LTD                                 	NSE       
CURATECH  	CURA TECHNOLOGIES LTD                             	NSE       
CYBERTECH 	CYBERTECH SYSTEMS & SOFTW                         	NSE       
DAAWAT    	LT FOODS LIMITED                                  	NSE       
DABUR     	DABUR INDIA LTD                                   	NSE       
DALMIASUG 	DALMIA BHARAT SUG IN LTD                          	NSE       
DATAMATICS	DATAMATICS GLOBAL SER LTD                         	NSE       
DBCORP    	D.B.CORP LTD                                      	NSE       
DBREALTY  	D B REALTY LIMITED                                	NSE       
DCM       	DCM LTD                                           	NSE       
DCW       	DCW LTD                                           	NSE       
DECCANCE  	DECCAN CEMENTS LIMITED                            	NSE       
DEEPAKFERT	DEEPAK FERTILIZERS & PETR                         	NSE       
DEEPAKNTR 	DEEPAK NITRITE LTD                                	NSE       
DEEPIND   	DEEP INDUSTRIES LTD                               	NSE       
DELTACORP 	DELTA CORP LIMITED                                	NSE       
DELTAMAGNT	DELTA MAGNETS LIMITED                             	NSE       
DEN       	DEN NETWORKS LTD                                  	NSE       
DENABANK  	DENA BANK                                         	NSE       
DENORA    	DE NORA INDIA LIMITED                             	NSE       
DHAMPURSUG	DHAMPUR SUGAR MILLS LTD                           	NSE       
DHANBANK  	DHANLAXMI BANK LIMITED                            	NSE       
DHANUKA   	DHANUKA AGRITECH LTD                              	NSE       
DHARSUGAR 	DHARANI SUGARS & CHEMICAL                         	NSE       
DHUNINV   	DHUNSERI INVESTMENTS LTD                          	NSE       
DIAPOWER  	DIAMOND POWER INFRA LTD                           	NSE       
DICIND    	DIC INDIA LIMITED                                 	NSE       
DISHMAN   	DISHMAN PHARMA & CHEM LTD                         	NSE       
DISHTV    	DISH TV INDIA LTD.                                	NSE       
DIVISLAB  	DIVI'S LABORATORIES LTD                           	NSE       
DLF       	DLF LIMITED                                       	NSE       
DLINKINDIA	D-LINK INDIA LTD                                  	NSE       
DOLPHINOFF	DOLPHIN OFF. ENT IND LTD.                         	NSE       
DONEAR    	DONEAR IND. LIMITED                               	NSE       
DPSCLTD   	DPSC LIMITED                                      	NSE       
DQE       	DQ ENTERTAINMENT INT LTD                          	NSE       
DREDGECORP	DREDGING CORP OF INDIA                            	NSE       
DRREDDY   	9.25% UNSEC RED NCD                               	NSE       
DSKULKARNI	D S KULKARNI DEVELOPERS L                         	NSE       
DWARKESH  	DWARIKESH SUGAR IND LTD                           	NSE       
DYNAMATECH	DYNAMATIC TECHNOLOGIES                            	NSE       
EASTSILK  	EASTERN SILK INDUSTRIES L                         	NSE       
EASUNREYRL	EASUN REYROLLE LTD                                	NSE       
ECEIND    	ECE INDUSTRIES LTD.                               	NSE       
ECLERX    	ECLERX SERVICES LTD                               	NSE       
EDELWEISS 	EDELWEISS CAP LTD                                 	NSE       
EDL       	EMPEE DISTI. LTD.                                 	NSE       
EDUCOMP   	EDUCOMP SOLUTIONS LTD                             	NSE       
EICHERMOT 	EICHER MOTORS LTD                                 	NSE       
EIDPARRY  	EID PARRY INDIA LTD                               	NSE       
EIHAHOTELS	EIH ASSOCIATED HOTELS LTD                         	NSE       
EIHOTEL   	EIH LIMITED                                       	NSE       
EKC       	EVEREST KANTO CYLINDERLTD                         	NSE       
ELECON    	ELECON ENG. CO. LTD                               	NSE       
ELECTCAST 	ELECTROSTEEL CASTINGS LTD                         	NSE       
ELECTHERM 	ELECTROTHERM (I) LTD.                             	NSE       
ELGIEQUIP 	ELGI EQUIPMENTS LTD                               	NSE       
EMAMIINFRA	EMAMI INFRASTRUCTURE LTD                          	NSE       
EMAMILTD  	EMAMI LIMITED                                     	NSE       
EMCO      	EMCO LIMITED                                      	NSE       
EMKAY     	EMKAY GLOBAL FIN SERV LTD                         	NSE       
EMMBI     	EMMBI POLYARNS LTD                                	NSE       
ENERGYDEV 	ENERGY DEVE. CO.LTD                               	NSE       
ENGINERSIN	ENGINEERS INDIA LTD                               	NSE       
ENIL      	ENTERTAIN NET. IND. LTD.                          	NSE       
EROSMEDIA 	EROS INTL MEDIA LTD                               	NSE       
ESABINDIA 	ESAB INDIA LTD                                    	NSE       
ESCORTS   	ESCORTS INDIA LTD                                 	NSE       
ESL       	ELECTROSTEEL STEELS LTD                           	NSE       
ESSELPACK 	ESSEL PROPACK LTD                                 	NSE       
ESTER     	ESTER INDUSTRIES LTD                              	NSE       
EUROCERA  	EURO CERAMICS LTD                                 	NSE       
EUROMULTI 	EURO MULTIVISION LTD                              	NSE       
EUROTEXIND	EUROTEX INDUSTRIES LTD                            	NSE       
EVEREADY  	EVEREADY INDS. IND.  LTD.                         	NSE       
EVERESTIND	EVEREST INDUSTRIES LTD                            	NSE       
EVERONN   	EVERONN EDUCATION LIMITED                         	NSE       
EXCELCROP 	EXCEL CROP CARE LTD                               	NSE       
EXCELINDUS	EXCEL INDUSTRIES LTD                              	NSE       
EXIDEIND  	EXIDE INDUSTRIES LTD                              	NSE       
FACT      	FACT LTD                                          	NSE       
FAGBEARING	FAG BEARINGS INDIA LTD                            	NSE       
FARMAXIND 	FARMAX INDIA LTD                                  	NSE       
FCSSOFT   	FCS SOFTWARE SOLN. LTD.                           	NSE       
FDC       	FDC LIMITED                                       	NSE       
FEDDERLOYD	FEDDERS LLOYDS CORPORATIO                         	NSE       
FEDERALBNK	FEDERAL BANK LTD                                  	NSE       
FIEMIND   	FIEM INDUSTRIES LIMITED                           	NSE       
FINANTECH 	FINANCIAL TECHNO (I) LTD                          	NSE       
FINCABLES 	FINOLEX CABLES LTD                                	NSE       
FINPIPE   	FINOLEX INDUSTRIES LTD                            	NSE       
FIRSTWIN  	FIRST WIN IND. LTD.                               	NSE       
FMGOETZE  	FEDERAL-MOGUL GOETZE (IND                         	NSE       
FORTIS    	FORTIS HEALTHCARE (I) LTD                         	NSE       
FOSECOIND 	FOSECO INDIA LTD                                  	NSE       
FSL       	FIRSTSOURCE SOLU. LTD.                            	NSE       
GABRIEL   	GABRIEL INDIA LTD                                 	NSE       
GAEL      	GUJARAT AMBUJA EXPORTS LT                         	NSE       
GAIL      	GAIL (INDIA) LTD                                  	NSE       
GAL       	GYSCOAL ALLOYS LTD                                	NSE       
GALLANTT  	GALLANTT METAL LIMITED                            	NSE       
GALLISPAT 	GALLANTT ISPAT LTD                                	NSE       
GAMMNINFRA	GAMMON INFRA PROJ LTD.                            	NSE       
GAMMONIND 	GAMMON INDIA LTD                                  	NSE       
GANDHITUBE	                                                  	NSE       
GANESHHOUC	GANESH HOUSING CORP LTD                           	NSE       
GANGOTRI  	GANGOTRI TEXTILES LTD.                            	NSE       
GARDENSILK	GARDEN SILK MILLS LTD                             	NSE       
GARWALLROP	GARWARE-WALL ROPES LTD                            	NSE       
GATI      	GATI LIMITED                                      	NSE       
GDL       	GATEWAY DISTRIPARKS LTD.                          	NSE       
GEECEE    	GEECEE VENTURES LIMITED                           	NSE       
GEMINI    	GEMINI COMM. LTD                                  	NSE       
GENESYS   	GENESYS INTL CORPN LTD                            	NSE       
GENUSPOWER	GENUS POWER INFRASTRU LTD                         	NSE       
GEOJITBNPP	GEOJIT BNP P. FIN SER LTD                         	NSE       
GEOMETRIC 	GEOMETRIC LIMITED                                 	NSE       
GESHIP    	THE GE SHPG.LTD                                   	NSE       
GHCL      	GHCL LIMITED                                      	NSE       
GICHSGFIN 	GIC HOUSING FINANCE LTD                           	NSE       
GILLANDERS	GILLANDERS ARBUTHNOT LTD                          	NSE       
GILLETTE  	GILLETTE INDIA LTD                                	NSE       
GINNIFILA 	GINNI FILAMENTS LTD                               	NSE       
GIPCL     	GUJ IND POW CO. LTD                               	NSE       
GITANJALI 	GITANJALI GEMS LIMITED                            	NSE       
GKWLIMITED	GKW LIMITED                                       	NSE       
GLAXO     	GLAXOSMITHKLINE PHARMA LT                         	NSE       
GLENMARK  	GLENMARK PHARMACEUTICALS                          	NSE       
GLFL      	GUJARAT LEASE FINANCING L                         	NSE       
GLOBALVECT	GLOBAL VEC HELICORP LTD                           	NSE       
GLOBOFFS  	GLOBAL OFFSHORE SERV LTD                          	NSE       
GLOBUSSPR 	GLOBUS SPIRITS LTD                                	NSE       
GMBREW    	G M BREWERIES LTD                                 	NSE       
GMDCLTD   	GUJARAT MINERAL DEV CORP                          	NSE       
GMRINFRA  	GMR INFRASTRUCTURE LTD.                           	NSE       
GNFC      	GUJARAT NARMADA FERT. CO                          	NSE       
GOACARBON 	GOA CARBON LIMITED                                	NSE       
GODFRYPHLP	GODFREY PHILLIPS INDIA LT                         	NSE       
GODREJCP  	GODREJ CONSUMER PRODUCTS                          	NSE       
GODREJIND 	GODREJ INDUSTRIES LTD                             	NSE       
GODREJPROP	GODREJ PROPERTIES LTD                             	NSE       
GOKEX     	GOKALDAS EXPORTS LTD.                             	NSE       
GOKUL     	GOKUL REFOILS & SOLV LTD                          	NSE       
GOLDBEES  	BENCHMARK GOLDBEES                                	NSE       
GOLDENTOBC	GOLDEN TOBACCO LIMITED                            	NSE       
GOLDIAM   	GOLDIAM INTERNATIONAL LTD                         	NSE       
GOLDINFRA 	GOLDSTONE INFRATECH LTD                           	NSE       
GOLDSHARE 	UTI GOLD ETF                                      	NSE       
GOLDTECH  	GOLDSTONE TECHNOLOGIES LT                         	NSE       
GPIL      	GODAWARI POW & ISP LTD                            	NSE       
GPPL      	GUJARAT PIPAVAV PORT LTD                          	NSE       
GRANULES  	GRANULES INDIA LIMITED                            	NSE       
GRAPHITE  	GRAPHITE INDIA LTD                                	NSE       
GRASIM    	GRASIM INDUSTRIES LTD                             	NSE       
GRAVITA   	GRAVITA INDIA LIMITED                             	NSE       
GREAVESCOT	GREAVES COTTON LTD.                               	NSE       
GREENPLY  	GREENPLY INDUSTRIES LTD                           	NSE       
GREENPOWER	ORIENT GREEN POWER CO LTD                         	NSE       
GRINDWELL 	GRINDWELL NORTON LIMITED                          	NSE       
GRUH      	GRUH FINANCE LTD.                                 	NSE       
GSFC      	GUJ STATE FERT & CHEM LTD                         	NSE       
GSKCONS   	GLAXOSMITHKLINE CONSUMER                          	NSE       
GSPL      	GUJARAT STATE PETRO LTD                           	NSE       
GTL       	GTL LTD                                           	NSE       
GTLINFRA  	GTL INFRA.LTD                                     	NSE       
GTNIND    	GTN INDUSTRIES LIMITED                            	NSE       
GTNTEX    	GTN TEXTILES LIMITED                              	NSE       
GTOFFSHORE	GREAT OFFSHORE LTD                                	NSE       
GUFICBIO  	GUFIC BIOSCIENCES LTD.                            	NSE       
GUJALKALI 	GUJARAT ALKALIES & CHEM                           	NSE       
GUJAPOLLO 	GUJ. APOLLO IND. LTD.                             	NSE       
GUJFLUORO 	GUJARAT FLUOROCHEMICALS L                         	NSE       
GUJNRECOKE	GUJARAT N R E COKE LTD                            	NSE       
GUJNREDVR 	GUJ NRE DVR 'B' CLASS                             	NSE       
GVKPIL    	GVK POW. & INFRA LTD.                             	NSE       
HANUNG    	HANUNG TOYS & TEX LTD                             	NSE       
HARITASEAT	HARITA SEATING SYS. LTD                           	NSE       
HARRMALAYA	HARRISON MALAYALAM LTD                            	NSE       
HATHWAY   	HATHWAY CABLE & DATACOM                           	NSE       
HAVELLS   	HAVELLS INDIA LIMITED                             	NSE       
HBLPOWER  	HBL POWER SYSTEMS LTD.                            	NSE       
HBSTOCK   	HB STOCKHOLDINGS LIMITED                          	NSE       
HCC       	HINDUSTAN CONSTRUCTION CO                         	NSE       
HCL-INSYS 	HCL INFOSYSTEMS LTD                               	NSE       
HCLTECH   	HCL TECHNOLOGIES LTD                              	NSE       
HDFC      	HDFC LTD WARRANTS                                 	NSE       
HDFCBANK  	HDFC BANK LTD                                     	NSE       
HDFCMFGETF	HDFC GOLD ETF                                     	NSE       
HDIL      	HOUSING DEV & INFRA LTD                           	NSE       
HEG       	HEG LTD                                           	NSE       
HEIDELBERG	HEIDELBERGCEMENT (I) LTD                          	NSE       
HERCULES  	HERCULES HOI. LTD.                                	NSE       
HERITGFOOD	HERITAGE FOODS (INDIA) LT                         	NSE       
HEXAWARE  	HEXAWARE TECHNOLOGIES LTD                         	NSE       
HFCL      	HIMACHAL FUT COM LTD                              	NSE       
HIKAL     	HIKAL LIMITED                                     	NSE       
HILTON    	HILTON METAL FORGING LTD                          	NSE       
HIMATSEIDE	HIMATSINGKA SEIDE LTD                             	NSE       
HINDALCO  	HINDALCO  INDUSTRIES  LTD                         	NSE       
HINDCOMPOS	HINDUSTAN COMPOSITES LTD.                         	NSE       
HINDCOPPER	HINDUSTAN COPPER LTD                              	NSE       
HINDDORROL	HINDUSTAN DORR OLIVER LTD                         	NSE       
HINDMOTORS	HINDUSTAN MOTORS LIMITED                          	NSE       
HINDNATGLS	HIND NATL GLASS & IND LTD                         	NSE       
HINDOILEXP	HINDUSTAN OIL EXPLORATION                         	NSE       
HINDPETRO 	HINDUSTAN PETROLEUM CORP                          	NSE       
HINDSYNTEX	HIND SYNTEX LTD.                                  	NSE       
HINDUJAFO 	HINDUJA FOUNDRIES LIMITED                         	NSE       
HINDUJAVEN	HINDUJA VENTURES LIMITED                          	NSE       
HINDUNILVR	HINDUSTAN UNILEVER LTD.                           	NSE       
HINDZINC  	HINDUSTAN ZINC LIMITED                            	NSE       
HIRECT    	HIND RECTIFIER LIMITED                            	NSE       
HITECHGEAR	HI-TECH GEARS LTD                                 	NSE       
HITECHPLAS	HITECH PLAST LIMITED                              	NSE       
HMVL      	HINDUSTAN MEDIA VENT LTD                          	NSE       
HNGSNGBEES	HANG SENG BENCHMARK ETS                           	NSE       
HOCL      	HINDUSTAN ORGANIC CHEMICA                         	NSE       
HONAUT    	HONEYWELL AUTOMATION IND                          	NSE       
HONDAPOWER	HONDA SIEL POWER PROD LTD                         	NSE       
HOTELEELA 	HOTEL LEELA VENTURES LTD                          	NSE       
HOTELRUGBY	HOTEL RUGBY LTD                                   	NSE       
HOVS      	HOV SERVICES LTD                                  	NSE       
HSIL      	HSIL LIMITED                                      	NSE       
HTMEDIA   	HT MEDIA LIMITED                                  	NSE       
IBREALEST 	INDIABULLS REAL EST. LTD                          	NSE       
ICICIBANK 	ICICI BANK LTD.                                   	NSE       
ICIL      	INDO COUNT INDUSTRIES LTD                         	NSE       
ICRA      	ICRA LIMITED                                      	NSE       
ICSA      	ICSA (INDIA) LIMITED                              	NSE       
IDBI      	IDBI BANK LIMITED                                 	NSE       
IDEA      	IDEA CELLULAR LIMITED                             	NSE       
IDFC      	INFRA. DEV. FIN. CO. LTD                          	NSE       
IFBAGRO   	IFB AGRO INDUSTRIES LTD                           	NSE       
