AAB       	Aberdeen International Inc                        	TSX       
AQN.PR.D  	Algonquin Power and Utilities Pref D              	TSX       
AQY.A     	Alignvest Acquisition II Corp Cl A                	TSX       
AQY.WT    	Alignvest Acquisition II Corp Wts                 	TSX       
AR        	Argonaut Gold Inc                                 	TSX       
ARE       	Aecon Group Inc                                   	TSX       
ARE.DB.C  	Aecon Group Inc 5.0 Pct Debs                      	TSX       
ARG       	Amerigo Resources Ltd                             	TSX       
ARX       	Arc Resources Ltd                                 	TSX       
ASM       	Avino Silver and Gold Mines Ltd                   	TSX       
ASM.WT    	Avino Silver and Gold Mines Ltd Wts               	TSX       
ASND      	Ascendant Resources Inc                           	TSX       
ASND.WT   	Ascendant Resources Inc Wts                       	TSX       
ASO       	Avesoro Resources Inc                             	TSX       
ASP       	Acerus Pharmaceuticals Corp                       	TSX       
ASP.WT    	Acerus Pharmaceuticals Corp Wts                   	TSX       
ASR       	Alacer Gold Corp                                  	TSX       
ATA       	Ats Automation                                    	TSX       
ATD.A     	Alimentation Couche-Tard Inc Cl A Mv              	TSX       
ATD.B     	Alimentation Couche-Tard Inc Cl B Sv              	TSX       
ATH       	Athabasca Oil Corp                                	TSX       
ATL       	Atlatsa Resources Corp                            	TSX       
ATP       	Atlantic Power Corp                               	TSX       
ATP.DB.D  	Atlantic Power Corp 6.00 Pct Ser D Debs           	TSX       
ATP.DB.E  	Atlantic Power Corporation 6.00 Pct Debs          	TSX       
ATZ       	Aritzia Inc                                       	TSX       
AUG       	Auryn Resources Inc                               	TSX       
AUMN      	Golden Minerals Company                           	TSX       
AUP       	Aurinia Pharmaceuticals Inc                       	TSX       
AVL       	Avalon Advanced Materials Inc                     	TSX       
AVP       	Avcorp Industries Inc                             	TSX       
AW.UN     	A&W Revenue Royalties Income Fund                 	TSX       
AX.PR.A   	Artis REIT Pref Ser A                             	TSX       
AX.PR.E   	Artis REIT Pref Ser E                             	TSX       
AX.PR.G   	Artis REIT Pref Ser G                             	TSX       
AX.PR.I   	Artis REIT Pref Series I                          	TSX       
AX.UN     	Artis Real Estate Investment Trust Units          	TSX       
AXR       	Alexco Resource Corp                              	TSX       
AYM       	Atalaya Mining Plc                                	TSX       
AZP.PR.A  	Atlantic Power Pref Equity Ser 1                  	TSX       
AZP.PR.B  	Atlantic Power Pref Equity Ser 2                  	TSX       
AZP.PR.C  	Atlantic Power Pref Equity Ser 3                  	TSX       
AZZ       	Azarga Uranium Corp                               	TSX       
BAD       	Badger Daylighting Ltd                            	TSX       
BAM.A     	Brookfield Asset Management Inc Cl.A Lv           	TSX       
BAM.PF.A  	Brookfield Asset Mgmt Inc Pref Ser 32             	TSX       
BAM.PF.B  	Brookfield Asset Mgmt Inc Pref Ser 34             	TSX       
BAM.PF.C  	Brookfield Asset Mgmt Inc Pref Ser 36             	TSX       
BAM.PF.D  	Brookfield Asset Mgmt Inc Pr Ser 37               	TSX       
BAM.PF.E  	Brookfield Asset Mgmt Pref Ser 38                 	TSX       
BAM.PF.F  	Brookfield Asset Mgmt Inc Pref Ser 40             	TSX       
BAM.PF.G  	Brookfield Asset Mgmt Inc Pref Ser 42             	TSX       
BAM.PF.H  	Brookfield Asset MGT Inc Pref Ser 44              	TSX       
BAM.PF.I  	Brookfield Asset Mgmt Inc Pref Ser 46             	TSX       
BAM.PF.J  	Brookfield Asset Mgmt Inc Pref Ser 48             	TSX       
BAM.PR.B  	Brookfield Asset Mgmt Inc Pr. Ser 2               	TSX       
BAM.PR.C  	Brookfield Asset Mgmt Inc Pr. Ser 4               	TSX       
BAM.PR.E  	Brookfield Asset Mgmt Inc Pr. Ser 8               	TSX       
BAM.PR.G  	Brookfield Asset Mgmt Inc Pr Ser 9                	TSX       
BAM.PR.K  	Brookfield Asset Mgmt Inc Pr. Ser 13              	TSX       
BAM.PR.M  	Brookfield Asset Mgmt Inc Prf A Ser 17            	TSX       
BAM.PR.N  	Brookfield Asset Mgmt Pref Shs Ser 18             	TSX       
BAM.PR.R  	Brookfield Asset Mgmt Pref Ser 24                 	TSX       
BAM.PR.S  	Brookfield Asset Mgmt Inc Pref Ser 25             	TSX       
BAM.PR.T  	Brookfield Asset Mgmt Pref Ser 26                 	TSX       
BAM.PR.X  	Brookfield Am Pref Ser 28                         	TSX       
BAM.PR.Z  	Brookfield Asset Mgmt Inc Pr Ser 30               	TSX       
BANK      	BMO Glb Banks Hgd To CAD ETF                      	TSX       
BAR       	Balmoral Resources Ltd                            	TSX       
BB        	Blackberry Limited                                	TSX       
BB.DB.V   	Blackberry Limited 3.75 Pct Debs USD              	TSX       
BBD.A     	Bombardier Inc Cl. A Mv                           	TSX       
BBD.B     	Bombardier Inc Cl. B Sv                           	TSX       
BBD.PR.B  	Bombardier 2 Pr                                   	TSX       
BBD.PR.C  	Bombardier Inc Pref Class C                       	TSX       
BBD.PR.D  	Bombardier Inc Pref Ser 3                         	TSX       
BBL.A     	Brampton Brick Ltd Cl.A Sv                        	TSX       
BBU.UN    	Brookfield Business Partners LP                   	TSX       
BCB       	Cott Corp                                         	TSX       
BCE       	BCE Inc                                           	TSX       
BCE.PR.A  	BCE First Pr Shares Series Aa                     	TSX       
BCE.PR.B  	BCE Inc First Pr Shares Series Ab                 	TSX       
BCE.PR.C  	BCE Inc Pr Shares Series AC                       	TSX       
BCE.PR.D  	BCE Inc Pref Shares Series Ad                     	TSX       
BCE.PR.E  	BCE 1st Pref Shares Series Ae                     	TSX       
BCE.PR.F  	BCE 1st Pref Shares Series Af                     	TSX       
BCE.PR.G  	BCE 1st Pref Shares Series Ag                     	TSX       
BCE.PR.H  	BCE 1st Pref Shares Series Ah                     	TSX       
BCE.PR.I  	BCE 1st Pref Shares Series Ai                     	TSX       
BCE.PR.J  	BCE Inc Pref Sh Series Aj                         	TSX       
BCE.PR.K  	BCE Inc Pref Ser AK                               	TSX       
BCE.PR.L  	BCE Inc Pref Ser Al                               	TSX       
BCE.PR.M  	BCE Inc Pref Shares Series Am                     	TSX       
BCE.PR.N  	BCE Inc Pref Shares Series An                     	TSX       
BCE.PR.O  	BCE Inc Pref Shares Series Ao                     	TSX       
BCE.PR.Q  	BCE Inc Pref Shares Series Aq                     	TSX       
BCE.PR.R  	BCE Inc Ser R                                     	TSX       
BCE.PR.S  	BCE Inc Ser S                                     	TSX       
BCE.PR.T  	BCE Inc First Pref Series T                       	TSX       
BCE.PR.Y  	BCE Inc Ser Y Pr                                  	TSX       
BCE.PR.Z  	BCE Inc Series Z                                  	TSX       
BCI       	New Look Vision Group Inc                         	TSX       
BDI       	Black Diamond Group Ltd                           	TSX       
BDIV      	Brompton Global Dividend Growth ETF               	TSX       
BDT       	Bird Construction Inc                             	TSX       
BEI.UN    	Boardwalk Real Estate Investment Trust            	TSX       
BEK.B     	Becker Milk Company Ltd Cl.B Nv                   	TSX       
BEP.PR.E  	Brookfield Renewable LP Pref Ser 5                	TSX       
BEP.PR.G  	Brookfield Renewable LP Pref Ser 7                	TSX       
BEP.PR.I  	Brookfield Renewable Pref Ser 9                   	TSX       
BEP.PR.K  	Brookfield Renewable LP Pref Ser 11               	TSX       
BEP.PR.M  	Brookfield Renewable LP Pref Ser 13               	TSX       
BEP.UN    	Brookfield Renewable Partners LP                  	TSX       
BFIN      	Brompton Na Financials Dividend ETF               	TSX       
BGC       	Bristol Gate Concentrated CDN Eqty ETF            	TSX       
BGI.UN    	Brookfield Glbl Infras Sec Inc Fd                 	TSX       
BGU       	Bristol Gate Concentrated US Eqty ETF             	TSX       
BGU.U     	Bristol Gate Conc US Eqty ETF USD                 	TSX       
BHC       	Bausch Health Companies Inc                       	TSX       
BIG.D     	Big 8 Split Inc Class D                           	TSX       
BIG.PR.D  	Big 8 Split Inc Pref Class D                      	TSX       
BIP.PR.A  	Brookfield Infra Partners LP Pref Ser 1           	TSX       
BIP.PR.B  	Brookfield Infra Partners LP Pref Ser 3           	TSX       
BIP.PR.C  	Brookfield Infra Partners LP Pref Ser 5           	TSX       
BIP.PR.D  	Brookfield Infra Partners LP Pref Ser 7           	TSX       
BIP.PR.E  	Brookfield Infra Partners LP Pref Ser 9           	TSX       
BIP.PR.F  	Brookfield Infra Partners LP Pref Ser 11          	TSX       
BIP.UN    	Brookfield Infra Partners LP Units                	TSX       
BIR       	Birchcliff Energy Ltd                             	TSX       
BIR.PR.A  	Birchcliff Energy Ltd Pref Sh A                   	TSX       
BIR.PR.C  	Birchcliff Energy Ltd Pref Ser C                  	TSX       
BK        	Canadian Banc Corp                                	TSX       
BK.PR.A   	Canadian Banc Corp Pref A                         	TSX       
BKCH      	Horizons Blockchain Tech Hardware ETF             	TSX       
BKCH.U    	Horizons Blockchain Tech Hardware Etfusd          	TSX       
BKI       	Black Iron Inc                                    	TSX       
BKL.C     	Powershares Senior Loan Index ETF                 	TSX       
BKL.F     	Powershares Senior Loan Index ETF                 	TSX       
BKX       	Bnk Petroleum Inc                                 	TSX       
BL.UN     	Global Innovation Dividend Fund                   	TSX       
BLB.UN    	Bloom Select Income Fund                          	TSX       
BLCK      	First Trust Indxx Innov Trans Proc ETF            	TSX       
BLDP      	Ballard Power Systems Inc                         	TSX       
BLU       	Bellus Health Inc                                 	TSX       
BLX       	Boralex Inc                                       	TSX       
BLX.DB.A  	Boralex Inc 4.5 Pct Debs                          	TSX       
BMO       	Bank of Montreal                                  	TSX       
BMO.PR.A  	BMO Pref Shares Series 26                         	TSX       
BMO.PR.B  	BMO Pref Shares Series 38                         	TSX       
BMO.PR.C  	BMO Pref Shares Series 40                         	TSX       
BMO.PR.D  	BMO Pref Shares Series 42                         	TSX       
BMO.PR.E  	BMO Pref Shares Series 44                         	TSX       
BMO.PR.Q  	Bank of Montreal B Pref Sh Ser 25                 	TSX       
BMO.PR.S  	BMO Cl B Pref Shares Ser 27                       	TSX       
BMO.PR.T  	BMO Non Cum Cl B Prf Share Series 29              	TSX       
BMO.PR.W  	BMO Cl B Pref Shares Ser 31                       	TSX       
BMO.PR.Y  	Bank of Montreal Pref Ser 33                      	TSX       
BMO.PR.Z  	Bank of Montreal Pref Ser 35                      	TSX       
BNC       	Purpose CDN Financial Income Fund ETF             	TSX       
BND       	Purpose Tactical Inv Grade Bond ETF               	TSX       
BNE       	Bonterra Energy Corp                              	TSX       
BNG       	Bengal Energy Ltd                                 	TSX       
BNP       	Bonavista Energy Corp                             	TSX       
BNS       	Bank of Nova Scotia                               	TSX       
BNS.PR.C  	Bns Pref Ser 23                                   	TSX       
BNS.PR.D  	Bns Pref Shares Series 31                         	TSX       
BNS.PR.E  	Bns Pref Shares Series 34                         	TSX       
BNS.PR.F  	Bns Pref Shares Series 33                         	TSX       
BNS.PR.G  	Bns Pref Shares Series 36                         	TSX       
BNS.PR.H  	Bns Pref Shares Series 38                         	TSX       
BNS.PR.I  	Bns Preferred Shares Series 40                    	TSX       
BNS.PR.R  	Bns Non Cum Pref Ser 22                           	TSX       
BNS.PR.Y  	Bank of Nova Scotia 5 Yr Pref Ser 30              	TSX       
BNS.PR.Z  	Bns Pref Ser 32                                   	TSX       
BOS       	Airboss America J                                 	TSX       
BOY       	Boyuan Construction Group Inc                     	TSX       
BPF.UN    	Boston Pizza Royalties Income Fund                	TSX       
BPO.PR.A  	Brookfield Office Properties Pref Ser Aa          	TSX       
BPO.PR.C  	Brookfield Office Properties Pref Ser CC          	TSX       
BPO.PR.E  	Brookfield Office Properties Pref Ser Ee          	TSX       
BPO.PR.G  	Brookfield Office Properties Pref Ser G           	TSX       
BPO.PR.I  	Brookfield Office Properties Pref Ser II          	TSX       
BPO.PR.N  	Brookfield Office Properties Pref Ser N           	TSX       
BPO.PR.P  	Brookfield Office Properties Pref Ser P           	TSX       
BPO.PR.R  	Brookfield Office Properties Pref Ser R           	TSX       
BPO.PR.S  	Brookfield Office Properties Pref Ser S           	TSX       
BPO.PR.T  	Brookfield Office Properties Pref Ser T           	TSX       
BPO.PR.W  	Brookfield Office Properties Pref Ser W           	TSX       
BPO.PR.X  	Brookfield Office Properties Pref Ser V           	TSX       
BPO.PR.Y  	Brookfield Office Properties Pref Ser Y           	TSX       
BPRF      	Bf and Crumrine Invest Grade Pref ETF             	TSX       
BPS.PR.A  	Brookfield Property Split Pref Ser 2              	TSX       
BPS.PR.B  	Brookfield Property Split Pref Ser 3              	TSX       
BPS.PR.C  	Brookfield Property Split Pref Ser 4              	TSX       
BPS.PR.U  	Brookfield Property Split Pref Ser 1              	TSX       
BPY.UN    	Brookfield Property Partners LP                   	TSX       
BR        	Big Rock Brewery Inc                              	TSX       
BRB       	Brick Brewing J                                   	TSX       
BRE       	Brookfield Real Estate Services Inc               	TSX       
BRF.PR.A  	Brookfield Renewable Pref Cl A Ser 1              	TSX       
BRF.PR.B  	Brookfield Renewable Pref Cl A Ser 2              	TSX       
BRF.PR.C  	Brookfield Renewable Power Pref Eqty Inc          	TSX       
BRF.PR.E  	Brookfield Renewable Power Pref Eqt Sr 5          	TSX       
BRF.PR.F  	Brookfield Renewable Power Pref Eqt Sr 6          	TSX       
BRY       	Bri Chem Corp                                     	TSX       
BSC       	Bns Split Corp II                                 	TSX       
BSC.PR.C  	Bns Split Corp II Pref B Series 2                 	TSX       
BSD.PR.A  	Brookfield Soundvest Split Trust Pref             	TSX       
BSD.UN    	Brookfield Soundvest Split Trust                  	TSX       
BSO.UN    	Brookfield Select Opportunities Inc Fund          	TSX       
BSX       	Belo Sun Mining Corp                              	TSX       
BTB.DB.E  	Btb REIT 6.90 Pct Debs                            	TSX       
BTB.DB.F  	Btb REIT 7.15 Pct Debs                            	TSX       
BTB.UN    	Btb REIT Units                                    	TSX       
BTE       	Baytex Energy Corp.                               	TSX       
BTO       	B2Gold Corp                                       	TSX       
BU        	Burcon Nutrascience Corp                          	TSX       
BUA.UN    	Bloom US Income and Growth Fund                   	TSX       
BUI       	Buhler Ind                                        	TSX       
BXE       	Bellatrix Exploration Ltd                         	TSX       
BXE.DB    	Bellatrix Exploration Ltd 6.75 Pct Debs           	TSX       
BXF       	First Asset 1 To 5 Yr Lad Gov Stp Bd ETF          	TSX       
BXS.DB.C  	Barclays Bank Fixed Rate Notes I 28               	TSX       
BYD.UN    	Boyd Group Income Fund                            	TSX       
BYL       	Baylin Technologies Inc                           	TSX       
BYL.DB    	Baylin Technologies Inc 6.5 Pct Debs              	TSX       
CAE       	Cae Inc                                           	TSX       
CAGG      	Wisdomtree Yld Enh CDN Agrt Bondetf               	TSX       
CAGS      	Wisdomtree Yld Enh CDN ST Agg Bdetf               	TSX       
CAL       	Caledonia Mining Corporation Plc                  	TSX       
CALL      	Evolve US Banks Enhanced Yield ETF                	TSX       
CALL.B    	Evolve US Banks Enhanced Yield Unheg              	TSX       
CAN       	Horizons Canadian Dollar Currency ETF             	TSX       
CAPS      	Evolve Active US Core Equity ETF                  	TSX       
CAPS.B    	Evolve Active US Core Equity Unheg                	TSX       
CAPS.U    	Evolve Active US Core Equity ETF USD              	TSX       
CAR.UN    	CDN Apartment Un                                  	TSX       
CARS      	Evolve Automobile Innovation Idx Hgd ETF          	TSX       
CARS.B    	Evolve Automobile Innovation Idx Uh ETF           	TSX       
CARS.U    	Evolve Automobile Innovation Idx ETF USD          	TSX       
CAS       	Cascades Inc                                      	TSX       
CBD       	Ishares Balanced Income Core ETF                  	TSX       
CBH       	Ishares 1-10 Yr Laddered Corp Bond ETF            	TSX       
CBL       	Callidus Capital Corp                             	TSX       
CBN       	Ishares Balanced Growth Core ETF                  	TSX       
CBO       	Ishares 1-5Yr Laddered Corp Bond ETF              	TSX       
CBT.UN    	June 2020 Corporate Bond Trust                    	TSX       
CCA       	Cogeco Communications Inc                         	TSX       
CCI.UN    	Canadian Convertibles Plus Fund                   	TSX       
CCL.A     	Ccl Inc Cl A                                      	TSX       
CCL.B     	Ccl Industries Inc Cl. B Nv                       	TSX       
CCM       	Canarc Res J                                      	TSX       
CCO       	Cameco Corp                                       	TSX       
CCS.PR.C  	Co-Operators Gen Ins Cl E Prf                     	TSX       
CCX       	Canadian Crude Oil Index ETF                      	TSX       
CCZ       	Critical Control Energy Services Corp             	TSX       
CCZ.PR.A  	Critical Control Energy Svcs Corp Pr A            	TSX       
CDAY      	Ceridian Hcm Holdings Inc                         	TSX       
CDD.UN    	Core Canadian Dividend Trust                      	TSX       
CDH       	Corridor Resources Inc                            	TSX       
CDV       	Cardinal Resources Limited                        	TSX       
CDZ       	Ishares S&P TSX CDN Dividend ETF                  	TSX       
CED       	First Asset Core CDN Equity ETF                   	TSX       
CEE       	Centamin Plc                                      	TSX       
CEF       	Sprott Physical Gold Silver Trust                 	TSX       
CEF.U     	Central Fund of Canada Ltd Cl.U Nv                	TSX       
CERV      	Cervus Equipment Corp                             	TSX       
CES       	First Asset Core US Equity ETF                    	TSX       
CES.U     	First Asset Core US Equity ETF USD Unhgd          	TSX       
CET       	Cathedral Energy Services Ltd                     	TSX       
CEU       	Ces Energy Solutions Corp                         	TSX       
CEW       	Ishares Equal Weight Banc Lifeco ETF              	TSX       
CF        	Canaccord Genuity Group Inc                       	TSX       
CF.DB.A   	Canaccord Genuity Group 6.25 Pct Debs             	TSX       
CF.PR.A   	Canaccord Genuity Group Inc Pref A                	TSX       
CF.PR.C   	Canaccord Genuity Group Inc Pref C                	TSX       
CFF       	Conifex Timber Inc                                	TSX       
CFP       	Canfor Corp                                       	TSX       
CFW       	Calfrac Well Services Ltd                         	TSX       
CFX       	Canfor Pulp Products Inc                          	TSX       
CG        	Centerra Gold Inc                                 	TSX       
CGG       	China Gold Int Resources Corp                     	TSX       
CGI       	CDN General Inv                                   	TSX       
CGI.PR.D  	Canadian General Inv Ltd Pref Ser 4               	TSX       
CGL       	Ishares Gold Bullion ETF Hdg                      	TSX       
CGL.C     	Ishares Gold Bullion ETF Non Hdg                  	TSX       
CGO       	Cogeco Inc Sv                                     	TSX       
CGR       	Ishares Global Real Estate ETF                    	TSX       
CGT       	Columbus Gold Corp                                	TSX       
CGX       	Cineplex Inc                                      	TSX       
CGX.DB.A  	Cineplex Inc 4.50 Pct Debs                        	TSX       
CGY       	Calian Group Ltd                                  	TSX       
CHB       	Ishares US HY Fixed Income Index ETF              	TSX       
CHE.DB.B  	Chemtrade Logistics If 5.25 Pct Debs              	TSX       
CHE.DB.C  	Chemtrade Logistics Income Fund 5.0 Debs          	TSX       
CHE.DB.D  	Chemtrade Logistics Inc Fd 4.75 Pct Debs          	TSX       
CHE.UN    	Chemtrade Logistics Income Fund                   	TSX       
CHH       	Centric Health Corp                               	TSX       
CHNA.B    	Wisdomtree Icbccs S&P China 500 Idx ETF           	TSX       
CHP.UN    	Choice Properties REIT                            	TSX       
CHR       	Chorus Aviation Inc                               	TSX       
CHW       	Chesswood Group Limited                           	TSX       
CIA       	Champion Iron Limited                             	TSX       
CIC       	First Asset Canbanc Income Class ETF              	TSX       
CIF       	Ishares Global Infrastructure Index ETF           	TSX       
CIGI      	Colliers International Group Inc                  	TSX       
CIQ.UN    	Canadian High Income Equity Fund                  	TSX       
CIU.PR.A  	Cu Inc Pref Shares                                	TSX       
CIU.PR.C  	Cu Inc Pref Ser 4                                 	TSX       
CIX       	Ci Financial Corp                                 	TSX       
CJ        	Cardinal Energy Ltd                               	TSX       
CJ.DB     	Cardinal Energy Ltd 5.50 Pct Debs                 	TSX       
CJR.B     	Corus Entertainment Inc Cl.B Nv                   	TSX       
CJT       	Cargojet Inc                                      	TSX       
CJT.A     	Cargojet Inc Variable Voting Shs                  	TSX       
CJT.DB.C  	Cargojet Inc 4.65 Pct Debs                        	TSX       
CJT.DB.D  	Cargojet Inc 5.75 Pct Debs                        	TSX       
CKE       	Chinook Energy Inc                                	TSX       
CKI       	Clarke Inc                                        	TSX       
CLF       	Ishares 1-5 Yr Ladder Govt Bond ETF               	TSX       
CLG       	Ishares 1-10 Yr Ladder Govt Bond ETF              	TSX       
CLIQ      	Alcanna Inc.                                      	TSX       
CLIQ.DB   	Alcanna Inc 4.70 Pct Debs                         	TSX       
CLQ       	Clean Teq Holdings Limited                        	TSX       
CLR       	Clearwater Seafoods Incorporated                  	TSX       
CLS       	Celestica Inc Sv                                  	TSX       
CM        	Canadian Imperial Bank of Commerce                	TSX       
CM.PR.O   	Cibc Pref Ser 39                                  	TSX       
CM.PR.P   	Cibc Pref Ser 41                                  	TSX       
CM.PR.Q   	Cibc Pref Ser 43                                  	TSX       
CM.PR.R   	Cibc Pref Ser 45                                  	TSX       
CM.PR.S   	Cibc Pref Series 47                               	TSX       
CMG       	Computer Modelling Group Ltd                      	TSX       
CMH       	Carmanah Technologies Corp                        	TSX       
CMMC      	Copper Mountain Mining Corp                       	TSX       
CMR       	Ishares Premium Money Market ETF                  	TSX       
CNE       	Canacol Energy Ltd                                	TSX       
CNL       	Continental Gold Inc                              	TSX       
CNQ       	CDN Natural Res                                   	TSX       
CNR       	Canadian National Railway Co.                     	TSX       
CNT       	Century Global Commodities Corp                   	TSX       
CNU       	Cnooc Limited                                     	TSX       
COG       	Condor Gold Plc                                   	TSX       
COMM      	BMO Global Communications Index ETF               	TSX       
COP       	Coro Mining Corp                                  	TSX       
CORP      	Exemplar Investment Grade Fund                    	TSX       
CORV      	Correvio Pharma Corp                              	TSX       
COW       	Ishares Global Agri Index ETF                     	TSX       
CP        	Canadian Pacific Railway Limited                  	TSX       
CPD       	Ishares S&P TSX CDN Pref ETF                      	TSX       
CPG       	Crescent Point Energy Corp                        	TSX       
CPH       	Cipher Pharmaceuticals Inc                        	TSX       
CPI       	Condor Petroleum Inc                              	TSX       
CPX       	Capital Power Corp                                	TSX       
CPX.PR.A  	Capital Power Corporation Pref Ser 1              	TSX       
CPX.PR.C  	Capital Power Corp Pref Ser 3                     	TSX       
CPX.PR.E  	Capital Power Corporation Pref Ser 5              	TSX       
CPX.PR.G  	Capital Power Corporation Pref Ser 7              	TSX       
CPX.PR.I  	Capital Power Corporation Pref Ser 9              	TSX       
CQE       	Cequence Energy Ltd                               	TSX       
CR        	Crew Energy Inc                                   	TSX       
CRDL      	Cardiol Therapeutics Inc                          	TSX       
CRH       	CRH Medical Corp                                  	TSX       
CRON      	Cronos Group Inc                                  	TSX       
CRP       	Ceres Global Ag Corp                              	TSX       
CRR.UN    	Crombie Real Estate Investment Trust              	TSX       
CRT.UN    	Ct Real Estate Investment Trust                   	TSX       
CRWN      	Crown Capital Partners Inc                        	TSX       
CRWN.DB   	Crown Capital Partners Inc 6.0 Pct Debs           	TSX       
CS        	Capstone Mining Corp                              	TSX       
CSD       	Ishares Short Dur Hi Inc ETF CAD Hgd              	TSX       
CSE.PR.A  	Capstone Infrastructure Corp Pref A               	TSX       
CSH.UN    	Chartwell Retirement Residences                   	TSX       
CSM       	Clearstream Energy Services Inc                   	TSX       
CSU       	Constellation Software Inc                        	TSX       
CSU.DB    	Constellation Software Inc Debs Ser 1             	TSX       
CSW.A     	Corby Spirit and Wine Ltd Class A                 	TSX       
CSW.B     	Corby Spirit and Wine Ltd Class B                 	TSX       
CSY       	Fa Core Can Equity Inc Class ETF                  	TSX       
CTC       	Canadian Tire Corporation Limited                 	TSX       
CTC.A     	Canadian Tire Corporation Cl. A Nv                	TSX       
CTF.UN    	Citadel Income Fund                               	TSX       
CTX       	Crescita Therapeutics Inc                         	TSX       
